Movie Name,Russia/CIS,China,Thailand,Taiwan,Germany,Colombia,India,Japan,France,Italy,Mexico,Israel,Netherlands,Denmark,Spain,United Kingdom,Sweden,Belgium,Switzerland,South Africa,Portugal,Austria,Iceland,Estonia,Qatar,Croatia,Bahrain,Latvia,Kuwait,United Arab Emirates,Greece,Lithuania,Oman,Lebanon,Jordan,Venezuela,Brazil,Argentina,Ecuador,Panama,Peru,Costa Rica,Bolivia,Nicaragua,Uruguay,Dominican Republic,Chile,Aruba,Hong Kong,Malaysia,Singapore,Australia,South Korea,Finland,Domestic,Norway,Poland,Türkiye,New Zealand,Ukraine,Czech Republic,Slovakia,Bulgaria,Slovenia,Paraguay,Serbia and Montenegro,Philippines,Vietnam,Hungary,Romania,Egypt,Trinidad & Tobago,Indonesia,Pakistan,Cyprus,Mongolia,Jamaica,Nigeria,Honduras
R.A.I.D. Special Unit (2016),"$158,745","$760,819",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady Macbeth (2016),"$150,233",,,,,"$35,678",,,"$992,758","$186,620",,,"$316,561",,"$666,500","$1,051,845",,,,,"$57,620",,,,,,,,,,"$84,434",,,,,,,"$40,908",,,,,,,,,,,,,,"$365,784","$144,024","$9,247",,,,"$12,631","$58,772","$21,080","$9,785","$4,049","$3,138","$2,557",,,,,,,,,,,,,,,
Personal Shopper (2016),"$74,139",,"$11,564",,,,,,"$465,541","$187,579",,,"$18,896",,"$161,584","$144,124",,,,,"$3,286",,"$2,622",,,,,,,"$32,568","$19,115",,,,,,,"$40,938",,,,,,,,,,,,,,"$181,003","$92,604",,,,,"$18,403","$75,448",,,,,"$2,024","$3,775",,,,,,,,,,,,,,
The Rolling Stones: Havana Moon (2016),"$13,958",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$62,688",,,,,$998,,,,,,,,,,,,,,,,,,,,,,"$1,028",,,,,,,,,,,,,,
The Bride (2017),"$3,066,828",,,,,"$247,038",,,,,"$1,870,872",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,330,331","$237,715",,,,,"$89,861",,"$37,527",,,,,,,,,,,,,,,,,,,,"$21,854",,,,,,,,,,,,,,
Life (2017),"$5,582,464","$19,881,127","$916,829","$903,027","$2,771,044","$316,907","$692,525","$1,448,197","$3,840,741","$1,662,772","$2,520,773","$211,868","$872,988","$432,358","$2,849,451","$2,568,840","$796,279","$491,296","$397,849","$151,878","$258,503","$340,219","$79,983","$98,549",,"$88,027",,"$70,736",,"$1,061,741","$218,416","$112,167",,"$80,431",,"$143,252","$1,718,404","$387,266","$168,898",,"$402,055",,"$33,241",,"$33,384","$27,535","$136,825",,"$1,218,712","$719,947","$662,247","$3,144,651","$3,226,364","$342,079",,"$362,516","$550,829","$669,614","$359,668","$343,012","$252,511","$103,842","$69,417","$19,016","$17,813","$22,932","$282,051","$178,636","$320,603","$276,831","$47,805","$42,914","$991,758","$24,367",,,,,
The Lost City of Z (2016),"$640,821","$981,968",,"$36,297","$228,026","$31,961","$10,332",,"$2,591,367","$734,437","$61,592","$111,556","$166,191","$8,794","$1,775,649","$873,033",,"$135,392","$210,875","$45,191","$115,061","$46,677",,"$31,275",,"$84,770","$39,652","$18,000","$172,204","$225,185","$54,144","$42,635","$5,095","$32,883","$15,699",,"$184,486",,"$44,100",,"$23,345",,,,,,"$40,259",,,,"$67,214","$66,143","$317,140",,,,,"$44,920",,"$45,885","$106,003","$34,929","$6,803",,"$15,868","$21,753","$98,462","$8,426",,,"$29,035",,,,,,,,
Two Is a Family (2016),"$1,741,939",,"$2,937",,,"$174,823",,,,,"$239,074",,,,,,,,,,,,,,,,,,,,,,,,,,"$382,761","$52,471",,,,,"$7,621",,"$31,943",,,,,,,"$488,509","$56,706",,,,,,$35,,,,,,,,,,,,,,,,,,,,
Power Rangers (2017),"$1,406,645","$4,246,955","$618,957","$743,630","$1,830,779","$651,097","$120,358","$1,912,288","$3,766,394","$856,648","$5,801,428","$190,641","$335,425","$144,463","$826,546","$6,058,693","$139,741","$524,863","$206,256","$594,658","$155,455","$251,635","$56,514","$23,584",,"$53,143",,"$13,419",,"$1,058,903","$160,930","$10,937",,"$114,536",,"$949,013","$5,100,188","$463,299","$670,418","$124,953","$891,265",,"$160,283",,"$38,184","$127,580","$342,383",,"$617,635","$2,764,913","$1,301,436","$2,900,769","$505,141","$45,147",,"$140,955","$468,433","$160,507","$377,923","$117,714","$189,457","$79,290","$38,655","$13,549","$11,235","$19,310","$2,112,895","$411,762","$75,885","$175,796","$46,875",,"$1,251,179","$32,898","$39,768",,,,
Alien: Covenant (2017),"$7,549,945","$45,400,330","$1,634,751","$2,697,297","$6,035,747","$955,362","$870,234","$7,503,250","$10,000,130","$2,834,020","$5,648,202","$230,373","$1,255,992","$885,590","$4,232,757","$16,643,305","$1,904,491","$1,021,023","$1,117,158","$224,909","$641,339","$761,430","$119,642","$178,145","$203,110","$152,854","$83,625","$106,244","$284,755","$899,304","$346,494","$115,618","$76,403","$73,039","$46,731",,"$3,048,444","$1,176,839","$349,167",,"$1,221,516",,"$146,431",,"$70,209","$75,989","$846,593",,"$3,563,613","$1,834,747","$1,571,116","$7,003,238","$9,474,927","$746,829","$74,262,031","$76,403","$1,766,529","$738,164","$875,807","$620,860","$715,360","$324,792","$211,174","$62,714","$29,981","$91,248","$883,384","$602,918","$843,733","$439,559","$85,368","$121,563","$2,060,448","$42,914",,"$33,234","$22,494",,
