Movie Name,Domestic,United Kingdom,Spain,Germany,Italy,France,Netherlands,Switzerland,Austria,South Africa,Belgium,Israel,Portugal,Poland,Norway,Türkiye,Denmark,Greece,Hungary,Sweden,Lebanon/United Arab Emirates,Middle East Other,Finland,Ukraine,Czech Republic/Slovakia,Slovenia,Iceland,Egypt,Romania,Czech Republic,Cyprus,Estonia,Croatia,Bulgaria,Lithuania,Latvia,Kenya,Serbia and Montenegro,Mexico,Brazil,Argentina,Venezuela,Central America+,Colombia,Peru,Chile,Australia,Japan,South Korea,Russia/CIS,Taiwan,New Zealand,Philippines,Singapore,Thailand,Hong Kong,Malaysia,India,Indonesia,Puerto Rico,Ecuador,West Indies,China,United Arab Emirates,Middle East,Baltic States,Central America,Middle East/UAE,Lebanon,Lesser Antilles,Dominican Republic,Jamaica,Bolivia,Uruguay,East Africa,Russia,Palestine,Soviet Union,Greece and Cyprus,S/E/W Africa,Slovakia
The Night of the Shooting Stars (1982),"$2,257,307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Jungle Book 2 (2003),"$47,901,582","$13,569,802","$5,182,876","$13,794,792","$2,709,115","$19,560,856","$2,278,672",,"$1,830,638","$583,541","$460,000",,,"$662,732","$1,347,327","$128,200","$1,962,173","$362,300","$180,482","$2,800,000",,,"$796,795",,,,"$117,219","$5,787",,"$360,337",,"$3,367",,"$12,805","$5,085","$8,120",,,"$5,108,668",,"$378,552",,,,,"$286,729","$2,834,861",,,"$546,110",,"$469,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Painted Fire (2002),"$64,029","$50,622","$64,503",,,"$798,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,245",,,,,,,,,,"$5,911,526",,"$2,198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Black Stallion Returns (1983),"$12,049,108",,,,,$406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cesar & Rosalie (1972),"$5,063",,,,,,"$55,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Man Who Fell to Earth (1976),"$100,072","$62,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irreversible (2002),"$803,491",,"$99,829","$46,877","$981,315","$2,904,190",,,"$27,479",,,,,"$125,542","$48,880","$506,321",,"$440,200",,,,,,,,,,,,"$11,874",,,,"$6,379",,,,,"$284,793",,"$65,393",,,,,"$100,786","$37,270",,,,,$114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bend It Like Beckham (2002),"$32,543,449","$16,591,659","$568,482","$2,765,777","$2,724,311","$1,774,885","$189,676","$3,400,000","$171,420","$544,781","$269,819",,,,"$419,000","$203,312","$293,000",,,"$73,000",,,"$151,704",,,,"$36,000",,,,,,,"$7,323",,,,"$1,685","$223,595","$41,000","$7,868",,,,,,"$7,150,651",,,"$99,688",,"$1,192,656",,,,"$277,686",,,"$892,000",,,,,,,,,,,,,,,,,,,,,,
Willard (2003),"$6,886,089",,"$363,272",,"$17,920","$123,265",,,,,,,"$22,663",,,,,,,,,,,,,,,,,,,,,,,,,,"$227,476",,,,,,,,"$14,516",,,,"$36,852",,"$111,038","$145,372",,"$61,703","$116,670",,,"$92,004",,"$3,942",,,,,,,,,,,,,,,,,,,
Salaam Bombay! (1988),"$2,080,046",,,,,$712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan (2002),"$21,900",,"$10,082",,,"$101,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,688",,"$38,804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreamcatcher (2003),"$33,715,436","$2,807,999","$5,177,282","$3,632,972","$2,810,369","$3,148,376","$968,951",,"$562,535","$84,014",,,,,"$182,984","$411,975",,"$526,400","$133,046",,,,"$148,599",,,,,,,"$45,608",,,,,,,,,"$2,362,015",,"$456,751",,,,,"$208,521","$1,892,168","$5,524,970",,"$1,402,240","$399,022","$311,819",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreams (1990),"$1,963,207",,,,,"$1,006,954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Kills (1979),"$1,157,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboy Bebop: The Movie (2001),"$1,000,045",,,,"$25,429","$97,496",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghosts of the Abyss (2003),"$17,040,871","$118,114",,,,"$95,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,024,962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House of 1000 Corpses (2003),"$12,634,962","$71,368","$1,663,969","$136,741","$797,746",,,,"$128,296",,,,"$68,391",,,,,,,,,,,,,,,,,,,,,,,,,,"$234,991",,"$125,452",,,,,,"$483,183",,,"$81,968",$558,"$92,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winged Migration (2001),"$11,689,053",,"$385,552","$4,257,015","$516,362","$13,191,225",,,"$156,813",,,,"$36,416","$918,218","$23,584",,,,"$20,251",,,,"$25,483",,,,,,,,,,,,,,,,"$39,154",,"$15,800",,,,,,"$1,462,580",,,"$19,560","$57,929","$267,544",,,,"$41,908",,,,,,,,,,,,,,,,,,,,,,,,,
The Other Side of Heaven (2001),"$4,720,371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owning Mahowny (2003),"$1,011,871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$94,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man on the Train (2002),"$2,542,020","$683,964","$426,591","$132,368","$1,895,644","$1,555,696","$12,299",,"$9,549",,,,,,"$17,320",,"$47,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$181,516",,,"$15,374",,"$38,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
