imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Baltic States,Bangladesh,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Malta,Mexico,Middle East,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Nigeria,Norway,Oman,Palestine,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0066319,,Ryan's Daughter (1970),,,$180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,358",,,,,,,,$230,,,,,,,,,,,,,,,,,,,,,,,,,
0061328,,Accident (1967),,,,,,,,,,,,,,,,,,,,,,,"$17,161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,928",,,,,,,,$940,,,,,,,,,,,,,,,,,,,,,"$31,586",,,,
0046911,,Diabolique (1955),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,498",,,,
0093207,,Wings of Honneamise (1987),,,,,,,,,,,,,,,,,,,,,,,"$55,572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,062",,,,,,,,,,,,,
0060908,,King of Hearts (1966),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$484,,,,
0074749,,The Killing of a Chinese Bookie (1976),,,,,,,,,,"$11,406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,792",,,,,,,,,,,,,,,,,,,,,,,,,
0053320,,A Summer Place (1959),,,$193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,216",,,,,,,,,,,,,
0087280,,The Element of Crime (1984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,743",,,,,,,$65,,,,$938,,,,,,,,,
0054389,,Shoot the Piano Player (1960),,,,,,,,,,,,,,,,,,,,,,,"$21,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0318374,,The Cooler (2003),"$36,398",,"$401,974",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$88,736","$27,100",,,,,,,,,,,,,,,,,,,,,,,,"$43,521","$45,178",,,,,,,"$20,676","$11,289",,,,,,,,,,,,,"$128,224",,,,,,,"$10,687","$985,709",,,,
0315850,,El bonaerense (2002),"$291,636",,,,,,,,,,,,,"$12,329",,,,,,,,,,,,,,,,"$65,245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,794",,,,,,,,,,,,
0298845,,In America (2002),"$62,206",,"$488,227",,,,,,,,,,,"$19,644",,,,,,"$3,093",,,,,,,,,,"$233,926","$295,871",,,,,,,,"$176,396",,,,,,,,,,,,,"$696,059",,,,"$43,162","$47,131",,"$50,892",,,,,,,,,,,,,,,,,,,"$868,169",,,,,,,,"$3,155,076",,,,
0322589,,Honey (2003),,,"$3,701,912","$361,834",,,,,,,"$7,763",,"$172,008",,,,,,"$19,369",,,"$71,831",,,,,,,"$47,214","$2,678,278","$8,911,639","$33,451","$32,097","$87,994","$71,910",,,"$208,320","$3,228,730",,,,"$6,775",,,"$43,470",,,,,,"$167,905",,,,"$983,946","$594,028",,"$70,956",,,,,"$97,737","$202,401",,,"$6,739",,"$219,349",,$951,"$167,826",,,"$610,719","$385,039","$596,483","$204,240","$1,582,107",,,"$54,800",,,"$6,076,374",,,,
