Movie Name,New Zealand,Australia,Portugal,United Kingdom,Domestic,South Korea,Brazil,Russia/CIS,Taiwan,Spain,Germany,Netherlands,Greece,Poland,United Arab Emirates,Argentina,France,Chile,Italy,Norway,Czech Republic,Mexico,Switzerland,South Africa,Austria,Israel,Sweden,Hungary,Iceland,Denmark,Türkiye,Finland,Lebanon,Cyprus,Bulgaria,Kenya,Romania,Serbia and Montenegro,Central America+,Singapore,Hong Kong,Egypt,Japan,Thailand,Russia,Belgium,Lithuania,Latvia,Croatia,Slovakia,Slovenia,Jordan,Bahrain,Estonia,East Africa,Oman,Malaysia,India,Philippines,Venezuela,Colombia,Peru,Ecuador,Uruguay,Jamaica,Lesser Antilles,Indonesia,Czech Republic/Slovakia,Palestine,Ukraine,Lebanon/United Arab Emirates,Baltic States,Puerto Rico,West Indies,Bolivia,China,Middle East Other,Middle East/UAE,Middle East,Kuwait,Qatar,Nigeria,Dominican Republic,Bangladesh,Malta,Central America,Vietnam,Russia/CIS/Ukraine,Curaçao,Aruba
Ryan's Daughter (1970),"$8,358",$180,$230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accident (1967),"$15,928",,$940,"$31,586","$17,161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cooler (2003),"$45,178","$401,974","$11,289","$985,709",,,,,,"$128,224","$88,736","$43,521","$27,100","$20,676","$10,687","$36,398",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In America (2002),"$47,131","$488,227",,"$3,155,076",,,,,,"$868,169","$295,871","$43,162",,,,"$62,206","$233,926","$19,644","$176,396","$50,892","$3,093","$696,059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honey (2003),"$594,028","$3,701,912","$202,401","$6,076,374",,"$385,039",,"$219,349",,"$596,483","$8,911,639","$983,946","$33,451","$97,737",,,"$2,678,278",,"$3,228,730","$70,956",,"$167,905","$1,582,107","$610,719","$361,834","$208,320","$204,240","$87,994","$71,910","$71,831","$54,800","$47,214","$43,470","$19,369","$7,763","$6,775","$6,739",$951,"$172,008","$167,826","$32,097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Samurai (2003),"$1,847,881","$9,617,283","$2,099,701","$21,993,151",,,,"$4,534,234",,"$23,226,822","$18,725,181","$5,244,995","$3,630,000","$2,009,425",,"$2,327,832","$15,408,894","$1,258,405","$22,321,432","$2,203,499","$706,390","$8,772,452",,"$1,717,570","$2,859,646",,,"$559,491",,,"$3,592,372","$873,133","$486,475",,"$431,999",,,,,,"$1,242,094","$263,680","$119,268,595","$1,397,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Fish (2003),"$559,019","$3,644,554","$534,225","$11,451,955","$66,809,693","$1,378,446","$733,313","$747,307","$194,501","$3,257,239","$2,736,251","$583,345","$922,000","$141,956","$66,100","$668,028","$7,588,333","$379,376","$4,291,841","$230,845","$85,133","$1,460,019","$1,197,270","$189,456","$239,756","$267,112","$1,019,203","$104,970","$98,917","$474,779",,"$551,122","$30,899",,"$33,689",,"$28,012","$29,696",,"$301,362","$509,466",,"$7,285,268","$31,912","$818,784","$716,617","$36,571","$25,779","$22,138","$20,865","$18,479","$15,488","$12,045","$10,216","$8,486","$6,165","$75,463","$51,122","$35,254","$160,619","$143,517","$66,351","$53,029","$27,068","$19,000","$19,000",,,,,,,,,,,,,,,,,,,,,,,,
Something's Gotta Give (2003),"$1,240,859","$11,969,361","$1,338,896","$12,638,254",,,,"$1,922,309",,"$10,214,261","$22,253,533","$2,299,826","$2,005,750","$1,314,847",,"$2,417,682","$5,761,320","$1,054,710","$8,441,993","$1,859,861","$462,452","$6,121,287",,"$1,575,105","$4,181,652",,,"$385,460",,,"$1,281,566","$444,521","$137,557",,"$121,672",,,,,,"$744,116","$51,586","$7,643,402","$211,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuck on You (2003),"$416,468","$4,237,674","$74,529","$6,441,227",,,,"$984,008",,"$4,176,977","$2,709,455","$317,985","$258,720",,,"$124,017","$879,101","$158,178","$249,724","$553,156","$29,443","$1,645,124",,"$460,029","$566,179",,,"$88,140",,,,"$111,730","$32,790",,"$56,551",,,,,,"$135,336","$6,498",,"$101,300",,,,,,,,,,,,,,,,,,,"$64,452",,,,"$162,183",,,,,,,,,,,,,,,,,,,,,,,
Girl with a Pearl Earring (2003),"$360,237","$2,106,567","$182,234","$5,957,139",,,,,"$54,510","$1,642,045","$3,309,338","$777,645","$218,600","$389,119",,,"$2,500,665",,"$2,665,024","$563,173",,"$193,036",,,"$77,972",,,"$56,254",,,,"$238,746",,,"$8,806",,,,,,"$49,163",,,,,,,,,"$8,871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
