Movie Name,France,Spain,Argentina,United Kingdom,Portugal,New Zealand,Taiwan,Domestic,Netherlands,Türkiye,Poland,Czech Republic,Australia,Italy,Germany,Switzerland,Greece,Belgium,South Africa,Austria,Sweden,Israel,Norway,Denmark,Middle East/UAE,United Arab Emirates,Hungary,Finland,Slovenia,Romania,Croatia,Iceland,Bulgaria,Serbia and Montenegro,Kenya,Cyprus,Lebanon,Latvia,Egypt,Lithuania,Japan,Philippines,Indonesia,Singapore,South Korea,Malaysia,Hong Kong,Mexico,Brazil,Central America+,Venezuela,Colombia,Ecuador,Russia/CIS,Thailand,China,Chile,Russia,Czech Republic/Slovakia,Ukraine,Estonia,Peru,India,Kuwait,Slovakia,Uruguay,Puerto Rico,Lesser Antilles,Bolivia,Dominican Republic,Jamaica,Qatar,Bahrain,East Africa,Jordan,Nigeria,Oman,Baltic States,Central America,Middle East Other,Russia/CIS/Ukraine,West Indies
His Brother (2003),"$97,661","$10,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breezy (1973),"$17,753",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mamma Roma (1962),"$2,248",,,,$708,,,,"$11,838",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bon Voyage (2003),"$4,647,345","$512,303",,"$134,851",,"$89,532",,"$2,503,286",,"$26,665","$15,219","$2,878","$191,291",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Manchurian Candidate (2004),"$2,452,307","$3,362,950","$474,787","$3,836,190","$458,901","$179,502","$99,710","$65,955,630","$583,687","$225,101",,,"$2,378,563","$3,877,817","$2,546,847","$915,472","$899,200","$723,322","$450,338","$374,361","$308,293","$288,483","$223,271","$170,427","$139,939","$131,059","$123,072","$65,219","$64,700","$52,607","$34,272","$28,162","$23,331","$19,179","$18,346","$14,785","$13,996","$11,493","$6,395","$5,794","$327,811","$148,283","$136,511","$132,588","$96,727","$62,849","$25,859","$2,013,026","$826,176","$326,804","$237,518","$134,085","$34,964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Village (2004),"$15,971,004","$12,577,776","$1,180,836","$18,743,397","$927,684",,"$494,459",,"$2,691,643","$1,360,867","$1,751,063","$553,931","$5,348,279","$8,586,002","$13,107,508","$2,215,543","$2,378,000","$3,083,965","$775,190","$1,625,290","$2,440,607",,"$1,527,819","$1,096,027",,"$297,090","$522,747","$705,394",,"$81,693",,"$187,529","$42,480","$5,103",,,"$104,382",,"$57,902",,"$14,818,563",,,,,,"$692,763","$6,755,204","$3,000,000",,,,,"$2,188,908","$608,700",,"$471,191",,,,,,,,,,,,,,,,,,,,,,,,,
Garden State (2004),"$2,034,803","$582,350","$31,917","$2,036,326","$13,375","$232,389",,,"$21,112",,"$147,000",,"$1,426,698","$16,910","$1,090,002",,"$30,350","$57,655",,"$150,212","$216,292",,"$76,749",,,,,,,"$2,649",,"$1,980","$1,566",,,,,,,,,,,,,,,"$76,522",,,,,,,,,"$25,151",,,,,,,,,,,,,,,,,,,,,,,,,
Collateral (2004),"$11,488,932","$7,269,986","$785,493","$15,364,828","$1,031,623",$604,"$1,213,018",,"$2,705,829","$1,156,591","$658,023","$289,916","$6,199,325","$9,049,219","$7,064,303","$2,205,855","$1,478,393","$2,251,519","$791,063","$995,092","$1,967,591","$793,132","$1,003,851","$795,561","$668,963","$449,700","$315,121","$865,538","$141,701","$122,597","$142,601","$184,713","$82,417","$40,190","$30,518","$68,648","$127,531","$51,767","$120,787","$41,816","$19,839,525","$519,082","$353,718","$483,361","$4,371,212","$289,419","$738,443","$4,219,543","$2,092,556","$546,778","$477,897","$268,531","$128,548","$1,493,437","$561,974",,"$304,797","$1,457,321","$311,248","$247,954","$50,016","$220,389","$244,118",,,,,,,,,,,,,,,,,,,
Little Black Book (2004),"$25,126","$112,241",,"$33,200","$149,635",,,,,,,,,"$60,513","$28,362",,,,"$195,979",,,,,,,,,,,,,,,,,,,,,,,$927,,,,,,"$678,429",,,,,,,,,,,,,,,,"$50,044","$2,385",,,,,,,,,,,,,,,,,
The Princess Diaries 2: Royal Engagement (2004),"$251,119","$1,746,397","$148,184","$7,472,009","$199,071","$751,758","$189,534",,"$1,265,022","$191,357","$172,294","$57,560","$5,340,299","$56,108","$3,098,126","$1,053,355",,"$1,072,245",,"$556,286","$1,101,015",,"$753,582","$16,644",,"$175,340","$158,418","$210,732",,"$32,360","$20,214","$99,283","$12,769",,,,"$125,880",,"$17,907","$8,825","$1,327,053",,"$308,127",,"$864,931",,"$216,782","$1,921,910","$750,000",,,,,"$1,002,241","$433,000",,"$81,760",,,,,"$105,754",,,,"$38,615",,,,,,,,,,,,,,,,
Alien vs. Predator (2004),"$6,004,567","$5,492,768","$590,711","$9,339,065","$656,221","$1,019,230","$1,726,012",,"$777,391","$358,328","$952,757","$387,283","$4,627,869","$3,885,108","$8,638,397","$933,250","$628,834","$1,155,642","$460,062","$925,438","$839,515","$191,919","$706,758","$816,202",,"$242,525","$640,891","$373,436","$90,670","$90,680","$71,891","$90,133","$153,169","$56,206",,,"$29,485","$74,872","$32,474","$64,028","$16,178,746","$981,011","$396,756","$1,087,965","$1,571,441","$1,076,375","$1,477,594","$3,900,462","$1,932,995","$673,658","$390,208","$568,436","$125,217","$3,957,736","$1,562,029",,"$444,845","$3,976,837","$451,055","$622,434","$56,741","$379,684","$598,765",,,"$45,230","$1,309,075","$128,056","$56,259","$37,707","$33,755",,,,,,,,,,,
Yu-Gi-Oh!: The Movie - Pyramid of Light (2004),"$257,906","$247,077","$155,073","$1,024,291",,,"$19,876","$19,887,556","$495,772",,,,"$1,356,017","$642,951","$1,645,876","$96,573",,"$151,040","$83,949","$262,106","$24,960",,,,,"$12,140",,,,,,"$46,487",,,,,,,,,,,,,"$655,960",,,"$1,666,059","$400,000",,,,,,,,"$134,821",,,,,,,,,,,,,,,,,,,,,,,,,
Novo (2002),"$349,086","$96,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Without a Paddle (2004),"$4,688","$154,160",,"$4,741,444",,"$206,281",,,"$50,280",,,,"$2,868,648","$6,695","$2,519,501",,,"$11,643","$229,945",,"$1,113",,"$6,541","$7,657","$208,486",,,,,,,"$41,874",,,,,"$6,542",,,,"$34,110","$26,545",,"$162,794",,"$49,305",,"$123,563",,"$81,881",,,,"$1,643,848",,,,"$1,555,403",,"$116,916",,,,,,,,,,,,,,,,,,,,,,
Exorcist: The Beginning (2004),"$2,353,545","$5,284,764","$871,050","$2,257,660","$515,008","$262,044","$381,940",,"$187,160","$658,164","$78,947","$39,278","$869,617","$7,576,873","$661,540","$415,398","$85,750","$256,046","$141,080","$454,436","$345,063",,"$251,061","$115,766",,"$229,523","$39,690","$125,841",,"$46,212",,"$47,960","$28,262","$31,609",,,,,"$94,009",,"$1,722,601","$255,800","$144,700","$200,000","$569,332","$96,000","$361,549","$3,768,026","$2,600,000",,"$266,400","$124,000",,"$509,371","$205,600",,"$442,060",,,,,,,,,,"$317,300",,,,,,,,,,,,,,,
Anacondas: The Hunt for the Blood Orchid (2004),"$1,243,714","$2,634,756","$134,019","$626,648","$170,594","$434,237","$607,390",,"$404,036","$266,034","$151,145","$72,178","$1,790,024","$570,300","$1,028,583",,"$181,740","$451,464","$624,774","$301,539","$76,621",,"$104,115","$115,041",,"$315,506","$56,326",,"$136,051","$55,434","$19,198","$34,212","$103,847","$63,562",,,"$95,016","$47,098","$33,483","$53,126","$53,365","$858,219","$446,949","$822,686","$647,828","$875,293","$610,943","$3,824,792","$1,822,123","$820,996","$386,116","$418,649","$89,031","$1,340,438","$2,629,264","$3,032,810","$174,427",,,,"$31,828","$234,576","$4,261,984","$320,298","$21,899","$36,583",,"$66,008","$56,564","$67,999","$59,525","$99,999","$57,514","$28,870","$27,518","$23,484","$18,731",,,,,
Suspect Zero (2004),"$197,779","$49,253",,,"$58,836",,,,,,,,"$11,415","$376,256","$255,160",,,"$116,129",,,,,,,,,,,,,,,,,,,,,,,"$579,827",,,,,,,"$585,403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanity Fair (2004),"$113,580","$126,486","$26,913","$1,554,653","$26,949","$90,362","$51,091",,,,,"$6,764","$763,268","$121,856","$191,841",,,,,"$38,672",,,"$53,033","$5,075",,,,,,"$27,255","$9,642","$6,180","$17,834",,,,,,"$5,984",,,,,,,"$70,879",,,,,,,,"$15,446",,,,,,,,,,,"$2,946",,,,,,,,,,,,,,,,,
Wicker Park (2004),"$196,107","$2,991,224","$33,737","$1,282,125","$135,455","$25,658","$171,419","$13,001,257",,"$172,780","$554,842","$26,266","$109,870",,"$564,571",,,"$122,814","$115,000","$108,947","$16,609",,,,,"$26,844",,"$15,036",,"$17,650",,"$18,583",,"$4,201",,,"$29,681",,"$28,244",,,,,,"$781,350",,"$7,716","$460,487",,,,,,"$329,562","$21,700",,"$8,392",,,,,,,,"$11,614",,,,,,,,,,,,,,,,,
Highwaymen (2004),"$233,664","$424,965",,"$181,812",,"$9,615",,,"$21,121",,,,"$21,792","$110,871",,,,"$22,426","$38,121",,,,,,,"$110,737",,,,,,"$6,772",,,,,"$175,258",,,,"$81,725","$56,548","$29,057",,,"$46,907",,,"$313,536",,,,,,,,,,,,,,,,,,"$186,055",,,,,,,,,,,,,,,
I Vitelloni (1953),"$6,450",,,,"$4,318",,,"$116,428",,,,,,"$21,225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cellular (2004),"$2,584,033","$1,804,281","$588,371","$1,906,360","$276,827",,"$585,113",,"$204,088",,"$411,320","$43,060","$877,337","$697,707","$1,782,495","$58,123","$695,331","$694,692","$424,018","$714,251",,"$527,795","$144,144","$115,666",,"$234,714","$106,624","$65,721","$68,614","$74,026","$11,940","$31,255","$87,511","$28,660",,,"$358,751",,"$53,139",,"$1,033,301","$263,438","$153,337","$230,932",,,"$139,404","$2,342,012","$1,408,165","$227,122","$553,982","$242,291",,"$817,868","$248,126",,"$105,749","$900,202",,"$103,193",,"$95,127",,,,,"$443,000",,"$20,691",,,,,,,,,"$90,794",,,,
Resident Evil: Apocalypse (2004),"$6,579,553","$5,054,224","$281,000","$3,538,749","$748,801","$606,602","$1,470,243",,"$53,005","$361,400","$251,488","$137,895","$2,111,682","$4,135,062","$3,254,049","$320,430","$405,100","$706,412","$355,425","$827,438","$473,550",,"$256,916","$276,859",,"$458,507","$263,043","$224,874",,"$20,621","$63,105","$70,276","$50,971",,,,,,"$56,793","$34,941","$23,642,659",,,,"$2,446,927",,"$943,641","$4,563,297","$2,452,334","$331,576","$212,216","$326,970","$99,199","$2,160,000","$1,354,300",,"$206,981",,,,,"$223,618","$1,170,981",,"$31,597","$17,743",,"$46,372","$25,550",,"$44,232",,,,,,,,,,,
Sky Captain and the World of Tomorrow (2004),"$654,735","$2,777,444","$120,952","$2,409,897","$140,437","$84,574","$704,306",,"$199,563","$252,662","$45,613","$181,482","$813,844","$1,819,317","$697,192",,"$124,150","$146,019",,,"$165,785",,"$115,105","$239,544",,"$85,586",,"$170,569",,"$21,260",,"$34,271",,"$11,065",,,"$21,112",,"$12,954",,"$2,111,175",,,,"$2,240,492",,"$488,597","$704,667",,,,,,"$2,103,622","$393,300",,"$52,303",,,,,,"$25,390",,"$15,375",,,,,,,,,,,,,,,,,
Wimbledon (2004),"$615,000","$159,050",,"$12,946,666","$369,971","$571,616","$32,141",,"$511,328",,"$237,056","$100,509","$4,141,940","$24,065","$200,798","$92,841",,"$444,171",,,"$362,718","$286,228","$271,739","$163,256",,"$32,917",,"$138,530",,"$22,812","$43,997","$93,031","$4,193","$1,490","$8,973",,"$16,397",,"$6,000",,"$328,474",,,"$241,601","$663,330",,,"$319,409","$331,315",,,,,"$429,722","$74,511","$250,941",,,"$120,448",,,,,,"$21,920",,,,,,,,,,,,,,,,,
Anatomy of Hell (2004),"$226,357",,,,,,"$25,609",,,"$5,923",,,"$35,057","$11,051",,,,,,,,,,,,,,"$6,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Daughter (2004),"$52,530","$10,490",,"$343,566",,,,,,,,,"$65,152",,"$1,891",,,,"$413,454",,,,,,,,,,,,,,,,,,,,,,,"$228,528",,,,,,"$420,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Forgotten (2004),"$1,723,657","$4,449,886","$722,841","$4,038,121","$437,967","$337,617","$858,101",,"$1,014,081","$417,954","$389,710","$41,994","$2,754,072","$2,249,803","$4,580,770","$551,805","$433,986","$1,121,020","$290,810","$692,568",,,"$22,155",,,"$141,197","$402,375","$113,444","$92,357","$52,273","$361,552","$108,830","$57,742","$45,540",,,"$57,188","$32,156","$54,626","$13,652","$5,849,143","$121,763",,"$352,849","$1,550,669","$162,995",,"$5,029,505","$2,890,357",,"$652,694","$361,552","$176,003","$1,107,887","$216,298",,"$524,695",,,,"$38,382","$323,152","$14,695","$160,149","$16,336","$60,718",,,"$29,951",$834,,"$22,213","$37,304","$16,278","$29,220","$14,749","$15,163",,"$400,604",,,
A Dirty Shame (2004),"$182,172","$221,474","$4,334","$54,269","$41,633",,,,,,,,"$23,167",,,,,"$45,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,157",,,,,,,,,,,,,,,
The Motorcycle Diaries (2004),"$4,400,638","$1,807,447","$471,133","$4,914,286","$349,930","$739,114","$166,606","$16,781,387","$622,100","$188,915","$62,883",,"$2,640,298","$5,106,046","$3,441,697","$1,431,783","$491,500","$1,289,018",,"$352,748","$135,979",,"$533,433","$418,818",,,,"$76,774","$65,327","$9,116",,"$72,240",,"$21,469",,,,,,,,,,,"$207,899",,"$74,701","$2,914,488","$2,697,043",,"$33,576",,,"$37,385",,,"$180,251",,,,,,,,,,,,,,,,,,,,,,,,,
Shaun of the Dead (2004),"$812,500","$64,240",$1,"$20,959,922",,"$110,706",,"$13,542,874","$158,356",,"$96,019",,"$1,241,586",,"$1,126,737",,,"$45,314",,,,,,,,"$59,518",,,,,,"$34,045",,,,,"$6,643",,,,,,,,"$367,556",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$60,518",,
Shark Tale (2004),"$22,215,827","$11,116,168","$1,401,161","$40,866,788","$1,455,022","$1,690,111","$2,314,865",,"$4,747,453","$910,919","$3,626,105","$713,537","$11,359,275","$11,790,369","$12,243,062","$2,192,724","$1,454,377","$3,357,414","$2,387,320","$1,962,491","$3,613,859","$1,676,675","$3,247,233","$2,044,862","$696,878","$453,820","$865,745","$879,124","$200,188","$90,372","$240,147","$250,552","$25,848","$25,710","$26,644","$81,955","$120,811","$128,878","$9,634","$142,956","$17,633,242","$840,251","$329,186","$1,424,556","$5,582,052","$595,641","$1,367,302","$9,355,184","$4,493,719","$1,504,264","$848,862","$1,018,183","$128,851","$5,429,469","$632,689","$1,938,000","$972,766","$4,935,752","$778,075","$356,016","$127,113","$656,897","$147,022",,,,,,,,,,,,,,,,,,,
Ladder 49 (2004),"$583,989","$2,141,045","$109,980","$1,385,379","$244,045","$292,669","$547,764",,"$520,439","$56,737",,"$53,086","$4,558,279","$1,468,130","$509,526","$57,995","$100,950",,"$332,110","$155,732","$355,878",,"$507,441","$130,856",,"$146,320","$33,287","$19,893","$42,172","$14,383","$19,753","$67,140","$21,305",,,,"$37,893",,"$29,557",,"$3,950,752","$115,000",,,"$189,539","$152,000","$809,118","$1,001,496","$61,217",,,,,"$689,448","$182,500",,"$44,745",,,,,,,,"$9,123",,,,,,,,,,,,,,,,,
I Heart Huckabees (2004),"$209,237","$1,804,738",,"$1,122,687",,"$28,611",,"$12,785,432",,,,,"$595,305","$177,897","$416,681",,"$40,500",,"$22,737",,,,,,,,,,,,,,,,,,,,,"$1,891","$242,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxi (2004),"$35,418","$6,760,422",,"$2,330,567","$145,148","$414,768","$837,648","$36,879,320",,"$434,518","$179,467",,"$2,019,193","$25,096","$489,499",,"$318,308",,"$1,614,443",,,,,,"$824,409","$548,188","$281,664",,"$158,670","$35,835",,"$73,722","$120,911","$19,764",,,"$45,638",,,,"$3,117,303","$241,759","$340,265","$535,580","$1,020,420","$343,808",,"$1,984,746","$864,981",,"$478,090","$170,300","$32,538","$1,503,098","$490,300","$2,436,417",,,,,,,,,,,"$1,050,627","$78,767",,"$58,396","$63,138",,,,,,,,"$451,186",,"$1,400,668",
Stage Beauty (2004),"$245,297",,,"$556,369",,,,"$782,383",,,,,"$181,268","$212,131",,,"$21,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$154,022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
