imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies
0101258,,Days of Being Wild (1990),,,,,,,,,,,,,,"$2,870,940",,,,,,,,"$146,310",,,,,,,,,,,,,,,,"$1,585",,,,,,,,,,,,,,,,,,,,,,"$2,577",,,,,,,,,,,,"$191,672",,,,,,,,,,,,
0102307,,Light Sleeper (1992),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0102587,,Only Yesterday (1991),,,"$33,195",,,,,,,,,,,,,,,,,,,"$453,243",,,,,,"$26,781",,,,,,,,,,,,,,,,,,,,,,,,,"$7,695",,,,,,,,,,,,"$19,867",,,,,,,,,,,,,,,,"$5,044",,,
0104652,,Porco Rosso (1992),,,$231,,,,,,,,,,,,,,,,,,,"$443,059",,,,,,"$143,749",,,,,,,,,,"$337,951",,,,,,,,,,,,,,,,,"$44,138",,,,,,,,,,"$33,054",,,,,,,,,"$26,232",,,,,,,,,,
0108334,,Three of Hearts (1993),,,,,,,,,,,,,,,,,,,,,,"$5,516,936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0113824,,Whisper of the Heart (1995),,,,,,,,,,,,,,,,,,,,,,"$498,156",,,,,,"$5,738",,,,,,,,,,,,"$3,834,387",,,,,,,,,,,,,,,,,,,,,,,,,"$12,090",,,,,,,"$51,201",,,,,,,,,,,,
0115940,,A Summer's Tale (1996),,,,,,,,,,,,,,,,,,,,,,"$198,126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$580,,,,,,,,,,,,,,,,,,,,,,,,
0117496,,Robinson Crusoe (1997),,,,,,,,,,"$183,886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0119467,,Kiss or Kill (1997),"$5,047",,,,,,,,,,,,,,,,,,,,,"$796,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0127392,,The Kingdom (1994),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$61,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0156610,,The Hole (1998),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0164961,,Vidocq (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$59,754",,,,,,,,
0174330,,Venus Beauty Institute (1999),,,,,,,,,,,,,,,,,,,,,,"$465,080",,,,,,,,,,,"$30,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0183869,,Taxi 2 (2000),,,,,,,,,,,,,,,,,,,"$64,827",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$260,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0189630,,Kadosh (1999),,,,,,,,,,,,,,,,,,,,,,"$736,812",,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0206367,,The Trumpet of the Swan (2001),,,"$165,707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$360,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0212132,,The Tracker (2002),"$168,175",,"$257,778",,,,,,,,,,,,,,,,,,,"$55,188",,,,,,,,,,,,,,,,"$23,179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
