id,name
2231,Samuel L. Jackson
380,Robert De Niro
62,Bruce Willis
884,Steve Buscemi
1230,John Goodman
5293,Willem Dafoe
3896,Liam Neeson
192,Morgan Freeman
4690,Christopher Walken
2963,Nicolas Cage
3036,John Cusack
16927,Gérard Depardieu
2283,Stanley Tucci
1241,John Turturro
4038,Susan Sarandon
3895,Michael Caine
1037,Harvey Keitel
55636,Donald Sutherland
2157,Robin Williams
5049,John Hurt
57755,Woody Harrelson
17051,James Franco
3087,Robert Duvall
5723,John Leguizamo
28633,Richard Jenkins
1892,Matt Damon
2178,Forest Whitaker
13242,Paul Giamatti
65827,Keith David
1231,Julianne Moore
18999,J.K. Simmons
85,Johnny Depp
388,Jim Broadbent
2047,Danny Glover
2395,Whoopi Goldberg
7447,Alec Baldwin
2282,Ben Kingsley
707,Dan Aykroyd
1733,Nick Nolte
4173,Anthony Hopkins
6949,John Malkovich
16483,Sylvester Stallone
518,Danny DeVito
3905,William H. Macy
3131,Antonio Banderas
1640,Stellan Skarsgård
228,Ed Harris
6065,Dennis Quaid
1229,Jeff Bridges
5048,Harry Dean Stanton
193,Gene Hackman
4764,John C. Reilly
1248,Brian Cox
53,Peter Stormare
10205,Sigourney Weaver
11160,Danny Trejo
5064,Meryl Streep
588,M. Emmet Walsh
16475,Burt Reynolds
3223,Robert Downey Jr.
12900,Wallace Shawn
3061,Ewan McGregor
2975,Laurence Fishburne
17485,Oliver Platt
4724,Kevin Bacon
7399,Ben Stiller
1532,Bill Murray
2778,Dennis Hopper
207,Tom Wilkinson
11477,Ray Liotta
658,Alfred Molina
8534,Kathy Bates
287,Brad Pitt
8891,John Travolta
2201,Max von Sydow
227,William Hurt
2227,Nicole Kidman
569,Ethan Hawke
31,Tom Hanks
1062,Christopher Lloyd
5658,Michael Gambon
40481,Luis Guzmán
2224,Christian Slater
4483,Dustin Hoffman
1646,Udo Kier
6384,Keanu Reeves
290,Christopher Plummer
18897,Jackie Chan
20212,Dermot Mulroney
4512,James Woods
11064,David Strathairn
8930,John Cleese
190,Clint Eastwood
2039,Brendan Gleeson
2372,Ron Perlman
9191,Timothy Spall
64,Gary Oldman
537,Stephen Tobolowsky
517,Pierce Brosnan
887,Owen Wilson
2053,Bill Paxton
50,Catherine Deneuve
5576,Val Kilmer
335,Michael Shannon
8984,Bill Pullman
2228,Sean Penn
8785,Ciarán Hinds
17401,Stephen Root
23626,Liev Schreiber
7132,Vincent D'Onofrio
5151,Beth Grant
9880,Sam Shepard
1269,Kevin Costner
879,Billy Bob Thornton
2176,Tommy Lee Jones
3141,Marisa Tomei
3,Harrison Ford
1233,Philip Seymour Hoffman
13550,Elias Koteas
880,Ben Affleck
15831,Frank Welker
3234,Joan Cusack
17882,Isabelle Huppert
6944,Octavia Spencer
1204,Julia Roberts
1271,Andy García
13023,Colleen Camp
8349,Martin Sheen
67773,Steve Martin
19,Allison Janney
6807,Sam Rockwell
4443,Christopher McDonald
112,Cate Blanchett
4785,Jeff Goldblum
1979,Kevin Spacey
1245,Scarlett Johansson
2453,Mary Steenburgen
15735,Helen Mirren
5168,Gabriel Byrne
1137,Juliette Binoche
11512,John Heard
7166,Kevin Pollak
8447,Jeff Daniels
2295,Mickey Rourke
69122,Heather Graham
4430,Sharon Stone
504,Tim Robbins
5657,Anjelica Huston
1466,Charles Durning
515,Glenn Close
3489,Naomi Watts
35742,Shah Rukh Khan
8945,Kevin Kline
1205,Richard Gere
1003,Jean Reno
5292,Denzel Washington
28638,David Koechner
