id,name
8516,John Carradine
1892,Matt Damon
193,Gene Hackman
5049,John Hurt
10182,Ving Rhames
16927,Gérard Depardieu
31,Tom Hanks
1204,Julia Roberts
9221,Donald Pleasence
3894,Christian Bale
380,Robert De Niro
69597,Drew Barrymore
16483,Sylvester Stallone
1037,Harvey Keitel
24299,Jean-Claude Brialy
2461,Mel Gibson
854,James Stewart
121323,Bess Flowers
11160,Danny Trejo
55636,Donald Sutherland
3895,Michael Caine
287,Brad Pitt
2178,Forest Whitaker
6807,Sam Rockwell
113,Christopher Lee
21315,Eric Roberts
62,Bruce Willis
5048,Harry Dean Stanton
4512,James Woods
588,M. Emmet Walsh
4303,Ward Bond
12647,Armin Mueller-Stahl
39995,Michael Cera
4252,Tony Shalhoub
585,Rutger Hauer
2231,Samuel L. Jackson
21125,Richard Kind
69122,Heather Graham
3905,William H. Macy
23626,Liev Schreiber
16475,Burt Reynolds
2387,Patrick Stewart
1230,John Goodman
4430,Sharon Stone
192,Morgan Freeman
56890,Malcolm McDowell
3036,John Cusack
2440,Bill Nighy
1466,Charles Durning
4173,Anthony Hopkins
1640,Stellan Skarsgård
3636,Paul Newman
1461,George Clooney
10017,Charlton Heston
522,Rod Steiger
10158,Robert Mitchum
14975,Porter Hall
17753,Lionel Barrymore
2372,Ron Perlman
6193,Leonardo DiCaprio
824,Ethan Suplee
230,Stephen McHattie
884,Steve Buscemi
13240,Mark Wahlberg
228,Ed Harris
15135,Alain Delon
1579,Maggie Gyllenhaal
16644,Dolph Lundgren
2048,Gary Busey
1231,Julianne Moore
18999,J.K. Simmons
4764,John C. Reilly
1733,Nick Nolte
1246,Emily Mortimer
11357,Bruce Campbell
13333,Vanessa Redgrave
7907,John Ratzenberger
2228,Sean Penn
2047,Danny Glover
6905,Bruce Dern
9642,Jude Law
8447,Jeff Daniels
1954,Billy Zane
8534,Kathy Bates
500,Tom Cruise
18916,Kevin J. O'Connor
15661,Clint Howard
50,Catherine Deneuve
1158,Al Pacino
4521,Burt Young
7447,Alec Baldwin
518,Danny DeVito
7248,Cliff Curtis
12900,Wallace Shawn
85,Johnny Depp
1584544,Philip Ettington
12799,Jeremy Piven
2076,David Warner
2201,Max von Sydow
936,Oliver Reed
7664,Joseph Cotten
10169,Telly Savalas
80704,Shintarô Katsu
11187,Louis de Funès
4165,John Wayne
8496,Paul Fix
13566,Edward G. Robinson
34320,Paul Harvey
122984,Bert Moorhouse
124882,Ralph Dunn
9096,Gino Corrado
112,Cate Blanchett
1956,Cherry Jones
7486,Michael Wincott
1241,John Turturro
2283,Stanley Tucci
9657,Patrick Warburton
21007,Jonah Hill
10297,Matthew McConaughey
3063,Tilda Swinton
36594,Juno Temple
4724,Kevin Bacon
3896,Liam Neeson
51957,Roger L. Jackson
53,Peter Stormare
1844,Til Schweiger
7132,Vincent D'Onofrio
3197,Tom Sizemore
335,Michael Shannon
3202,Edie McClurg
937792,Sean Tucker
378,Jonathan Pryce
3967,Kate Beckinsale
5064,Meryl Streep
18262,Richard Riehle
15992,William Schallert
1333,Andy Serkis
116,Keira Knightley
78798,Tom Kenny
22383,Franco Nero
5576,Val Kilmer
10825,Donal Logue
7166,Kevin Pollak
44079,Charlotte Rampling
1240,Jack Kehler
1920,Winona Ryder
5723,John Leguizamo
821,Beverly D'Angelo
1646,Udo Kier
6968,Hugh Jackman
1164,F. Murray Abraham
2296,Clive Owen
9880,Sam Shepard
58168,Rachelle Lefevre
10127,Jon Voight
7868,Maury Chaykin
227,William Hurt
5419,Saïd Taghmaoui
14888,Bruce McGill
11477,Ray Liotta
1896,Don Cheadle
6074,Kenneth Welsh
3087,Robert Duvall
3094,Talia Shire
7487,David Bowie
4691,James Gandolfini
6497,Naseeruddin Shah
2232,Michael Keaton
48,Sean Bean
2628,Kiefer Sutherland
326,Kim Basinger
290,Christopher Plummer
139,Uma Thurman
16866,Jennifer Lopez
3129,Tim Roth
15735,Helen Mirren
4566,Alan Rickman
35742,Shah Rukh Khan
6217,Anupam Kher
679,Franka Potente
1248,Brian Cox
10978,Maggie Smith
1666,Julie Christie
11086,Michael Ironside
1080265,Michael Ensign
21858,Krista Allen
14324,Joss Ackland
