Movie Name,Domestic,United Kingdom,France,Germany,Spain,Italy,Israel,United Arab Emirates,Romania,Portugal,Poland,Netherlands,Hungary,Croatia,Belgium,Lebanon,Serbia and Montenegro,Bulgaria,Czech Republic,Iceland,Ukraine,South Africa,Latvia,Mexico,Brazil,Argentina,Venezuela,Ecuador,Colombia,Peru,Uruguay,Chile,Bolivia,Australia,Russia/CIS,Hong Kong,Thailand,Malaysia,Indonesia,Philippines,South Korea,New Zealand,Singapore,Taiwan,Japan,India,Sweden,Switzerland,Denmark,Norway,Finland,Türkiye,Greece,Czech Republic/Slovakia,Slovenia,Austria,Lebanon/United Arab Emirates,Baltic States,Egypt,Puerto Rico,Central America+,West Indies,Dominican Republic,Estonia,Lithuania,Paraguay,Jamaica,S/E/W Africa,Greece and Cyprus,China,Central America,Lesser Antilles,Vietnam,Slovakia,Cyprus,Yugoslavia,East Africa,Pakistan,Russia/CIS/Ukraine,Bosnia,Kuwait,Oman,Bahrain,Qatar,South Africa/Nigeria
Toy Story (1995),"$223,225,679","$29,643,211","$19,435,046","$14,467,033","$12,540,482","$7,608,199","$159,522","$135,693","$115,943","$111,284","$107,431","$97,525","$83,347","$80,461","$71,450","$45,069","$29,830","$28,119","$27,896","$22,911","$22,189","$20,876","$12,775","$1,527,411","$730,147","$620,584","$255,035","$202,181","$162,111","$60,912","$41,218","$36,299","$32,214","$908,790","$368,663","$291,339","$137,843","$137,726","$65,049","$54,766","$54,436","$47,529","$42,253","$35,335",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumanji (1995),"$100,499,940","$5,413",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat (1995),"$67,436,818",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoldenEye (1995),"$106,429,941","$21,567",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balto (1995),"$11,348,324",,$766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casino (1995),"$42,512,375",,"$12,279,960","$4,271,235","$4,381,588","$5,527,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sense and Sensibility (1995),"$43,182,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The City of Lost Children (1995),"$1,738,611",,,,,"$42,854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Monkeys (1995),"$57,141,459",,"$10,175,673","$8,686,441","$5,992,111","$5,025,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babe (1995),"$63,658,910","$30,622,667","$9,834,144","$34,174,409","$4,556,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,017,813",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clueless (1995),"$56,631,572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard III (1995),"$2,684,904","$63,614",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortal Kombat (1995),"$70,454,098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To Die For (1995),"$21,284,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Se7en (1995),"$100,125,643","$30,631,133","$32,847,010","$21,985,291","$13,690,160","$14,216,844","$1,738,809",,"$30,691","$1,421,358","$1,301,775","$4,139,350","$490,439","$225,982","$5,392,677",,"$92,357","$42,604",,"$248,772",,"$1,368,913",,"$2,619,472","$5,866,579","$5,007,070","$241,415",,"$983,950",,,"$760,553","$19,380","$8,666,146","$36,871","$3,351,257","$894,332","$252,775","$552,604","$300,000","$4,792,443","$1,201,916","$1,199,567","$2,035,910","$37,787,580","$97,544","$5,378,788","$4,890,625","$2,543,839","$2,151,703","$1,551,163","$1,098,124","$978,824","$438,664","$289,467","$237,139","$203,097","$87,941","$79,861","$356,794","$273,154","$69,734","$47,470",,,,,,,,,,,,,,,,,,,,,,
Pocahontas (1995),"$141,579,773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
