Movie Name,China,South Korea,Domestic,Portugal,Italy,Australia,Russia/CIS,New Zealand,Finland,United Kingdom,Norway,Sweden,Japan,Bulgaria,Argentina,Taiwan,Hong Kong,Hungary,Czech Republic,Mexico,Thailand,France,Germany,Spain,Austria,Belgium,Greece,Poland,Netherlands,Denmark,Serbia and Montenegro,Chile,Venezuela,Peru,Türkiye,Colombia,Brazil,Egypt,Central America+,Middle East Other,South Africa,Iceland,Lebanon,Singapore,Malaysia,Philippines,India,United Arab Emirates,Romania,Slovakia,Uruguay,Bolivia,Russia,Switzerland,Middle East/UAE,Ukraine,Czech Republic/Slovakia,Slovenia,Cyprus,Croatia,Latvia,Estonia,Lithuania,Kenya,Ecuador,Indonesia,Puerto Rico,Kuwait,Bahrain,Oman,Central America,Russia/CIS/Ukraine,Israel,Lesser Antilles,Jamaica,Dominican Republic,Nigeria,Qatar,East Africa,Jordan,Curaçao,Aruba,Baltic States,West Indies
Days of Being Wild (1990),"$2,870,940","$191,672","$146,310","$2,577","$1,585",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Interpreter (2005),"$3,049,029","$2,120,838",,"$1,663,097","$6,726,536","$5,538,473","$1,017,406","$705,948","$529,575","$13,726,376","$728,937","$574,749","$3,695,728","$52,353","$687,030","$1,289,936","$533,049","$441,795","$281,380","$3,470,981","$254,110","$6,271,950","$9,937,931","$8,340,506","$1,199,779","$1,591,793","$1,938,947","$619,200","$1,533,973","$585,679","$46,495","$154,493","$274,985","$119,121","$1,103,098","$311,107","$1,780,064","$52,853",,,"$851,859","$63,166","$90,431","$434,006","$93,922","$278,573",,"$291,587","$112,060","$59,106",,,,"$2,744,347",,,"$335,997","$108,658",,"$131,490",,,,,,"$189,958",,,,,"$420,964",,"$526,340",,,,,,,,,,,
Flight of the Phoenix (2004),$0,"$443,638",,"$37,841","$119,418","$936,276","$370,683","$508,751",,"$1,057,535",,,"$737,693",,,"$434,470",,"$45,591",,"$1,091,766",,"$162,320","$182,448","$2,458,640",,"$133,685","$198,886","$7,134",,,,,"$177,240","$59,969","$74,711","$131,001","$223,860","$17,498",,,"$259,617","$28,621",,"$260,825","$126,774","$260,106","$56,080","$136,471","$29,639",,"$12,413",,,,"$203,675",,,,,,"$12,151","$10,942",,,"$31,977","$67,248","$369,784",,,,"$87,732","$521,579",,"$47,186","$17,124","$10,203",,,,,,,,
Racing Stripes (2005),"$708,215","$546,197",,"$192,971","$969,450","$6,721,094","$304,330","$723,160","$388,342","$10,830,572","$646,019","$521,380","$597,626",,"$164,786",,"$324,221","$223,349","$109,889","$1,963,100","$15,600","$780,088","$3,048,585","$1,046,728","$251,982","$1,481,707","$67,000","$1,111,227","$815,839","$947,250","$10,000","$393,609",,,,,,"$3,819",,,"$700,000","$55,783",,"$216,156",,,,,,"$33,218",,,,"$621,577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alone in the Dark (2005),"$2,250,837",,"$5,178,569","$82,868","$336,291",,"$362,050",,,,,,,,,"$23,125",,,,,,,"$321,458","$1,716,320",,,,,,,,,,,,,,"$9,583",,,,,,,,,,"$161,707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kung Fu Hustle (2004),"$22,922,265","$5,961,759","$17,108,591","$277,894","$1,134,402","$1,088,832","$544,816","$281,530","$138,846","$2,335,359","$313,447","$383,909","$16,512,063",,"$205,283","$6,525,911","$8,100,201","$63,317","$37,622","$1,046,173","$2,168,093","$2,458,493","$1,542,916","$1,724,319","$196,874","$147,187",,,"$114,994","$194,519","$4,519","$22,425","$101,914","$90,691",,"$59,418","$353,584",,"$62,509",,"$84,815",,,"$2,674,365","$2,372,335","$767,102","$1,468,997","$861,590","$31,741",,"$13,244","$8,936","$614,375","$320,121",,,,"$53,597",,"$10,105","$20,145","$22,818",,,,"$1,068,576",,"$99,041","$43,296","$17,605",,,,,,,,"$35,651",,"$12,101","$3,518",,,
Love Letter (1995),"$7,400,000","$454,754",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whisper of the Heart (1995),,"$51,201","$498,156",,,,"$12,090",,"$5,738",,,,"$3,834,387",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046 (2004),,"$735,518","$1,444,588","$68,092","$649,694","$310,914","$138,587",,"$146,215","$740,993",,,"$6,840,294","$5,878","$113,705","$341,063","$778,138",,,,"$26,820","$2,688,696","$1,292,521","$989,001","$195,909","$191,794","$128,000","$28,845","$26,883","$7,658","$7,057","$28,461","$19,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterix & Obelix: Mission Cleopatra (2002),,"$652,632","$3,115,188",,"$3,580,443",,"$1,250,000",,,,"$1,409,696",,,"$30,028",,,,"$545,085","$1,231,076",,,"$77,209,645","$7,164,783","$6,057,973","$1,444,514",,,"$2,259,554","$519,620",,,,,,"$286,029",,"$191,415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
