Movie Name,United Kingdom,Spain,Italy,Germany,France,Poland,Sweden,Norway,Belgium,South Africa,Netherlands,Türkiye,Israel,Ukraine,Hungary,Denmark,Finland,Czech Republic,Switzerland,Slovakia,United Arab Emirates,Iceland,Bulgaria,Egypt,Romania,Greece,Croatia,Serbia and Montenegro,Lebanon,Mexico,Brazil,Venezuela,Argentina,Chile,Uruguay,Japan,Russia/CIS,Australia,Hong Kong,New Zealand,Malaysia,Singapore,Philippines,Taiwan,Thailand,Peru,Colombia,Central America+,Puerto Rico,Ecuador,Dominican Republic,Bolivia,Domestic,Austria,Portugal,Estonia,South Korea,Slovenia,Middle East Other,Lithuania,Pakistan,Czech Republic/Slovakia,Kenya,Latvia,Cyprus,Nigeria,North Macedonia,India,Indonesia,Vietnam,China,Kuwait,Bahrain,Qatar,Jordan,East Africa,Oman,Curaçao,Central America,Switzerland (German),Switzerland (French),Switzerland (Italian),Saudi Arabia,Jamaica,Lesser Antilles,Aruba,Middle East/UAE,Russia/CIS/Ukraine,Russia,Netherlands Antilles,Switzerland (French/Italian),West Indies,Bangladesh,South Africa/Nigeria,S/E/W Africa,Greece and Cyprus,Guatemala,Costa Rica,El Salvador,Panama,Honduras,Nicaragua,Sri Lanka,Paraguay
The Wild (2006),"$7,905,493","$5,305,708","$3,355,615","$2,878,855","$2,491,367","$2,163,163","$1,269,074","$1,032,441","$948,399","$932,935","$791,571","$731,699","$691,251","$336,094","$328,537","$327,484","$226,770","$213,909","$202,044","$166,219","$110,036","$107,276","$47,526","$31,884","$29,375","$28,900","$23,023","$21,414","$9,038","$5,238,694","$2,057,781","$912,473","$824,398","$378,332","$58,258","$6,174,100","$3,149,453","$2,739,903","$593,532","$552,213","$512,791","$508,356","$265,616","$239,584","$102,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silent Hill (2006),"$6,734,879","$4,403,940","$3,530,412","$3,224,851","$5,712,758","$603,030","$234,742","$217,085","$805,224",,"$367,647","$405,327",,"$244,809",,"$381,434","$244,924","$296,745","$492,546","$38,713","$226,494","$50,424",,,"$26,693","$834,739",,,"$3,200","$3,094,590","$641,958","$356,218",,"$278,467","$24,822","$2,462,398","$3,540,000","$1,496,627","$8,094,560","$257,000",,,"$557,599","$909,554","$731,369","$298,011","$283,752","$322,133",,"$92,939",,"$26,719",,"$386,216","$31,009","$17,602","$638,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle in Heaven (2005),"$38,859",,,"$136,485",,,,,,,,,,,,,,,,,,,"$1,083",,,,,,,,,,"$4,476",,,,,,,,,,,,,,,,,,,,"$70,899","$1,949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Dreamz (2006),"$4,134,874","$267,264","$517,300","$1,145,456","$586,316",,"$83,183",,"$210,086","$91,497","$148,297",,"$156,110",,,,,,"$288,678",,"$94,176","$27,153",,,"$42,495",,,,"$27,746",,,,,,,,,"$1,246,182",,,,,"$57,139",,,,,,,,,,,"$241,579",,,,"$40,806","$29,529","$27,805",$602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinky Boots (2005),"$5,147,016","$106,128","$23,729",,,,,,,,,,,,,,,,,,,,,,,,,,,"$61,468",,,,,,,,"$1,045,999",,"$453,848",,"$16,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Protector (2005),"$176,832","$1,041,077","$891,903","$326,971","$2,223,914",,,,,"$10,528",,,,,,,,,,,"$348,054",,"$100,135",,,,,,,,,,,,,,,,"$1,490,369",,,,,"$85,526","$4,417,800",,,,,,,,,"$83,443","$38,572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mission: Impossible III (2006),"$29,032,559","$9,190,665","$7,636,309","$10,310,411","$14,667,711","$870,963","$2,673,233","$2,046,321","$2,752,270","$1,689,213","$2,773,801","$2,054,528","$1,031,000","$729,555","$540,860","$1,813,545","$641,738","$293,180","$2,250,529","$62,071","$1,696,205","$262,872","$155,432","$294,472","$169,851","$1,905,600","$141,332","$73,145","$281,514","$9,123,191","$7,592,800","$1,403,149","$1,585,642","$903,395","$71,056","$44,376,015","$6,269,310","$8,446,854","$3,962,885","$1,461,980","$1,983,508","$2,643,706","$3,086,820","$7,499,840","$2,848,251","$834,723","$1,106,970","$1,333,348",,"$372,260",,"$41,251",,"$1,861,513","$1,693,898","$97,047","$37,618,495","$171,999","$926,629","$74,042","$256,542","$329,331","$142,455","$128,258","$94,140","$40,914","$14,079","$3,309,145","$2,320,032","$221,859","$10,161,479",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wayward Cloud (2005),"$2,095",,,,"$104,902",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,785",,,,,,,,,,,"$321,196",,,,,,,,,,,,,"$9,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV (2006),"$2,000,067","$1,545,613","$347,517","$970,523","$856,947",,"$5,390",,"$16,833","$465,624",,,,,,,,,,,"$452,279","$44,136",,"$51,152","$45,578",,"$27,273","$9,345","$63,253","$2,114,135",,"$843,852",,"$75,143","$55,466",,,"$2,576,615",,"$373,332","$181,897","$272,848","$114,187",,,"$205,194","$191,919","$271,791",,"$100,991",,"$21,654",,,"$306,933","$11,999",,"$86,638",,"$13,668",,,,"$26,745",,"$30,721",,"$51,239","$165,279",,,"$307,065","$112,287","$88,225","$40,536","$23,784","$16,103","$4,814",,,,,,,,,,,,,,,,,,,,,,,,,,
United 93 (2006),"$5,374,823","$3,579,543","$3,190,330","$2,091,523","$4,425,669","$958,219","$781,073","$744,002","$1,411,876","$177,378","$975,485","$231,713","$401,386",,"$117,012","$303,277","$311,675","$312,370","$503,296","$70,123","$299,178","$64,441","$23,694","$8,702","$27,998","$427,130","$73,621","$8,492","$21,443","$2,425,037","$709,063","$241,132","$321,365","$204,879",,"$7,696,219",,"$1,383,583","$406,852","$269,059",,,"$66,834","$338,237","$75,084","$156,360","$309,174",,,"$46,463",,,,"$617,694","$1,039,925","$13,415","$484,424","$34,581","$352,022","$46,041",,"$366,949","$15,582","$43,504","$46,183",,$808,"$175,265",,"$36,070",,,,,,,,,"$379,933",,,,,,,,,,,,,,,,,,,,,,,,,
