Movie Name,Australia,New Zealand,Russia/CIS,Singapore,Taiwan,United Kingdom,South Africa,Domestic,Italy,Spain,United Arab Emirates,Mexico,Venezuela,Hong Kong,Thailand,Japan,France,Belgium,Netherlands,Norway,Germany,Poland,Denmark,Israel,Latvia,Switzerland (French),Switzerland (German),Sweden,Türkiye,Iceland,Romania,Portugal,Czech Republic,Slovakia,Egypt,South Korea,Malaysia,Philippines,India,Brazil,Uruguay,Colombia,Ecuador,Middle East Other,South Africa/Nigeria,Ukraine,Greece,Austria,Hungary,Czech Republic/Slovakia,Switzerland,Finland,Lithuania,Bulgaria,Croatia,Slovenia,Estonia,Serbia and Montenegro,Lebanon,East Africa,Nigeria,Central America+,Argentina,Chile,Peru,Bolivia,Indonesia,S/E/W Africa,Kuwait,Bahrain,Jordan,Qatar,Oman,Puerto Rico,Central America,Dominican Republic,Lesser Antilles,Jamaica,China,Cyprus,Vietnam,Pakistan,Switzerland (Italian),West Indies,Curaçao,Aruba,Ethiopia,Greece and Cyprus,Middle East,Middle East/UAE
Driving Lessons (2006),"$415,624","$290,904","$25,019","$20,202","$6,958","$285,895","$12,989","$239,962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Across the Universe (2007),"$502,282","$50,705","$331,998","$53,702",,"$131,189","$64,484","$24,602,291","$1,227,260","$135,227","$20,211","$424,881",,"$30,932","$46,365","$374,660","$86,590","$16,134",,"$257,912","$127,278","$96,812","$76,057","$72,891","$54,299","$41,738","$40,904","$37,965","$32,693","$16,488","$15,321","$10,213","$10,169","$5,097","$2,252","$149,094","$25,915","$21,098","$18,177","$192,984","$28,836","$22,802","$5,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Rod (2007),"$70,617",,,,,"$163,407","$19,110","$13,938,332",,"$2,401","$84,666",,,,,,$748,"$3,273","$8,773","$11,329",,,"$1,713",,,,,"$4,821",,,,,,,,,,,,,,,,"$24,732","$19,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stardust (2007),"$4,128,470","$628,370","$8,118,263","$888,710","$806,067","$30,910,678","$961,811",,"$3,233,911","$4,241,916","$191,566","$4,940,618","$607,910","$588,396","$853,205","$2,599,075","$4,104,479","$1,752,643","$1,050,173","$484,484","$4,443,892","$1,419,141","$621,780","$431,215","$149,920",,,"$1,612,940","$880,975","$170,345","$263,896","$708,969","$554,900","$88,060","$40,863","$6,062,339","$414,838","$719,423",,"$1,181,172","$11,853","$357,655","$69,765",,"$961,822","$1,013,277","$958,205","$761,649","$618,675","$557,081","$387,570","$322,049","$152,878","$148,544","$130,619","$87,072","$77,532","$45,384","$32,055","$30,017","$18,857","$345,969","$285,236","$193,638","$162,088","$6,220","$289,079",,,,,,,,,,,,,,,,,,,,,,,
The Simpsons Movie (2007),"$26,654,392","$3,306,983","$7,655,636","$1,232,734","$324,462","$78,425,901","$1,117,248","$183,135,014","$23,872,009","$26,277,137","$475,873","$15,296,013","$3,322,901","$1,334,093","$304,523","$371,618","$29,711,502","$5,454,023","$2,784,043","$5,621,380","$37,667,934","$1,329,539","$4,382,256","$1,518,581","$273,736",,,"$5,806,545","$934,502","$679,657","$139,505","$2,197,337","$2,764,086","$645,364","$84,402","$1,473,556","$465,300","$743,555","$275,649","$9,527,148","$362,951","$3,624,107","$1,178,797",,,"$607,329","$1,350,664","$6,181,968","$473,609","$2,512,689","$5,514,571","$4,549,730","$890,890","$115,462","$202,038","$225,035","$387,385","$318,973","$107,785","$69,138","$20,010",,"$7,562,798","$3,895,159","$1,612,510","$327,733","$523,701","$1,263,334","$133,386","$114,349","$64,470","$60,664","$14,414","$2,213,155","$1,816,678","$256,186","$221,551","$54,937",,,,,,,,,,,,
No Reservations (2007),"$4,903,952","$294,429","$1,161,125","$402,265","$313,735","$2,157,958","$738,907",,"$1,587,445","$4,596,206","$262,815","$2,858,816","$572,932","$315,455","$88,774","$5,474,911","$1,958,054","$429,115","$1,448,535","$173,022","$3,399,354","$318,446","$57,501","$473,914","$95,372",,,"$358,361","$955,975","$44,178","$97,885","$506,260","$83,019","$32,346","$90,741","$2,707,135",,"$386,380","$171,108","$1,887,224","$41,220","$159,948","$71,656",,,"$227,419","$512,160","$890,312","$247,408",,"$836,378","$44,212","$93,035","$86,535","$71,886","$112,515","$72,985","$44,032","$134,604","$28,107","$5,204","$67,481","$489,291","$158,844","$273,686","$20,273","$269,566",,,,,,,,,,,,"$1,808,318",,,,,,,,,,,
Underdog (2007),"$3,339,643","$298,116",,"$356,317",,"$3,038,323","$58,734",,"$74,430","$248,616","$130,646","$4,555,910","$1,123,743","$249,287","$395,375",,,"$539,398","$552,003",,"$70,831",,,,,,,,,"$92,243",,,,,,,,"$392,287",,"$1,847,022","$49,809","$884,263","$451,914",,,,,,,,,,,,,,,,"$24,129",,,,"$886,546","$506,231","$516,994","$30,904","$256,371",,,,,,,,"$107,971",,,,,,,,,,,,,,,
The Bourne Ultimatum (2007),"$19,133,337","$2,691,351","$5,909,838","$1,389,046","$3,084,344","$47,043,891","$1,625,515",,"$7,033,305","$14,300,619","$1,464,578","$5,016,250","$1,020,413","$1,151,946","$1,530,687","$15,197,984","$13,142,166","$3,100,754","$3,949,487","$2,996,197","$15,788,006","$1,355,922","$2,364,852","$925,147","$132,046",,,"$2,426,209","$1,287,448","$292,656","$197,129","$1,314,403","$393,641","$87,989","$172,476","$11,684,965","$688,571","$1,253,643","$1,172,725","$3,927,466","$53,143","$437,084","$109,670","$872,694",,"$624,071","$1,718,642","$2,447,288","$548,344","$446,532","$3,263,683","$1,091,798","$159,785","$218,420","$152,167","$174,492","$162,739","$46,741","$140,902","$70,902","$85,996","$779,586","$1,299,305","$335,991","$314,481","$11,477","$1,224,974",,,,,,,,,,"$230,829",,"$3,104,752","$72,795","$135,860","$46,820",,,,,,,,
Bratz (2007),"$1,299,485","$216,842","$401,154","$103,280",,"$8,003,569","$242,090",,"$150,460","$2,026,858","$115,637","$1,221,708","$45,151",,,,,"$74,883","$624,047",,,,,,,,,,"$202,582","$45,463","$14,268","$40,365",,,,,,"$25,424",,"$510,268","$24,815",,"$31,278",,,"$157,269",,,,,,,,,"$72,985",,,"$5,857","$13,728","$8,258","$4,812",,"$44,700",,"$16,009","$6,796",,,,,,,,,,,,,,,,,,,,,,,,
My Best Friend (2006),"$530,190","$139,455","$25,881",,,"$778,790",,,"$1,854,317","$431,919",,"$80,804",,,,"$89,845","$7,282,773","$382,418",,,"$481,511",,,,,,,"$81,585",,,"$2,620",,,,,"$41,408",,,,"$211,709","$34,413",,,,,,"$39,270","$98,847","$3,341",,"$521,989",,,"$6,177",,,,,,,,,"$123,823",,"$16,322","$1,547",,,,,,,,,,,,,,,,,,,,,,,,
