Movie Name,South Korea,Russia/CIS,Domestic,United Kingdom,France,Germany,Italy,Belgium,Sweden,Netherlands,Türkiye,Poland,Austria,Greece,Portugal,Denmark,Norway,Finland,Ukraine,South Africa,United Arab Emirates,Czech Republic,Hungary,Romania,Egypt,Croatia,Lebanon,Slovenia,Latvia,Lithuania,Estonia,Spain,Bulgaria,Slovakia,Serbia and Montenegro,Iceland,Brazil,Mexico,Venezuela,Argentina,Colombia,Peru,Chile,Ecuador,Uruguay,Bolivia,Australia,Hong Kong,New Zealand,Philippines,Singapore,Thailand,Taiwan,Malaysia,Nigeria,East Africa,Ghana,Israel,Bahrain,Japan,Indonesia,Switzerland,Middle East,Mauritius,India,China,Russia,Panama,Switzerland (German),Switzerland (French),Middle East/UAE,Vietnam,Nicaragua,Central America,Dominican Republic,Kuwait,Qatar,Oman,Jordan,Ethiopia,Trinidad & Tobago,Curaçao,Jamaica
Never Forever (2007),"$670,500","$2,244","$14,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remember Me (2010),"$181,306","$3,489,448",,"$5,494,638","$3,534,862","$3,265,022","$3,008,966","$1,503,833","$765,852","$760,329","$725,054","$566,361","$538,732","$500,641","$451,557","$441,619","$422,849","$304,766","$241,408","$234,504","$208,911","$177,837","$154,686","$127,621","$109,369","$108,751","$93,981","$65,975","$64,300","$55,368","$53,395","$45,781","$31,929","$24,090","$20,167","$10,451","$1,980,250","$1,082,812","$339,681","$305,441","$166,540","$162,659","$103,496","$68,947","$28,265","$13,246","$1,216,554","$318,739","$236,347","$210,317","$157,706","$124,455","$124,326","$71,301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Ashes (2008),"$69,265","$58,054",,"$19,429",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$104,991",,,,,,,,,,,,,,,"$3,166","$11,301",,,,,"$19,775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bounty Hunter (2010),"$380,323","$6,369,807",,"$8,998,455","$2,047,060","$8,779,934","$2,208,057","$1,031,218","$674,983","$1,378,923","$585,477","$764,757","$1,737,382","$1,092,013","$745,978","$722,521","$498,080","$421,958","$583,074","$1,410,328","$772,333","$174,093","$682,468","$381,578","$234,563","$177,844","$221,368","$217,357","$122,884","$111,690","$113,615","$4,053,717","$204,752","$197,442","$62,846","$83,862","$3,284,719","$2,942,253","$673,976","$344,433","$496,849","$267,888","$113,902","$166,521","$122,335","$59,172","$4,409,434","$300,193","$526,955","$190,245","$405,543","$156,661","$592,073","$341,555","$95,288","$46,806","$26,254","$742,986","$55,932","$276,353","$242,605",,,,,,,,,,,,,,,,,,,,,,
North Face (2008),"$47,308",,,"$78,021",,"$4,030,997","$132,781",,,,"$30,268",,"$783,527",,,,,,,,,,,,,,,,,,,,,,"$2,013",,,,,,,,,,,,"$3,913","$55,118","$93,462",,,,,,,,,,,,,"$846,227",,,,,,,,,,,,,,,,,,,,,
Oceans (2009),"$3,747,608","$996,870",,,"$23,878,845","$4,516,253",,"$732,605","$666,524","$53,614",,,"$80,023","$24,595",,"$35,084",,"$142,859",,"$15,920","$18,573",,,,,,,,"$23,558","$16,291",,"$1,638,607",,,,"$3,408","$67,190","$364,266",,"$87,919","$548,608","$81,657","$43,134","$3,062","$10,219",$646,"$89,021",,"$194,890",,"$24,102","$17,154",,,,,,,,"$25,545,132",,,,,,,,,,,,,,,,,,,,,,,
Chloe (2009),"$857,971","$1,039,334",,"$417,634","$803,898","$700,562","$416,579","$222,515",,"$321,784","$247,459","$50,667",,"$767,507","$185,515",,,,,"$68,929","$31,246",,"$36,095",,,,"$11,078",,"$27,164","$12,544","$12,322","$1,379,169",,,,,"$573,541","$839,911","$86,968","$160,700","$80,904","$161,025","$21,775","$18,200","$24,675","$9,205","$232,150","$83,828",,"$29,934","$65,561","$56,865","$56,069","$66,571",,,,,,"$170,369",,"$234,171",,,,,,,,,,,,,,,,,,,,,
Mother (2009),"$16,283,879","$5,248","$551,509",,"$171,590","$36,719","$54,159","$16,084",,,,,,,"$2,529",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$67,056","$23,133",,,"$36,365",,"$19,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How to Train Your Dragon (2010),"$25,108,317","$23,460,585","$217,581,231","$26,488,493","$22,605,822","$15,496,906","$6,505,999","$3,165,036","$3,051,153","$3,546,505","$1,449,169","$4,569,051","$2,213,445","$1,243,390","$2,548,807","$3,485,541","$2,507,392","$489,216","$1,431,171","$553,139","$1,858,317","$1,731,914","$972,038","$520,355","$206,943","$326,252","$139,341","$347,028","$210,238","$288,824","$210,449","$12,458,930","$270,247","$467,953","$64,614","$168,995","$11,483,006","$14,362,388","$1,719,199","$2,127,376","$1,917,924","$1,640,894","$1,511,998","$1,187,919","$212,859","$282,504","$16,883,897","$1,339,234","$2,139,699","$1,390,310","$2,968,823","$689,169","$912,817","$1,664,138","$32,008","$52,773","$17,382","$2,070,355",,"$5,540,461","$1,560,733",,,,,,,,,,,,,,,,,,,,,,
The King and the Clown (2005),"$73,992,600",,,,"$73,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$127,348",,,,,,,"$273,816",,,,,,,,,,,,,,,,,,,,,,,
I Hate Valentine's Day (2009),"$76,488","$164,222",,,,,"$982,592",,,,,,,"$342,569",,,,,,"$103,163","$89,078",,,,"$27,718","$81,569","$36,976",,,,,,,,,,"$834,206","$335,820","$150,611","$52,685","$27,572","$113,715",,,,"$743,647",,,,,"$66,812",,,"$3,510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuki and Nina (2009),"$4,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Doll (2009),"$77,554","$13,834",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$84,261",,,,"$17,432","$33,910",,,,,,,"$846,373",,,,,,,,,,,,,,,,,,,,,,,
Clash of the Titans (2010),"$19,243,830","$24,606,550",,"$29,242,160","$19,294,563","$14,679,293","$10,275,464","$2,673,872","$1,878,400","$2,237,071","$3,258,829","$2,319,815","$1,930,936","$4,714,447","$1,318,879","$2,216,165","$1,223,044","$798,908","$2,187,629","$1,378,879","$1,936,590","$1,840,275","$909,855","$877,043","$505,075","$243,606","$353,010","$220,122","$138,767","$175,979","$110,316","$14,556,322","$760,540","$655,170","$158,605","$136,087","$16,238,888","$20,547,663","$3,010,415","$3,978,951","$5,548,400","$2,949,559","$1,828,161","$1,296,539","$233,655","$525,046","$17,033,579","$2,777,427","$1,896,270","$4,736,074","$3,945,289","$2,887,966","$1,203,978","$3,909,530","$185,481","$129,357","$49,473","$922,528",,"$16,337,196","$3,164,699",,,,,,,,,,,,,,,,,,,,,,
Kick-Ass (2010),"$1,001,536","$2,798,147",,"$16,763,505","$5,940,728","$1,683,603","$648,961","$413,585","$694,867","$1,210,645",,"$141,421","$293,094","$255,751","$183,484","$993,251","$1,023,370","$345,328",,"$139,709","$250,573","$96,727","$50,188","$42,315",,"$112,376","$15,321",,"$3,081","$3,622","$10,439","$1,257,505","$22,869",,"$6,290","$135,879","$259,701","$444,200",,"$75,186","$20,361","$64,213","$6,535","$29,974","$3,400",,"$5,021,226","$681,270","$397,655","$224,029","$684,260","$286,942","$809,749","$315,536",,,,,,"$58,471",,,,,,,,,,,,,,,,,,,,,,,
After.Life (2009),"$734,938","$795,772","$108,595",,,,,,,"$34,556","$190,592",,,,"$32,607",,,,,,"$29,351",,,,,,,,,,,,,,,,,"$345,941",,,,"$72,362",,,,"$2,901",,,,"$77,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel (2007),"$23,081","$510,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$72,628",,,,,,,,,,"$47,833","$17,362","$33,909",,"$15,240",,"$5,893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Runaways (2010),"$61,338",,,,"$315,999",,,"$28,249",,,,,,,,,"$19,531",,,"$25,560","$4,397",,,,,,"$3,724",,"$5,051",,"$4,751","$108,756",,,,,"$30,458",,,,,,,,,,"$325,928","$21,368","$107,719",,"$27,483","$10,269","$5,853",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape No. 7 (2008),"$1,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$978,941",,,"$261,572",,"$13,804,531","$59,556",,,,,,,,,,,,"$2,909,204",,,,,,,,,,,,,,,,,
The Roman Spring of Mrs. Stone (1961),"$7,736",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
