Movie Name,Domestic,United Kingdom,Spain,France,Italy,Germany,Netherlands,Poland,Belgium,Austria,Greece,Türkiye,Sweden,East Africa,Portugal,United Arab Emirates,South Africa,Estonia,Lithuania,Russia/CIS,Australia,Taiwan,Hong Kong,Malaysia,Singapore,Thailand,South Korea,Philippines,Mexico,Brazil,Argentina,Peru,Venezuela,Uruguay,Finland,Czech Republic,New Zealand,Lebanon,Iceland,Ukraine,Japan,Norway,Denmark,Israel,Slovenia,Hungary,Croatia,Romania,Slovakia,Egypt,Nigeria,Latvia,Serbia and Montenegro,Ghana,Colombia,Ecuador,Bolivia,China,Ethiopia,Dominican Republic,Curaçao,Aruba,Vietnam,India,Bulgaria,Chile,Central America,Russia,Kuwait,Switzerland,Qatar,Oman,Bahrain,Jordan,Indonesia,Trinidad & Tobago,Jamaica,Switzerland (German),Switzerland (French),Switzerland (Italian),Iraq,Mongolia,Pakistan
Insidious (2010),"$54,009,150","$11,545,946","$7,734,705","$4,171,121","$2,837,985","$1,840,098","$864,512","$716,833","$622,198","$532,944","$368,069","$364,035","$300,141","$223,376","$209,069","$160,814","$74,988","$34,113","$25,835","$3,881,685","$1,416,579","$526,335","$477,103","$342,729","$312,757","$269,398","$223,376","$126,383","$3,508,302","$931,281","$637,019","$424,063","$346,607","$46,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hop (2011),"$108,498,305","$12,235,046","$5,027,911","$5,198,615","$1,606,318","$3,820,584","$979,031","$559,369","$579,319","$1,325,952","$52,452","$627,678","$653,360",,"$638,390","$545,045","$1,004,056","$104,998","$132,988","$2,863,803","$12,361,918","$280,961","$380,199","$546,052","$726,487","$387,709","$1,126,752","$264,282","$7,315,124","$1,751,874","$564,769","$774,000","$1,325,821","$65,284","$225,774","$97,302","$1,674,293","$88,037","$128,272","$468,158","$3,086,306","$878,369","$731,179","$469,107","$179,689","$104,009","$85,171","$72,722","$53,998","$52,702","$41,671","$36,935","$17,697","$5,582","$863,560","$303,177","$88,552",,,,,,,,,,,,,,,,,,,,,,,,,,
Easy Money (2010),"$205,741","$74,788","$110,730","$255,634",,"$24,230",,,"$13,085",,,,"$7,205,130",,,,,,,"$6,891",,,,,,,,,,,,,,,"$12,635",,,,"$46,085",,,"$256,533","$39,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scream 4 (2011),"$38,180,928","$9,099,365","$2,197,129","$9,792,016","$1,870,406","$4,466,288","$1,096,776","$496,042","$1,265,472","$795,956","$668,999","$1,003,677","$773,649",,"$321,689","$320,818","$347,353","$20,982","$30,942","$4,116,546","$4,435,657","$328,067","$569,971","$627,038","$567,091","$261,505","$323,876","$152,525","$2,378,267","$4,637,919","$571,673","$383,887",,"$81,175","$471,529","$147,092","$350,316","$92,910","$34,174","$231,734",,"$581,383","$533,959",,,"$53,605","$48,402","$55,062","$18,999","$118,717",,"$28,553",,,,"$92,734","$8,005",,,,,,,,"$42,006","$144,680",,,,,,,,,,,,,,,,,
Rio (2011),"$143,619,809","$21,578,418","$13,340,789","$24,764,458","$9,204,958","$17,815,018","$6,112,846","$2,738,912","$3,513,828","$3,296,931","$1,413,944","$1,877,441","$2,776,342","$6,227","$3,688,140","$1,883,077","$2,942,794","$384,241","$397,037","$24,803,056","$17,230,382","$1,229,626","$1,203,396","$1,689,506","$1,878,218","$790,364","$4,385,271","$1,649,922","$26,619,086","$33,552,469","$9,439,638","$3,854,491","$8,133,434","$776,450","$1,946,344","$1,067,141","$2,365,313","$440,337","$132,358","$1,838,484",,"$3,385,457","$1,663,214","$2,686,430","$475,900","$1,314,101","$398,401","$729,452","$538,213","$222,373",,"$349,354","$345,697",,"$8,344,012","$2,314,274","$895,429","$3,455,044","$5,649","$76,264",,,"$235,068","$2,472,341","$639,837","$1,378,695","$835,883","$11,273,838","$441,702","$410,078","$291,960","$60,852","$50,885","$31,302",,,,,,,,,
Melancholia (2011),"$3,030,848","$912,898","$957,141","$2,257,374","$738,653","$2,474,779","$610,057","$500,865","$426,817","$228,599","$162,357","$87,517","$622,630",,"$53,844","$2,337",,"$4,696",,"$1,264,305","$913,897","$54,421","$27,928",,,"$21,995",,,"$108,040",,,,,,"$236,925","$217,778","$247,496","$2,369","$6,781","$6,410",,"$375,853","$851,958",,,,,,,,,,"$21,379",,"$76,601",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stranded (2007),"$89,473",,"$15,021",,,,,,,,,,,,,,,,,,,,,,,,,,"$3,799","$202,057","$2,491",,,"$99,970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blind Mountain (2007),"$13,164",,,,,,,,"$6,732",,,,,,,,,,,,,,"$23,451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A Woman, a Gun and a Noodle Shop (2009)","$190,946",,"$115,151",,,,,,,,,,,,$181,,,,,,,,"$89,352",,"$24,895","$1,122",,,,,,,,,,,"$2,750",,$763,,,,,,,,,,,,,,"$3,270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fast Five (2011),"$209,837,675","$30,243,825","$14,498,253","$23,113,416","$15,494,242","$27,072,388","$4,890,675","$1,237,102","$3,331,279","$4,215,887","$2,439,869","$3,452,483","$3,508,584","$79,918","$3,292,264","$3,432,587","$2,686,639","$255,722","$343,355","$29,333,777","$26,794,607","$11,819,218","$1,823,943","$5,522,487","$3,514,117","$4,793,226","$11,367,543","$2,909,053","$25,942,449","$16,679,130","$6,337,752","$2,211,004","$6,472,460","$319,319","$1,184,638","$767,816","$3,054,048","$519,841","$196,400","$2,014,415","$17,707,642","$3,838,206","$2,662,560","$2,954,894","$516,582","$842,422","$280,541","$985,939","$255,724","$447,618","$122,971","$241,074","$42,975","$27,627","$4,189,027","$820,453","$273,801",,,,,,,"$4,723,541","$789,541","$2,097,536",,,,,,,,,"$3,167,381",,,,,,,,
