Movie Name,Malaysia,France,Belgium,United Kingdom,Iceland,Spain,Mexico,Germany,Türkiye,Portugal,Austria,South Africa,Italy,Croatia,Slovenia,Russia/CIS,Thailand,Domestic,Brazil,Venezuela,Peru,Bolivia,Ukraine,Poland,United Arab Emirates,Sweden,Netherlands,Denmark,Norway,Hungary,Greece,Israel,Bulgaria,Czech Republic,Finland,Egypt,East Africa,Lebanon,Slovakia,Serbia and Montenegro,Colombia,Argentina,Ecuador,Uruguay,South Korea,Japan,Australia,Singapore,Philippines,Hong Kong,Indonesia,New Zealand,Taiwan,Nigeria,Ghana,Bahrain,Chile,India,Vietnam,China,Switzerland,Lithuania,Latvia,Trinidad & Tobago,Jamaica,Romania,Canada
Enthiran (2010),"$3,048,246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Steel (2011),"$4,825,353","$9,539,371","$762,585","$7,393,432","$57,954","$5,332,850","$13,536,570","$6,588,375","$614,156","$471,135","$788,221","$1,043,997","$3,885,274","$78,465","$49,069","$19,310,230","$2,425,939",,"$8,294,732","$3,491,730","$1,644,517","$354,094","$1,724,660","$1,037,515","$1,031,384","$659,429","$637,494","$520,252","$438,865","$415,424","$341,359","$337,719","$272,466","$244,538","$173,516","$161,992","$35,022","$31,499","$20,057","$11,937","$3,553,970","$3,408,311","$1,355,899","$67,715","$22,983,903","$17,887,068","$11,299,835","$3,411,327","$2,502,151","$2,498,498","$2,154,893","$1,031,969",,,,,,,,,,,,,,,
The Thing (2011),"$640,303","$810,586","$287,863","$1,869,460","$23,381","$1,601,148","$571,895","$1,106,493","$224,049","$153,948",,"$55,811","$243,962",,"$17,144","$2,507,105","$448,607",,,"$253,852","$124,348","$9,124","$122,996","$315,614","$158,525",,"$58,862",,"$450,587","$54,445",,,"$57,549","$53,058","$85,124","$37,316",,"$13,959","$10,837","$5,042",,,"$70,714","$11,176","$208,679",,"$964,401","$524,089","$80,718","$274,386",,"$69,461",,,,,,,,,,,,,,,
The Three Musketeers (2011),"$819,649","$3,880,990","$1,132,761","$5,437,499","$65,700","$4,286,744","$2,638,338","$16,195,214","$673,933","$730,330","$2,041,425","$452,619","$5,170,712","$275,656","$139,771","$7,928,999","$1,250,892",,"$8,742,931","$1,284,238","$384,062","$81,529","$996,550","$1,017,404","$781,995","$1,430,070","$1,970,432","$966,901","$736,778","$168,522","$691,967",,"$285,147","$402,706","$413,850",,"$19,628","$246,570","$172,481","$120,792","$1,414,817","$1,166,031",,"$31,304","$5,170,426","$24,394,935","$2,852,428","$832,446","$453,910","$753,685",,"$571,757",,"$27,843","$2,721",,,,,,,,,,,,
In Time (2011),"$1,206,204","$8,672,556","$1,453,786","$8,634,105","$45,675","$7,788,439","$2,779,745","$9,478,285","$745,672","$794,989","$1,645,191","$337,202","$5,386,533","$118,493","$102,428","$14,773,018","$1,301,835",,"$2,157,218","$611,290","$323,554","$48,358","$1,383,997","$749,886","$636,285","$1,917,405","$1,212,578","$861,887","$469,870","$904,823","$258,354","$614,970","$381,462","$337,810","$518,032","$245,310","$25,950","$237,182","$104,611","$40,821","$498,075","$835,100","$95,208","$35,348","$4,076,485","$21,565,348","$9,090,780","$1,342,995","$861,037","$1,783,928",,"$1,041,785",,,,"$13,366",,,,,,,,,,,
Paranormal Activity 3 (2011),"$676,339","$7,120,341","$1,411,465","$16,999,985",,"$2,995,291","$7,855,171","$8,044,089","$1,280,093","$289,712","$1,278,530","$204,912","$1,769,144","$70,793","$91,156","$6,630,507","$168,838",,"$5,109,975","$1,315,992","$1,567,250","$265,827","$395,220","$790,942","$383,629","$1,184,178","$1,395,850","$928,413","$919,418","$115,720","$255,831","$216,405",,"$260,669","$417,166","$41,632",,"$38,303","$55,748","$40,200","$1,497,448","$3,340,003","$563,253","$167,633","$798,318","$4,328,796","$7,685,432","$660,429","$560,761","$78,101","$1,115,267","$832,385",,,,,,"$228,385",,,,,,,,,
Johnny English Reborn (2011),"$5,201,268","$2,878,851","$2,173,164","$33,096,980","$196,557","$6,978,465","$3,218,508","$14,175,999","$293,913","$2,365,061","$2,542,767","$1,904,045","$3,462,182","$466,412","$579,329","$5,420,809","$2,253,973",,"$2,174,805","$1,035,140","$454,898","$34,626","$854,570","$958,051","$2,173,997","$1,626,300","$4,502,430","$882,712","$1,967,463","$543,077","$1,465,789","$1,513,986","$204,798","$608,972","$3,160,535","$70,640","$55,185","$562,899","$128,859","$116,258","$1,085,728","$328,636","$234,998","$117,068","$229,270","$1,530,015","$13,449,835","$4,597,349","$2,255,352","$3,218,625","$2,458,666","$1,648,772",,"$33,756","$16,879",,,"$856,014","$260,203",,,,,,,,
Abduction (2011),"$563,113","$5,379,686","$1,835,151","$3,668,455","$29,891","$3,259,401","$3,560,690","$4,147,250","$380,085","$298,999","$494,697","$593,505","$2,025,794","$90,470",,"$2,908,573","$755,872",,"$6,114,581","$625,974","$646,768","$51,714","$328,043","$440,435","$37,998","$502,135","$606,148","$556,069","$399,721","$170,881","$286,013",,"$122,725","$50,847","$96,048",,"$9,476","$97,366",,,"$434,319","$1,120,428","$182,855","$100,830","$921,992",,"$4,312,770","$481,145","$223,407","$140,875",,"$486,405",,"$24,450","$4,600",,,,,,,,,,,,
What's Your Number? (2011),"$279,673","$1,184,251","$350,906","$1,278,571","$38,123","$271,455","$1,506,855","$250,259",,"$315,716",,"$268,135",,"$61,393","$72,974","$2,062,864","$33,016",,"$641,363","$406,558","$251,836","$36,506","$316,573","$135,001",,"$107,795","$378,461","$115,153","$191,655",,,"$293,409",,,"$140,072",,"$14,387","$58,337",,"$49,484","$202,594",,"$84,456",,,,"$2,114,765","$417,482","$260,046","$216,777",,"$246,602",,,,,,"$97,325",,,,,,,,,
Dream House (2011),"$309,295","$2,149,819","$413,665","$1,288,780","$18,872","$2,130,858","$2,420,251",,"$180,669","$289,320",,"$89,661","$464,012","$35,081","$18,173","$2,004,613","$193,333",,"$1,415,999","$895,128","$398,880","$79,967","$97,740","$851,748","$98,769",,"$181,196",,"$79,837","$67,993","$376,491",,"$54,581","$70,835",,,,"$7,749",,"$11,875","$625,231","$792,293","$212,609","$53,272",,,,"$121,300","$118,969","$63,196",,,,,,,,,,,,,,,,,
