Movie Name,Domestic,New Zealand,France,Portugal,Italy,Ukraine,Germany,Bulgaria,Croatia,Slovenia,Australia,Bolivia,United Kingdom,Hong Kong,Japan,South Korea,Taiwan,Singapore,Malaysia,Philippines,Thailand,India,Spain,Sweden,Netherlands,Belgium,Denmark,Finland,S/E/W Africa,Israel,Norway,Switzerland,Austria,Greece and Cyprus,Romania,Egypt,Brazil,Mexico,Puerto Rico,Central America,Colombia,Venezuela,Argentina,Peru,Chile,Uruguay,Poland,South Africa/Nigeria,Türkiye,Hungary,Czech Republic/Slovakia,Latvia,Lebanon,Estonia,Serbia and Montenegro,Lithuania,East Africa,Iceland,Indonesia,Russia/CIS/Ukraine,Paraguay,Jamaica,Greece,Russia/CIS,Czech Republic,South Africa,Kenya,Cyprus,Ecuador,Dominican Republic,Lesser Antilles,China,Central America+,Yugoslavia,Slovakia,Middle East/UAE,Ireland,Lebanon/United Arab Emirates,Jordan,Vietnam,United Arab Emirates,Syria,Bahrain,Middle East Other,Morocco,Panama
Cool Runnings (1993),"$68,856,263","$1,078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinderella (1950),"$93,141,149",$187,"$1,821,201","$1,256,608","$162,911","$1,274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Poppins (1964),"$102,272,727","$7,836",,,"$142,146",,"$271,307","$259,742","$90,958","$33,901",$97,$43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pete's Dragon (1977),"$39,588,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fox and the Hound (1981),"$63,456,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sound of Music (1965),"$159,287,539","$51,881",,,,,,,,,"$5,202",,"$81,975","$10,205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die Hard (1988),"$83,844,093","$140,773","$2,862,015","$333,637","$846,677",,"$5,173,122",,,,"$2,372,650","$19,985","$5,244,935","$1,384,738","$14,377,437","$2,048,190","$1,644,032","$532,708","$442,429","$364,538","$250,638","$93,024","$4,183,064","$3,591,228","$1,422,747","$1,175,938","$1,014,489","$929,767","$833,831","$604,006","$541,884","$424,608","$272,646","$123,900","$93,673","$40,233","$1,445,251","$1,418,136","$318,644","$309,155","$298,967","$205,092","$158,914","$107,634","$85,994","$27,775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beautiful Thing (1996),"$1,548,120",,,,,,,,,,,,"$627,772",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romeo + Juliet (1996),"$46,351,345","$1,774,834","$7,288,492","$629,999","$3,338,156",,"$13,740,194","$161,196","$78,790","$96,509","$12,594,776","$41,989","$12,142,616","$637,899","$9,359,523","$7,358,744","$1,110,056","$605,594",,"$501,455","$1,082,618","$43,790","$2,920,517","$1,007,479","$1,085,272","$2,352,123","$895,750","$886,244",,"$720,767","$1,179,943","$2,010,977","$1,115,528","$413,850","$118,594","$112,387","$3,411,734","$2,218,204","$279,069","$210,856","$615,009","$229,035","$695,906","$88,438","$457,878","$40,601","$1,149,702","$1,053,293","$708,600","$365,502","$238,313","$78,663","$68,577","$45,437","$30,005","$24,115","$6,432","$1,615","$1,423,959","$321,772","$24,943","$9,334",,,,,,,,,,,,,,,,,,,,,,,,
Willy Wonka & the Chocolate Factory (1971),"$573,368","$19,577",,,,,,,,,"$29,916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life of Brian (1979),"$20,206,622","$8,933",,,,,,,,,"$30,988",,"$299,501",,,,,,,,,,,,,,,,,,"$37,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor/Victoria (1982),"$28,215,453",,"$13,593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dial M for Murder (1954),"$24,845",$108,"$6,254",,,,,,,,,,,,,"$11,708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirty Dancing (1987),"$64,577,242","$1,137",,,,,"$50,683",,,,"$87,654",,"$2,903,169",,,"$7,183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reservoir Dogs (1992),"$2,832,029","$2,161",,,"$27,721",,,,,,"$30,519",,,,,,,,,,,,"$21,214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Instinct (1992),"$117,727,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$154,219",,,,,,,,,,,,,,,,,,,,,,
E.T. the Extra-Terrestrial (1982),"$437,141,279","$1,834,000","$27,588,000","$1,359,000","$19,003,000",,"$23,723,000","$30,345","$24,312","$29,341","$18,464,000",,"$29,614,000","$3,034,000","$66,928,000","$665,271","$3,359,000","$489,068","$135,989","$1,172,000","$896,000","$213,000","$13,966,000","$5,120,000","$5,091,000","$4,532,000","$3,235,000","$2,134,000",,"$1,630,000","$2,463,000","$5,796,000","$2,183,000",,"$2,074","$104,000","$13,382,000","$5,219,000",,"$1,518,000","$1,631,000","$3,155,000","$2,882,000","$893,000","$1,603,000","$260,000","$252,785",,"$110,216","$18,870","$48,882",,"$128,000",,,,,"$25,480","$173,976",,,,"$585,000","$181,605","$10,571","$3,258,000","$18,432","$17,826","$294,000","$263,000","$255,000","$1,189,478",,,,,,,,,,,,,,
Days of Thunder (1990),"$82,670,733",,,,,,,,,,"$4,492,812",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top Gun (1986),"$180,258,178","$32,442",,,,,,,,,,,,,,"$130,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebel Without a Cause (1955),"$212,780",$234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On Golden Pond (1981),"$119,285,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drop Dead Fred (1991),"$13,878,334",,,,,,,,,,$77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Abyss (1989),"$54,461,047",,,,,,,,,,$316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fog (1980),"$21,448,782",$48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escape from New York (1981),"$25,244,626",$673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,666",,,,,,,,,,,,,,,,,,,,,,
Monty Python and the Holy Grail (1975),"$1,827,696","$2,029","$31,382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,811",,,,,,,,,,,,,,,,,,,,,
The Return of Martin Guerre (1982),"$3,723,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad Moon (1996),"$1,055,525",,,,,,,,,,,,,,,,"$4,739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinema Paradiso (1988),"$12,397,210",$476,,"$40,920",,,,,,,,,"$36,938",,,"$308,579","$3,637",,,,,,"$116,594",,,,,,,,"$88,483",,,,,,,,,,,,"$21,761",,,,,,,"$4,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Cook, the Thief, His Wife & Her Lover (1989)","$7,724,701",$847,,,,,,,,,,,"$798,446",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delicatessen (1991),"$1,794,187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Double Life of Véronique (1991),"$1,999,955",,,"$7,014",,,,,,,,,,"$32,704",,"$20,818",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,998",,,,,,,,,,,,,,"$90,450",,,,,,,,,,,,,,,,,,,,,,,
Strictly Ballroom (1992),"$11,738,022",,,,,,,,,,"$11,573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tie Me Up! Tie Me Down! (1989),"$4,087,361",,,,,,,,,,$779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris Is Burning (1990),"$3,905,297",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Flew Over the Cuckoo's Nest (1975),"$108,981,275",,,,,"$5,279",,,,,,,"$16,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$111,909",,,,,,,,,,,,,,,,,,,,,,
Star Wars: Episode V - The Empire Strikes Back (1980),"$292,753,960","$662,628","$7,249,448","$150,997","$1,449,747",,"$7,771,680","$42,981","$56,486","$19,336","$3,527,470","$43,644","$11,537,365","$354,074","$7,615,862","$894,814","$468,444","$218,708","$156,419","$450,766","$527,598","$115,955","$1,867,304","$928,380","$594,082","$743,231","$586,215","$326,848",,"$172,813","$580,903","$871,892","$507,939",,"$70,531","$22,112","$1,235,130","$1,031,797","$266,850",,"$330,396","$92,285","$543,211","$242,326","$480,424","$38,882","$682,447",,"$205,998","$314,183",,"$14,843","$18,050","$15,560","$36,404","$11,097",,"$6,975","$158,756",,"$8,815","$12,701","$203,995",,"$61,962","$230,883",,,,"$100,000","$44,965",,"$263,579",,,,,,,,,,,,,
The Princess Bride (1987),"$30,857,814","$1,787","$3,478",,,,,,,,"$23,926",,"$1,488",,,,,,,,,,"$14,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
