Movie Name,Russia/CIS,Singapore,Mexico,Thailand,China,Domestic,Hong Kong,Japan,South Korea,Australia,France,Germany,Spain,Belgium,Italy,Finland,Austria,Portugal,Türkiye,Serbia and Montenegro,South Africa,Croatia,Brazil,Argentina,Uruguay,United Kingdom,Poland,Iceland,Israel,Greece,Norway,Netherlands,Ukraine,Denmark,Sweden,Czech Republic,Nigeria,Bulgaria,Slovakia,Slovenia,Ghana,Venezuela,Peru,Colombia,Ecuador,Chile,New Zealand,Philippines,United Arab Emirates,Hungary,Egypt,Lebanon,East Africa,Bolivia,Indonesia,Malaysia,India,Taiwan,Bahrain,Lithuania,Jordan,Vietnam,Romania,Switzerland
Grabbers (2012),"$248,554","$4,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erased (2012),"$139,878","$64,917","$301,975","$236,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Grandmaster (2013),"$308,709","$882,814","$78,567","$243,514","$55,100,000","$6,594,959","$2,742,753","$2,330,211","$522,478","$26,310","$2,531,069","$303,586","$226,057","$124,629","$92,979","$72,707","$51,091","$27,417","$18,211","$10,885","$7,704","$1,802","$41,833","$31,064",$809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Is the End (2013),"$2,332,194",,"$365,835",,,,,,,"$6,931,558","$509,512","$2,886,941","$516,806","$76,499","$259,214",,"$201,382","$70,311","$157,376","$16,223","$30,351","$48,133","$737,691","$271,631","$25,265","$6,270,430","$231,230","$134,220","$113,433","$112,586","$94,703","$90,573","$69,738","$53,555","$52,866","$37,912","$32,014","$24,543","$18,066","$11,463","$1,149","$322,703","$134,481","$92,765","$55,670","$39,994","$486,348","$85,770",,,,,,,,,,,,,,,,
Iron Man 3 (2013),"$44,220,462","$10,210,551","$48,566,365","$8,866,802","$121,200,000",,"$13,705,128","$25,185,661","$64,211,513","$36,164,486","$38,962,258","$24,368,143","$13,049,065","$3,511,575","$20,910,968","$1,892,796","$3,524,852","$1,673,680","$4,509,262","$123,278","$3,188,171","$368,750","$47,874,596","$13,556,234","$507,296","$57,074,453","$4,252,929","$379,577","$2,152,217","$2,049,858","$5,330,071","$5,720,784","$3,290,686","$4,432,711","$5,500,507","$1,895,271",,"$651,777","$502,989","$178,149",,"$12,442,756","$5,794,748","$5,870,418","$4,534,301","$7,848,244","$5,226,081","$14,949,472","$5,725,369","$2,023,575","$799,411","$576,545","$347,448","$1,444,620","$15,308,150","$13,909,003","$12,209,244",,,,,,,
Day of the Falcon (2011),"$285,197","$16,182","$263,281","$6,992",,,,,,,,,,,,,,,,,,,"$173,988","$166,261","$5,674",,,,,,,,,,,,,,,,,,"$114,952","$71,154","$68,664","$68,199",,,,,,,,"$23,408",,,,,,,,,,
About Cherry (2012),"$5,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Great Gatsby (2013),"$17,606,839","$1,141,636","$5,303,342","$321,593","$13,340,000","$144,857,996","$1,363,222","$11,188,400","$7,939,861","$25,282,416","$14,088,861","$15,793,180","$5,911,512","$2,738,028","$9,366,454","$1,087,510","$1,783,123","$704,232","$805,132","$173,807","$1,048,037","$266,460","$2,223,847","$1,163,857","$70,850","$23,925,733","$1,829,377","$94,379","$558,886","$1,119,588","$1,795,746","$3,217,804","$1,809,104","$1,734,459","$3,246,763","$1,196,611","$42,559","$361,960","$481,057","$143,530",,"$445,815","$231,249","$622,768","$55,639","$459,170","$2,299,099","$395,058","$1,301,509","$859,352","$334,655","$300,510","$29,726","$62,767","$414,383","$343,301","$617,488",,,,,,,
Star Trek Into Darkness (2013),"$10,518,964","$2,410,097","$6,775,180","$1,512,565","$57,045,659",,"$2,178,708","$10,818,483","$11,427,281","$10,115,222","$8,054,818","$20,606,804","$3,962,725","$1,031,875","$2,996,987","$601,315","$1,872,865","$470,600","$793,621","$73,638","$549,319","$378,268","$5,219,023","$613,780","$15,174","$39,356,029","$664,396","$176,520","$274,376","$255,895","$1,192,894","$1,913,528","$1,050,838","$755,425","$1,757,951","$667,500","$23,490","$204,634","$175,918","$87,153",,"$998,404","$814,483","$663,481","$491,965","$521,474","$2,638,306","$1,440,877","$1,088,282","$608,902","$99,487","$54,517","$64,045","$149,980","$2,363,774","$2,788,841","$968,251",,,,,,,
The Internship (2013),"$3,244,749","$1,100,934","$2,549,352",,,,"$746,239",,,"$7,120,305","$2,071,853","$2,068,459","$1,855,654","$804,239","$179,952","$346,802","$724,216","$722,576","$289,691","$67,878","$850,769","$100,869","$4,484,016","$660,081","$104,146","$5,331,311","$674,331","$73,083","$400,944","$98,599","$485,520","$1,017,340","$414,556","$473,373","$684,527","$204,477",,"$103,481","$144,533","$93,017",,"$653,263","$621,755","$581,921","$183,691","$253,681","$652,993","$390,075","$672,366","$462,214","$81,913","$129,445","$31,552","$30,609",,"$556,881",,,"$200,887",,,,,
The Corsican File (2004),"$687,980",,,,,,,,,,"$17,755,607",,,,,,,"$4,728","$108,709",,,,,,,,"$76,466",,,,,,,,,"$36,286",,,,,,,,,,,,,,"$258,809","$1,501",,,,,,,,,,,,,
The Players (2012),"$1,300,771",,"$255,287",,,,,,,,"$19,340,168",,"$564,893","$1,107,198","$544,424",,,"$213,847","$220,639","$2,071",,,"$183,685",,,"$4,271","$686,001",,,"$151,091",,,"$6,640",,,,,,,"$26,369",,,,,,,,,,"$10,943",,,,,,,,,,,,,,
Only God Forgives (2013),"$23,206","$12,860","$93,775","$66,799",,"$779,188",,,,"$356,874","$3,662,317","$546,125","$265,710","$428,988","$753,872","$141,626","$77,138","$48,612","$45,234",,,,,,,"$1,888,222","$182,317","$19,495",,"$40,310","$148,935","$416,212",,"$307,913","$126,682","$25,760",,"$1,901","$21,353","$9,760",,,,,,,"$74,228",,"$87,007",,,"$5,913",,,,,,,,,,,,
