Movie Name,Türkiye,Germany,Greece,Austria,United Kingdom,France,Belgium,Brazil,United Arab Emirates,Spain,Portugal,Netherlands,Ukraine,Bulgaria,Norway,Croatia,Egypt,Iceland,Lebanon,Russia/CIS,Malaysia,Thailand,Japan,Philippines,Singapore,Hong Kong,China,Sweden,South Africa,Australia,New Zealand,South Korea,Finland,Italy,Poland,Czech Republic,Slovakia,Hungary,Slovenia,Argentina,Uruguay,Ecuador,Domestic,Serbia and Montenegro,Peru,Bolivia,Nigeria,East Africa,Mexico,Chile,Israel,India,Denmark,Bahrain,Lithuania,Colombia,Venezuela,Taiwan,Vietnam,Switzerland (German),Saudi Arabia,Switzerland (French),Estonia,Latvia,Kuwait,Switzerland,Kenya,Oman,Ghana,Central America,Romania,Jordan,Cambodia,Qatar,Ethiopia
Alone (2008),"$15,789,780","$176,361","$44,592","$18,640","$8,017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabotage (2014),"$91,498","$653,706",,"$178,681","$844,654","$925,319","$203,734",,"$472,570","$408,724","$134,803","$106,571","$99,410","$60,416","$42,880","$20,940","$11,297","$10,007","$9,187","$1,464,436","$986,236","$379,263","$265,218","$189,987","$164,411","$94,376","$3,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Zero Theorem (2013),"$21,773","$123,736",,"$31,004","$180,237","$210,867",,"$75,057",,"$18,333",,,,,,,,,,"$393,591",,,,"$4,560","$1,857",,,,,"$46,386",,,,"$58,144","$32,527",,,,"$10,193","$1,788",,,"$257,706","$9,122","$7,294","$2,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endless Love (2014),"$124,830","$994,781",,,"$2,864,318","$19,995",,"$96,212","$121,287","$38,116","$69,729","$184,293","$260,534","$28,480",,"$40,922","$51,650",,"$56,556",,"$118,586","$51,122",,"$59,537","$148,497","$66,108",,,"$103,557","$1,778,065","$131,190","$115,268",,"$51,019","$322,427","$32,255","$41,326","$99,973","$47,825",,"$7,145","$44,524",,,"$59,381",,"$5,941","$5,775","$917,744","$28,030",,,,,,,,,,,,,,,,,,,,,,,,,
Winter's Tale (2014),"$361,676","$1,654,151","$294,088","$155,933","$744,442","$274,221","$314,614","$246,193","$170,469","$1,697,427","$211,764",,"$276,786","$110,387",,"$66,420","$118,096","$2,071","$33,898","$1,825,535",,,,"$191,189","$87,012","$90,656",,,"$92,588","$773,908","$237,693",,"$68,253","$2,106,391","$352,562","$160,196","$165,947","$132,298","$30,571","$281,762","$17,790","$173,934",,"$26,082","$134,409",,"$9,386","$13,649","$759,941","$155,430","$184,873","$36,614",,,,,,,,,,,,,,,,,,,,,,,
On the Other Side of the Tracks (2012),"$38,703","$2,692,229","$55,486","$270,450",,"$18,903,888",,,,"$299,072","$13,593",,,,,,,,,"$1,312,177",,,,,,,,,,,,,,"$1,178,477","$269,598","$16,384","$14,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe (2013),"$1,984",,,,"$170,656","$1,380,240","$125,580",,"$116,374","$87,912",,"$84,845",,,,,,,"$21,538",,,"$5,805",,,,,,,,,,,,,,"$7,630","$5,104",,,,,,,"$5,338",,,,,,,,,"$45,062",,,,,,,,,,,,,,,,,,,,,,
The Painting (2011),"$1,305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Grand Budapest Hotel (2014),"$609,659","$9,559,825","$845,242","$1,123,985","$18,509,536","$11,245,985","$1,404,427","$2,337,768","$212,773","$6,190,166","$540,664","$3,003,409","$322,117",,"$1,058,451","$93,747",,"$77,839","$108,736","$5,614,501","$57,706",,"$3,219,230","$67,200","$651,740","$519,422",,"$3,234,870","$254,863","$11,283,997","$3,567,488","$4,911,123","$1,005,122","$6,359,187","$1,094,527","$455,155","$125,141","$420,076","$50,629","$941,972","$135,290",,"$59,301,324","$97,142","$151,968",,,,"$1,638,127","$401,735","$534,475","$288,250","$1,119,503","$26,935","$136,439","$409,370","$269,640",,,,,,,,,,,,,,,,,,
Omar (2013),"$6,159",,,,"$31,824",,"$30,291",,,"$129,828",,,,,,,,,$700,,,,,,,,,,,"$9,926",,,,,,,,,,"$15,201",,,,,,,,,,,,,,,,"$34,515",,,,,,,,,,,,,,,,,,,
