Movie Name,Russia/CIS,Thailand,Germany,United Kingdom,France,Spain,Italy,Netherlands,Austria,Belgium,Poland,Portugal,Sweden,Norway,Hungary,Denmark,Israel,Ukraine,Greece,Türkiye,Czech Republic,Slovakia,Finland,South Africa,Croatia,Lebanon,Bulgaria,Slovenia,Serbia and Montenegro,Iceland,East Africa,Mexico,Venezuela,Brazil,Peru,Colombia,Argentina,Ecuador,Chile,Uruguay,Bolivia,Australia,Hong Kong,New Zealand,Philippines,Singapore,India,South Korea,United Arab Emirates,Egypt,Nigeria,Malaysia,Domestic,Qatar,Bahrain,Oman,China,Kenya,Ghana,Japan,Jordan,Romania,Taiwan,Estonia,Switzerland (French),Lithuania,Latvia,Vietnam,Paraguay,Switzerland (German),Indonesia,Switzerland,Central America
Hellphone (2007),"$1,811,461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex Tape (2014),"$6,429,133","$308,202","$12,142,792","$7,146,281","$4,366,829","$4,147,421","$3,652,410","$3,449,016","$2,369,090","$2,124,948","$1,807,552","$1,269,802","$1,148,175","$877,731","$857,682","$803,065","$740,191","$687,903","$560,250","$528,439","$486,610","$453,050","$418,441","$403,752","$359,781","$331,962","$225,079","$197,800","$128,186","$109,655","$23,860","$5,161,881","$2,406,993","$1,892,397","$591,875","$566,340","$436,496","$365,350","$329,697","$175,019","$156,579","$6,907,216","$464,864","$463,900","$406,695","$335,464","$277,164",,,,,,,,,,,,,,,,,,,,,,,,,,
The Purge: Anarchy (2014),"$1,437,069","$358,117","$5,298,783","$7,697,696","$3,722,860","$2,776,874","$2,759,787","$704,843","$1,019,963","$466,404","$399,958",,"$319,993","$82,784","$14,966","$56,513","$96,757",,,"$417,136","$111,766","$40,699","$55,092","$42,117","$45,355","$46,971","$25,957","$24,560",,"$19,921",,"$1,183,331","$593,313",,"$173,984","$172,459","$1,087,105","$147,427","$372,076","$56,163","$30,702",,"$326,603",,"$176,315","$496,952",,"$375,400","$480,955","$63,810","$11,545","$615,760",,,,,,,,,,,,,,,,,,,,,
Guardians of the Galaxy (2014),"$23,530,885","$3,411,898","$24,601,759","$37,213,981","$19,894,500","$10,149,190","$7,011,889","$3,670,838","$2,531,070","$2,844,222","$2,518,706","$1,250,861","$5,270,506","$3,075,250","$1,625,312","$2,646,542","$1,900,924","$2,096,984","$703,988","$1,919,065","$1,170,173","$339,099","$1,376,093","$1,480,923","$308,536","$180,532","$547,822","$136,116","$211,909","$423,971","$153,454","$19,648,542","$6,016,230","$16,820,519","$3,464,059","$2,383,127","$4,651,901","$1,639,145","$2,715,355","$209,980","$795,969","$23,301,106","$3,325,123","$3,558,051","$5,382,807","$4,729,358","$2,365,347","$10,129,673","$2,341,434","$376,549","$116,524","$5,803,492","$333,718,600",,,,"$86,346,366","$154,232","$4,878","$9,504,440",,,,,,,,,,,,,
The Signal (2014),"$1,049,387",,,,,"$104,485",,,,,,,,,,,,,,,,,,"$8,594",,,,,,,,,,,,,,,,,,,,,,,,"$764,924","$49,022",,,,,,"$10,687","$5,815",,,,,"$1,812",,,,,,,,,,,,
The Expendables 3 (2014),"$6,476","$1,190,629","$7,170,445","$6,473,058","$8,670,253","$4,145,916","$3,936,843","$1,888,338","$1,225,144","$1,384,771","$801,556","$914,057","$621,774","$831,999","$593,498","$821,703",,"$315,140","$435,646","$3,112,485","$496,419","$187,373","$908,777","$420,030","$187,720","$330,796","$100,139","$43,370","$50,071","$98,699",,"$5,746,377","$1,142,725","$10,787,256","$1,003,968","$659,219","$815,764","$220,894",,"$47,398","$113,008","$3,951,610","$1,743,201","$525,021","$578,705","$1,331,311","$2,379,090","$886,603","$2,219,393","$279,840","$28,404","$2,176,373",,,,,"$72,870,000",,,"$4,887,712",,,,,,,,,,,,,
RamLeela (2013),$790,,"$62,131","$1,503,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$428,991",,"$107,045",,,,,,,,,"$2,738,863",,,,,,,,,,,,,,,,,,,,
Hercules (2014),"$22,250,541","$1,667,529","$7,824,447","$9,112,916","$6,598,150","$4,277,275","$4,696,683","$1,597,704","$1,105,416","$943,481","$1,184,756","$657,779","$589,873","$2,492,496","$677,457","$395,702","$1,111,078","$1,506,855","$1,028,070","$2,075,474","$440,343","$264,873","$191,601","$787,609","$122,757","$460,485","$839,485","$83,020","$70,743","$96,323","$116,108","$9,812,367","$518,585","$14,209,119","$2,711,069","$3,332,172","$2,201,725","$1,050,515","$1,453,979","$124,588","$569,930","$7,623,857","$582,498","$1,398,865","$2,120,304","$2,270,200","$4,677,722","$520,039","$2,468,167","$253,477","$115,064","$4,291,639",,,,,"$13,170,000",,,"$3,447,257",,,,,,,,,,,,,
Paradise: Hope (2013),"$26,157",,"$189,781","$3,816",,"$44,863",,,"$168,059","$8,636",,,,"$6,034",,,,,,,,,,,,,"$3,085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Most Wanted Man (2014),"$348,600",,"$2,576,077","$3,254,206","$1,224,185","$1,882,957","$1,279,330","$1,030,455","$238,614","$302,335","$557,518",,"$148,450","$154,399",,,,"$61,523","$178,181","$94,158","$78,181","$25,958","$39,164","$61,231","$4,813",,"$68,175",,,"$10,621",,,,"$253,149","$103,091","$66,602","$235,339",,"$122,508","$26,132",,"$1,238,949","$55,917","$68,990",,"$100,814",,,,,,,,,,,,,,,,,,,,,,,,,,,
Wish I Was Here (2014),"$419,860",,"$266,602","$45,181","$556,958","$30,404",,,"$61,241",,"$62,325",,,"$7,796",,,,,,"$409,380",,,"$6,661","$24,938",,,,,,,,,,,,,,,,,,"$143,598","$8,123","$10,496","$17,801",,,,,,,,,,,,,,,,,"$8,113",,,,,,,,,,,
Boogie (2009),"$55,121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Burma Conspiracy (2011),"$1,578,907","$12,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step Up All In (2014),"$6,211,481","$1,502,553","$8,617,556","$2,020,045","$7,063,666","$1,434,677","$4,666,405","$1,987,523","$1,239,528","$2,470,380","$849,801","$206,871",,"$176,884","$157,596","$255,991",,,"$456,432","$49,125","$142,859","$76,852","$144,251","$1,503,812","$173,678","$530,365","$133,939","$46,949","$27,855","$48,304","$42,759",,,,,,,"$95,420",,,,"$2,802,561","$1,625,137","$685,945","$1,128,753","$1,288,480","$756,331","$3,683,691","$1,572,261","$201,283","$23,926","$1,480,536",,,,,,,,,,,,,,,,,,,,,
Magic in the Moonlight (2014),"$21,267","$29,976","$1,628,248","$1,422,133","$8,036,708","$2,375,955","$4,213,915","$745,258","$318,803","$423,707","$1,391,812","$398,393","$383,333","$175,727","$126,064","$372,656",,,"$807,806","$181,241","$194,577","$59,165","$185,898","$93,800","$41,084",,"$83,599","$27,298",,"$3,616",,"$337,079","$198,811","$1,573,242","$95,226",,"$914,214",,,"$94,336",,"$2,661,307","$163,845","$401,022",,"$76,336",,,,,,,,,,,,,,,,"$27,983","$125,731",,"$330,069","$36,473",,,,,,,
Zarafa (2012),"$146,563",,"$18,537",$178,"$11,169,839","$62,693","$100,376",,"$4,960","$357,985",,"$56,118",,,,,,,"$83,833","$144,175",,,,,,,,,,,,,,"$23,690",,,,,,,,,,,,,,,"$26,276",,,,,,,"$2,351",,,,,,,,,,,,,,,,,
The Hundred-Foot Journey (2014),"$616,402","$109,782","$5,095,552","$4,364,114","$1,033,679","$1,505,472","$691,764","$476,614","$680,811","$223,984","$678,730","$324,506","$1,715,975","$54,539","$158,268","$345,228",,,"$218,586","$100,343","$100,039","$53,078","$178,064","$407,900","$131,743","$107,579","$81,449","$30,505","$51,646","$86,656","$15,508","$279,866","$72,116","$405,294","$203,091","$87,015","$235,415","$45,840","$186,029","$109,814",,"$10,472,459","$381,478","$1,786,403",,"$412,294","$74,141",,,"$37,996","$5,487","$325,633","$54,240,821",,,,,,,,,,"$514,745",,,,,,,,,,
Jupiter Ascending (2015),"$10,023,110","$1,158,293","$4,892,483","$6,551,281","$5,572,135","$2,188,763","$2,196,060","$1,136,300","$644,135","$840,405","$735,302","$651,408","$527,909","$206,591","$545,271","$419,248","$262,573","$70,253","$200,782","$1,020,594","$314,493","$202,937","$276,549","$539,001","$116,661","$153,268","$489,728","$15,563","$51,550","$52,107",,"$3,826,366","$1,420,052","$4,126,103","$922,045",,,"$877,104","$815,544","$52,755","$240,779","$4,049,140","$923,871","$907,350",,"$700,221","$344,331","$2,043,766","$1,348,850",,,"$2,390,940",,,,"$120,225","$44,620,000","$354,394",,"$1,060,714","$47,748","$829,349","$1,920,541","$173,402",,"$105,846","$111,434",$112,,,,,
Teenage Mutant Ninja Turtles (2014),"$28,916,123","$2,325,532","$10,253,688","$21,569,311","$16,347,373","$4,060,024","$4,563,212","$1,304,099","$1,275,647","$1,603,949","$849,496","$434,692","$1,652,941","$873,229","$378,407","$793,792","$937,677","$1,560,525","$41,130","$1,703,941","$733,536","$264,858","$649,548","$1,135,560","$307,047","$361,096","$670,893","$117,201","$142,738","$183,902","$53,624","$18,214,290","$3,470,371","$19,219,133","$3,583,364","$6,066,880","$3,713,727","$2,207,577","$2,290,873","$250,529","$745,655","$15,627,840","$1,058,353","$2,152,806","$3,013,681","$3,244,553","$1,189,105","$2,592,317","$2,976,029","$248,593","$49,758","$5,263,569",,,,,"$62,130,000","$54,199",,"$8,827,229",,,,,,,,,,,,,
The Giver (2014),"$3,492,812",,"$984,252","$519,087","$1,589,461",,"$1,962,293",,"$116,496",,"$1,110,727","$128,177",,$260,"$201,960",,,"$47,914","$45,068","$154,216","$86,069","$18,068",,"$138,821",,"$15,425","$51,105","$8,774",,"$19,035",,"$1,274,913",,"$2,806,386","$67,888",,"$87,845","$59,612","$77,409","$2,324","$8,984","$1,384,251","$477,309","$260,696","$188,077","$103,751","$48,922","$605,023","$67,794",,,"$234,036",,,,,,,,,,,,,"$69,710",,,,,,,,
Cane Toads: The Conquest (2010),"$49,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
