Movie Name,Thailand,Russia/CIS,Philippines,Singapore,Vietnam,South Korea,Ukraine,Czech Republic,Belgium,Slovakia,Romania,Lithuania,South Africa,Estonia,Croatia,United Arab Emirates,Latvia,Egypt,Oman,Ecuador,Spain,Greece,Sweden,Norway,United Kingdom,Argentina,Colombia,Uruguay,New Zealand,Brazil,Peru,Portugal,Mexico,Bolivia,Australia,Chile,Poland,China,Iceland,Taiwan,Hong Kong,Malaysia,Germany,Italy,France,Türkiye,Austria,Lebanon,Bulgaria,Jordan,Domestic,Netherlands,Denmark,Finland,Hungary,Serbia and Montenegro,Slovenia,Japan,Israel,Switzerland (German),Kuwait,Switzerland (French),Qatar,Bahrain,Cyprus,Iraq,Kenya,Palestine,Venezuela,Costa Rica,Panama,Guatemala,West Indies,El Salvador,Dominican Republic,Honduras,Nicaragua,Paraguay,Aruba,Curaçao,Mongolia,Indonesia,India,Pakistan,Cambodia,Sri Lanka,Nigeria,East Africa,Switzerland,Ethiopia,Russia,Ghana,E/W Africa,Central America,Puerto Rico,Trinidad & Tobago,Jamaica
Crush (2013),"$10,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stonehearst Asylum (2014),"$16,348","$1,842,966","$29,580","$15,898","$14,996","$11,455","$132,908","$104,490","$57,031","$48,568","$43,963","$40,642","$22,842","$19,265","$18,682","$17,828","$14,679","$10,581",$795,"$15,289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Possession of Michael King (2014),"$9,608","$728,847","$79,838","$33,344",,,,,,,,,,,,,,,,"$36,163",,,,,,,,"$13,011",,"$331,263","$206,136",,"$833,265",,,"$89,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serena (2014),"$13,409","$1,408,321","$16,620","$49,689",,"$24,040","$108,192",,,,"$109,708",,,"$10,615","$33,685","$50,351",,,$688,,"$414,619","$33,904",,,"$320,907",,,,"$60,594",,,"$153,459",,,"$306,438",,,,,"$404,592",,,"$99,450","$641,267","$510,828","$75,798","$49,724","$11,501","$5,336","$2,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Imitation Game (2014),"$641,001","$2,491,996",,"$737,574",,"$12,088,965","$158,033","$389,415","$1,696,498","$191,856","$305,805","$40,799","$348,711","$87,765","$199,895","$490,488","$35,445",,"$28,498","$48,086","$3,101,966","$1,386,990","$1,933,338","$467,215","$24,947,473",$128,,"$248,664","$2,166,147","$1,557,405",,"$747,885","$2,313,209",,"$14,001,297","$328,384","$656,076","$5,330,000","$97,468","$2,557,417","$2,448,157",,"$5,180,021","$9,125,531","$6,968,946","$789,906","$578,656","$285,988","$328,437",,"$91,125,683","$2,559,408","$1,351,824","$843,849","$431,198","$75,194","$42,808","$588,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confucius (2010),"$427,219",,,"$225,142",,"$2,472,212",,,,,,,,,,,,,,,"$510,253",,,,,,,,,,,,,,,,,,,"$151,235","$505,069","$209,909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hunger Games: Mockingjay - Part 1 (2014),"$3,171,816","$15,216,903","$5,652,411","$3,801,448","$613,179","$5,804,110","$1,191,495","$1,053,927","$6,448,425","$561,410","$864,425","$261,980","$2,025,971","$207,974","$366,239","$2,663,742","$240,360","$356,350","$195,493","$1,717,383","$15,391,282","$985,681","$9,389,935","$5,246,547","$48,669,241","$1,987","$4,164,583","$408,881","$4,780,014","$22,463,783","$2,852,463","$2,266,349","$23,729,251","$478,493","$29,791,881",$873,"$3,995,989","$36,512,218","$292,563","$5,094,771","$3,050,333","$3,344,417","$35,590,677","$11,087,256","$25,974,637","$4,063,087","$4,397,806","$390,922","$613,838","$203,143",,"$7,968,057","$4,845,273","$2,401,956","$1,379,196","$97,996","$168,758","$1,601,971","$2,591,828","$1,398,449","$613,896","$484,255","$405,825","$334,488","$108,182","$52,755","$50,159","$17,317","$9,340,966","$1,206,555","$562,274","$556,380","$448,384","$386,024","$374,612","$287,633","$172,473","$139,812","$52,762","$30,280","$2,853,696","$1,905,000","$669,276","$155,057","$120,660","$16,184",,,,,,,,,,,
Exodus: Gods and Kings (2014),"$1,205,195","$14,822,276",,"$2,013,494",,"$11,293,844","$947,869","$579,893","$2,021,868","$279,905","$541,106",,"$1,282,830","$122,870","$188,952",,"$42,988",,,"$931,446","$18,107,577","$579,724","$2,756,240","$365,654","$11,418,004",,,"$87,676","$1,043,655","$14,765,284","$2,132,206","$1,269,243",,,"$7,054,991",,"$1,504,557",,"$66,744","$3,199,522","$2,888,085",,"$8,802,948","$6,817,325","$13,594,202","$1,809,780","$1,274,446","$544,539","$712,768",,,"$3,230,098",,"$725,150","$650,465","$196,570","$37,141","$6,349,153","$1,628,871",,,,,,,,,,"$2,881,143",,,,,,,,,,,,,,"$3,013,963",,,,,,,,,,,,,,
Dumb and Dumber To (2014),"$27,923","$2,507,832",,"$278,373",,"$1,290,534","$195,067","$238,761","$1,013,087","$289,294","$633,753","$98,461","$670,472","$42,277","$570,019","$1,441,962","$41,130","$43,613","$49,108",,"$1,869,756","$753,244","$1,495,497","$1,511,272","$9,118,292","$755,928","$422,151","$172,601","$243,778","$6,167,010",,"$632,701","$881,061","$54,465","$4,869,580",,"$1,586,532",,"$269,063","$363,783","$415,238","$247,876","$3,729,390","$3,122,098","$2,185,843","$364,231","$869,132","$669,756","$118,374","$229,870",,"$1,793,350",,"$793,773","$633,760","$85,777","$381,957",,,"$435,603",,,,"$381,427",,,,,"$188,379",,,,,,,,,,,,,,"$122,565",,,,"$7,086",,,,,,,,,,
The Theory of Everything (2014),"$137,227","$809,738","$58,551","$448,270","$4,052","$2,295,854","$165,746","$356,387","$603,388","$202,837",,"$50,606","$212,184","$106,033","$70,198","$343,456","$213,647","$15,266","$21,986","$154,763","$3,752,911","$995,020","$662,328",$481,"$31,909,172",,,"$94,544","$1,162,235","$3,755,878","$411,433","$893,277","$2,339,275","$48,281","$4,605,657","$422,158","$602,276",,"$38,212","$435,640","$1,026,793","$69,245","$4,142,125","$5,891,866","$1,545,536","$471,036","$763,309","$133,759","$109,237","$34,082",,"$952,025","$790,360","$625,671","$268,421","$17,822","$45,263","$285,182","$322,431",,,,,,,,,,"$403,720",,,,,,,,,,,,,,"$486,069",,,,,,,,,,,,,,
20th Century Boys 1: Beginning of the End (2008),"$120,501",,,"$221,467",,"$985,103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$167,192","$818,116",,,,,,,,,,,,,,,,,"$35,870,679",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When Marnie Was There (2014),"$30,220","$63,114",,,,"$228,617",,,,,,,,,,"$17,934",,,,,"$53,455",,,"$91,639","$141,697",,"$1,749",,,"$7,159",,"$2,758","$15,739",,"$48,592",,,,,,"$188,088",,"$93,223",,"$328,526",,,,,,"$561,085",,,"$70,938",,,,"$33,068,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Monkey King: Havoc in Heaven's Palace (2014),"$635,983",,,"$1,198,233",,"$23,852",,,,,,,,,,,,,,,,,,,,,,,"$77,886",,,,,,"$121,069",,,"$174,187,492",,,"$3,296,754","$2,665,655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song of the Sea (2014),"$17,839","$71,089",,,,"$36,703",,"$71,145","$37,258","$14,340",,,,,,"$27,055",,,,,"$77,367",,"$48,829","$70,049","$112,067",,,,$214,,,"$15,243",,,,,"$454,237","$2,205,810",,,,,"$45,485",,,,"$25,205","$16,805",,,"$857,522",,"$13,539",,,"$1,447","$8,786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the Heart of the Sea (2015),"$664,633","$4,220,368","$793,622","$636,811","$287,378","$5,700,646","$714,037","$84,607","$280,972","$56,691","$575,877","$116,701","$244,515","$27,986","$75,262","$1,654,824","$40,264","$66,817","$7,647","$522,012","$2,004,832","$561,165","$515,321","$278,100","$3,789,875","$1,899,799","$385,742","$61,166","$294,852","$4,121,217","$1,136,682","$475,172","$6,335,173","$362,503","$1,789,985","$802,973","$200,718",,"$45,424","$1,610,608","$770,876","$1,692,823","$1,023,179","$4,806,146","$1,925,222","$230,471","$129,595","$216,024","$189,417",,,"$328,198","$91,003","$182,769","$80,685","$45,750","$21,226","$1,789,219","$209,990","$70,553",,"$47,654",,,,,"$20,906",,"$2,360,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceman (2014),"$94,962",,,"$887,171",,,,,,,,,,,,,,,,"$18,122",,,,,,,,,"$26,855",,,,,,"$31,512",,,"$22,800,000",,,"$526,704","$1,640,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurassic World (2015),"$8,216,017","$23,420,356","$11,121,208","$8,766,526","$4,400,147","$39,007,329","$1,807,789","$2,294,532","$8,420,048","$790,600","$1,186,733","$275,223","$3,092,598","$420,000","$386,000","$7,818,199","$314,028","$608,315","$51,410","$2,777,068","$24,901,213","$1,326,531","$8,397,157","$5,962,622","$99,669,369","$15,418,925","$6,000,962","$836,947","$5,101,639","$29,077,565","$4,637,964","$2,230,384","$42,105,404","$1,499,245","$38,978,832","$6,077,033","$3,606,364","$228,740,000","$379,266","$26,732,760","$13,142,261","$11,517,722","$48,499,739","$16,723,119","$41,284,758","$2,633,690","$4,672,444","$612,643","$804,547","$378,419","$653,406,625","$11,787,698","$1,725,562",,"$2,051,915","$168,402","$376,237","$74,593,781","$2,687,729","$4,111,999",,"$2,222,567","$592,514",,,,"$207,156",,"$15,076,582",,,,,,,,,,,,,,"$22,212,557",,,,"$80,725",,"$2,139,577",,,,,,,,
Citizenfour (2014),"$52,316","$61,069",,,,"$17,305",,,,,,,,,,,,,,,"$200,579",,,"$14,673","$146,864",,,,"$38,293",,,,$455,,,,,,,,"$84,074",,"$182,589",,,"$46,158","$135,447",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
