Movie Name,France,Italy,Germany,Portugal,Spain,Bulgaria,Türkiye,Slovakia,Domestic,Mexico,Hong Kong,South Korea,Finland,Iceland,Lithuania,United Kingdom,Netherlands,Belgium,South Africa,Norway,Sweden,Poland,United Arab Emirates,Israel,Austria,Switzerland (German),Nigeria,Romania,Lebanon,Greece,Ukraine,Bahrain,Qatar,Jordan,Hungary,Egypt,Switzerland (French),Croatia,Oman,Ghana,Kenya,Serbia and Montenegro,Latvia,Estonia,Slovenia,Ethiopia,Venezuela,Peru,Argentina,Brazil,Colombia,Ecuador,Chile,Uruguay,Bolivia,Japan,Australia,Russia/CIS,New Zealand,Philippines,Singapore,India,China,Malaysia,Thailand,Czech Republic,Denmark,Taiwan,Vietnam,Switzerland,East Africa,Panama,Indonesia,Cyprus,Trinidad & Tobago,Paraguay,Pakistan,Mongolia,Kuwait,Dominican Republic,Jamaica
Jauja (2014),"$524,828","$399,416","$160,363","$39,061","$30,265","$3,171",$273,$100,"$60,231","$26,348","$5,459","$4,259",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annie (2014),"$969,763","$76,509","$1,046,722","$189,792","$3,644,062","$32,451","$31,681",,,"$1,683,629",,,"$77,412","$30,139","$7,380","$11,429,478","$1,442,339","$975,739","$736,976","$730,659","$663,567","$646,795","$599,264","$300,574","$281,359","$260,557","$246,090","$236,610","$205,382","$161,904","$161,041","$127,307","$112,027","$109,861","$109,563","$60,984","$47,034","$43,123","$40,500","$34,474","$34,047","$11,560","$9,972","$8,078","$5,625","$3,303","$1,984,643","$1,128,569","$837,025","$360,530","$309,098","$285,653","$279,176","$173,542","$64,948","$11,703,939","$4,704,664","$500,968","$485,011","$280,392","$218,754",,,,,,,,,,,,,,,,,,,,
Bird People (2014),"$715,274",,,,,,,,,"$79,588",,,,,,,,"$39,238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chappie (2015),"$3,979,572","$1,241,262","$1,530,176","$220,196","$2,093,812","$81,617","$216,424","$72,566",,"$2,992,048","$1,250,464","$4,137,113","$72,727","$35,342","$45,930","$3,542,889","$388,309","$439,778","$197,938","$253,416","$458,657","$638,346","$521,090","$87,864","$160,099","$153,167","$66,692","$264,332","$64,614","$159,113","$560,489",,,,"$109,825","$73,955","$113,979","$75,637",,"$3,316","$17,447","$16,358","$62,795","$55,503","$18,020","$6,474","$2,156,038","$515,983","$148,794","$1,497,930","$505,249","$230,023","$427,178","$35,210","$65,501","$2,754,461","$2,373,737","$7,905,167","$427,678","$573,289","$1,070,326","$403,031","$16,400,000","$2,639,718","$1,962,149","$151,604","$85,011","$1,818,620","$616,573",,,,,,,,,,,,
Gimme Shelter (2013),"$2,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taken 3 (2014),"$19,205,947","$1,605,822","$10,405,205","$946,747","$2,559,214","$294,799","$405,331","$141,787",,"$9,357,828","$2,502,465","$14,575,626","$473,082","$141,265","$15,909","$26,894,435","$2,817,530","$2,089,314","$1,619,190","$975,269","$2,184,244","$2,218,338","$4,364,151","$2,402,806","$1,224,019",,,"$973,521","$739,162","$1,235,955","$124,613",,,"$286,696","$1,335,710",,,"$231,940","$345,216",,"$551,467","$85,187","$9,020","$14,950","$82,074",,"$2,878,174","$2,865,946",,"$4,152,556",,"$1,093,765","$1,540,194","$328,330","$360,212","$4,144,522","$11,190,358","$3,002,623","$1,812,872",,"$2,834,656","$1,237,919","$32,200,000","$3,414,643","$1,270,459","$156,595","$2,686,097","$5,553,029",,,,,,,,,,,,,
Blackhat (2015),"$672,983","$376,520","$965,588","$112,446","$663,485","$150,466","$220,216","$32,398",,,"$286,622",,"$71,067","$13,468","$19,466","$226,802","$392,241",,"$41,652","$70,559","$56,970","$95,659","$257,937","$71,519","$128,948",,,"$210,321","$47,068","$123,242","$379,942",,,"$23,967","$40,256","$28,702",,"$22,356","$32,276",,"$30,159","$19,156","$20,504","$28,757","$21,502",,,,,,,,,,,,,"$836,826",,"$171,241","$393,327",,,"$630,724","$246,551","$68,546","$62,128","$574,078",,,,,,,,,,,,,
Nocturna (2007),"$980,000",,,,"$574,878",,"$47,312",,,,,"$182,244",,,,,,,,,,,"$26,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terminator Genisys (2015),"$11,622,061","$3,096,097","$9,044,591","$922,549","$4,065,158","$358,807","$1,531,770","$210,311",,"$11,167,631","$4,156,531","$23,203,894",,"$121,865","$150,685","$16,984,618","$1,721,902","$1,151,919","$970,600","$1,052,396","$1,479,406","$1,531,736","$3,025,864","$610,365","$1,254,758","$751,792","$114,470",,"$352,639","$363,854","$1,473,758",,,"$184,523","$273,168","$159,387","$356,424","$194,345",,,"$84,191","$118,197","$177,385","$283,954","$82,809",,"$4,028,117","$2,517,772","$5,937,184","$11,365,348","$4,017,631","$1,211,896","$885,429","$153,971","$759,673","$22,134,005","$10,436,059","$20,132,059","$1,522,837","$2,458,326","$3,038,135","$5,207,386","$113,250,000","$4,856,522","$3,016,427","$550,506",,"$4,491,698","$2,003,079",,,,,,,,,,,,
The Woman in Black 2: Angel of Death (2014),"$1,631,623",,"$466,713",,"$908,533","$40,268","$28,672","$42,323",,"$4,665,141","$88,622",,,,,"$7,371,544","$184,304","$337,015","$21,722",,,"$202,069","$469,811",,"$225,460",,,"$115,734","$29,295","$236,680",,,,,,,,"$12,484",,,,,,"$17,521",,,"$443,742","$530,179",,"$1,128,594",,"$115,059","$196,258","$35,674","$64,388",,,"$1,673,304",,,"$224,677",,,"$725,000","$33,945","$57,687",,"$28,941",,,,,,,,,,,,,
