Movie Name,Mexico,Chile,Brazil,South Korea,Taiwan,France,Belgium,Lebanon,United Kingdom,Portugal,Norway,Finland,Türkiye,Austria,Serbia and Montenegro,Romania,Argentina,Ukraine,Australia,Czech Republic,Hong Kong,Singapore,New Zealand,Russia/CIS,Italy,Spain,Domestic,Greece,South Africa,United Arab Emirates,Qatar,Bahrain,Oman,Peru,Philippines,China,Poland,Croatia,Germany,Slovenia,Iceland,Slovakia,Bulgaria,Switzerland,Bolivia,Hungary,Venezuela,Jordan,Colombia,Ecuador,Uruguay,Japan,Thailand,Malaysia,Estonia,Netherlands,Latvia,Lithuania,Egypt,Denmark,Sweden,Switzerland (German),Israel,Switzerland (French)
Lovers Like Us (1975),"$31,876","$19,209","$12,395","$302,302","$7,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Missing Lynx (2008),"$46,620",,,"$628,517",,,,,,,,,,,,,"$86,079",,,,,,,,,"$1,445,936",,,,"$121,071",,,,"$110,191",,,"$833,062",,,,,,,,"$11,245",,,,,,,,,,,,,,,,,,,
"Snowflake, the White Gorilla (2010)","$174,114",,,"$419,352",,,,,,,,,,"$41,571",,,,,,"$361,476",,,,,"$1,880,651","$1,725,889",,"$102,214",,"$303,588",,,,"$78,458",,,"$1,337,094",,"$206,134",,,,,,"$4,932","$101,730","$39,413",,,,,,,,,,,,,,,,,
Todo lo que tú quieras (2010),"$22,070",,,,,,,,,,,,,,,,,,,,,,,"$12,991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Gambler (2014),"$976,973",,,,,,,"$47,025","$572,311",,$764,,,,,,,,"$603,983",,,,,"$1,232,445",,"$198,633",,,"$15,371","$230,338",,,"$13,251",,,,,,"$310,646",,,,,,,,,"$10,418","$4,858",,,,,,,,,,,,,,,
The Invisible Eye (2010),"$13,653",,"$32,651",,,"$65,385",,,,,,,,,,,"$76,158",,,,,,,,,"$25,319",,,,,,,,"$5,542",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dolphin: Story of a Dreamer (2009),"$734,063","$417,949","$289,656",,,,,,,,,,,,,,"$151,480",,,,,,,,,,,,,,,,,"$1,048,339",,,"$569,044",,,"$28,252",,"$3,489",,,"$34,978",,"$495,092",,"$159,510","$166,726","$25,031",,,,,,,,,,,,,
The Fine Art of Love: Mine Ha-Ha (2005),"$98,878",,,,,,,,,,,,,,,,,,,,,,,,"$91,525","$16,740",,,,,,,,,,,,,,,,,,,,,"$43,960",,,,,,,,,,,,,,,,,
Impy's Island (2006),"$415,245","$117,488","$297,926","$167,852",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$299,345",,,,,,,,,,,"$19,886",,"$221,323",,,,,,,,,,,,,,,,,
The Black Pimpernel (2007),"$259,758","$19,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,132",,,,,,,,,,,"$1,061",,,,,,,,,,,,,,,,,,,
The Amazing Catfish (2013),"$214,928",,,,,,"$29,074",,,,,,,"$11,465",,,"$3,528",,,,,,,,,"$38,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortdecai (2015),"$1,382,788","$25,156","$112,218","$475,361","$533,247","$1,477,859","$371,144","$84,224","$727,292","$369,480",,"$306,553","$325,933","$460,008","$43,078","$425,489",,,"$782,321","$199,622","$554,401","$373,360","$184,425",,"$1,672,838","$1,361,953","$7,696,134","$209,987","$107,819","$435,861",,,"$40,464",,,"$3,530,000","$405,481","$74,352","$2,554,625","$6,525","$21,391","$115,743","$159,299",,"$12,851","$259,343","$185,159","$22,234",,"$25,162","$24,828","$6,217,852","$426,820","$199,378","$114,910","$106,780","$101,035","$56,800","$36,531",,,,,
Fifty Shades of Grey (2015),"$14,148,888","$3,481,152","$31,374,704","$2,483,760","$3,930,191","$28,691,668","$5,792,486","$586,535","$51,603,774","$3,176,173","$2,083,791","$1,772,426","$3,946,274","$5,397,769","$470,851","$1,365,168","$3,222,236","$2,413,538","$18,229,895","$2,983,151","$1,590,469","$1,837,395","$2,538,510","$17,659,358","$20,498,944","$38,323,430",,"$2,521,700","$3,056,586",,,,,"$1,772,020","$3,565,511",,"$9,473,951","$694,309","$41,430,653","$845,583","$2,792","$1,322,726","$837,393",,"$481,608","$1,672,429","$7,944,249",,"$4,281,356","$1,609,451","$572,450","$3,622,898","$1,205,094",,"$508,293","$6,907,429","$477,562","$664,105",,"$5,230,566","$4,885,001","$4,311,891","$2,601,215","$1,944,086"
The Last Diamond (2014),"$16,558",,,,,"$1,024,562","$50,888",,"$4,487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Days in Havana (2011),"$151,696","$1,975","$121,045",,,,,,,,,,,,,,"$146,106",,,,,,,"$527,950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Remaining (2014),"$803,222",,,,,,,,,,$746,,,,,,"$79,948",,,,,,,,,,,,"$4,904",,,,,,"$118,239",,,,,,,,,,"$9,774",,,,,"$110,825",,,,,,,,,,,,,,
Pinocchio (2012),"$351,035",,,"$363,667",,"$274,636","$42,337","$1,373",,,,,,,,,,,,,,,,,"$1,639,014",,,,,"$84,807",,,,,,,"$30,139",,,,,,,,,,,,,,,,,,,,,,,,,,,
A Fish Tale (2000),"$621,326","$40,463",,"$296,579",,,,,"$67,792",,,,,,,,"$49,621",,"$150,167",,,,,,,,,,,,,,,,,,,,"$2,602,697",,,,$251,,,"$197,793",,,,,,,,,,"$1,004,727",,,,,,,,
Cake (2014),,,"$106,997",,,"$125,514",,,"$66,074","$17,147",,,"$22,558","$13,076",,,,,"$6,395",,,,"$1,100",,"$17,841",,"$1,951,776","$34,136","$24,883","$11,267","$2,674","$1,216",$483,"$30,713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Snow Queen (2012),,,"$1,018,444","$1,507,784",,,,"$24,659","$208,879","$157,158",,"$37,509","$448,368",,,"$361,940",,"$543,994",,"$202,150",,,,"$7,650,674",,"$9,097",,,,"$100,793",,,,,,,"$937,937","$107,256",,,,"$202,923","$48,216",,,,,,,,,,,,,,,,,,,,,
Soul Power (2008),,,"$4,671",,,"$28,274",$202,,"$14,314",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris-Manhattan (2012),,,"$317,929",,,,,,,,,,,,,,,,"$628,145",,,,,"$204,856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Little Death (2014),,,"$7,158",,,,,,,"$5,991","$16,873",,,"$78,937",$220,,,,"$152,399",,,,,,,,,"$72,829",,,,,,,,,"$177,978",,,,"$5,907",,,,,,,,,,,,,,"$4,961",,,,,"$59,671",,,,
Way Back Home (2013),,,,"$12,184,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$609,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea Level (2011),,,,"$1,145,991",,,,,,,,,"$204,795","$41,295","$10,029",,,,,"$116,787",,,,"$2,219,684","$575,888","$17,678",,,,,,,,,,,"$1,237,232","$94,712","$76,379","$64,397","$25,909",,,,,,,,,,,,,,,,,,,,,,,
The Divine Move (2014),,,,"$27,790,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolves (2014),,,,"$197,320",,,"$2,371",,,,,,,,,,,,,,,,,,,,,,,"$34,078",,,,,,,,,,,,,,,,,,,,,,,"$70,749","$79,544",,"$94,953",,,,,,,,
The DUFF (2015),,,,"$6,168","$67,355",,,"$39,259","$3,053,129",,"$144,665","$88,488",,"$258,881","$20,752",,,"$39,932","$2,745,752",,,,,"$232,067","$815,219",,,"$20,083","$194,563","$64,200","$16,923","$17,443","$3,736",,"$20,806",,"$111,311","$9,562","$1,212,325","$44,542","$28,027",,,,,,,"$16,623",,,,,"$8,731","$77,968",,,,"$12,973","$23,791","$158,654","$94,340","$31,133",,
The Last Flight (2009),,,,,"$5,500",,,,,,,,,,,,,,,,,,,"$25,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow White (2005),,,,,"$4,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Way (2012),,,,,,"$15,293,722","$1,438,993","$13,435","$9,871","$2,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safari (2009),,,,,,"$15,896,842","$536,468",,,,,,,,,,,,,,,,,,,$608,,,,,,,,,,,,,,,$43,,$253,"$42,552",,,,,,,,,,,,,,,,,,,,
Illégal (2010),,,,,,"$120,882","$143,123",,,,,,,,,,,,,,,,,,"$25,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superstar (2012),,,,,,"$1,321,241","$92,416",,"$53,447",,,,$865,,,,,,"$13,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shun Li and the Poet (2011),,,,,,,"$16,481",,"$9,099",,,,,"$30,566","$1,011",,,,,,,,,,"$617,850","$215,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toys in the Attic (2009),,,,,,,$568,,,,,,,,,,,,,"$46,707",,,,,,"$14,276","$64,918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
