Movie Name,Domestic,Italy,New Zealand,Australia,Portugal,Russia/CIS,South Korea,Czech Republic,Slovakia,France,Spain,Germany,United Kingdom,Belgium,Netherlands,South Africa,Türkiye,Switzerland,Greece,Denmark,Sweden,Hungary,Norway,Poland,Lebanon,Israel,Iceland,Finland,Bulgaria,Croatia,Baltic States,Japan,Thailand,Taiwan,Singapore,Hong Kong,Philippines,Indonesia,Brazil,Mexico,Puerto Rico,Argentina,Central America+,Venezuela,Chile,Colombia,West Indies,Peru,Ecuador,Bolivia,Uruguay,S/E/W Africa,Austria,Greece and Cyprus,Egypt,Central America,India,Malaysia,China,Ireland,Lebanon/United Arab Emirates,Slovenia,Latvia,Lithuania,Romania,Estonia,Paraguay,Russia/CIS/Ukraine,Czech Republic/Slovakia,Middle East/UAE,Jamaica,Dominican Republic,Lesser Antilles,Ukraine,Cyprus,Yugoslavia,Kenya,Pakistan,Sri Lanka,United Arab Emirates,Morocco,Serbia and Montenegro,East Africa,Jordan,Syria,Bahrain
One Hundred and One Dalmatians (1961),"$144,880,014","$141,773","$4,395",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Pan (1953),"$87,404,651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rescuers (1977),"$71,215,869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rocketeer (1991),"$46,704,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeping Beauty (1959),"$51,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song of the South (1946),"$37,459,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tron (1982),"$33,000,000",,$525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Outsiders (1983),"$25,837,195",,"$1,987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Jones and the Temple of Doom (1984),"$179,870,271",,"$6,985",$704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lord of the Rings (1978),"$30,471,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
