Movie Name,France,Italy,Germany,Belgium,Spain,Netherlands,Greece,Austria,Portugal,Poland,Lebanon,Switzerland (German),Finland,Norway,Iceland,Croatia,Estonia,Australia,South Korea,New Zealand,Taiwan,Hong Kong,Thailand,Mexico,Peru,Uruguay,Chile,Ecuador,Bolivia,Russia,United Kingdom,United Arab Emirates,Türkiye,Israel,Ukraine,Sweden,Qatar,Denmark,Romania,Bahrain,South Africa,Oman,Switzerland (French),Hungary,Jordan,Bulgaria,Czech Republic,Kenya,Slovakia,Lithuania,Nigeria,Latvia,Serbia and Montenegro,Ethiopia,Venezuela,Brazil,Colombia,Argentina,Russia/CIS,Malaysia,Singapore,Philippines,Vietnam,India,Domestic,Japan,Slovenia,Egypt,Ghana,China,Central America,Puerto Rico,Kuwait,Switzerland,Canada,Paraguay,Indonesia,Saudi Arabia,Iraq,Trinidad & Tobago,Dominican Republic,Jamaica,Curaçao,Aruba,Pakistan,Cambodia,Mongolia,Panama
The Bélier Family (2014),"$55,783,679","$3,008,111","$2,699,522","$2,444,798","$2,400,974","$1,056,005","$675,121","$482,703","$478,041","$293,861","$84,624","$82,360","$76,771","$41,933","$9,100","$6,653","$3,259","$1,203,589","$812,001","$257,716","$184,013","$56,148","$38,650","$389,797","$108,686","$40,725","$32,704","$20,062","$4,083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hitman: Agent 47 (2015),"$4,662,051","$268,220","$2,390,704","$596,815","$974,558","$722,951","$240,461","$479,263","$767,481","$342,733","$285,931","$534,932","$145,128","$557,871","$53,832","$71,656","$58,730","$1,750,077",,"$393,138","$1,884,503","$1,593,738","$1,077,940","$2,629,316","$455,311","$16,829","$134,418","$396,187","$68,107","$3,537,440","$2,919,916","$1,975,502","$755,501","$644,453","$457,303","$455,237","$397,818","$369,349","$357,729","$335,561","$279,916","$248,059","$200,939","$172,246","$141,500","$104,255","$100,611","$90,868","$68,130","$61,946","$53,133","$49,240","$49,190","$8,107","$2,441,184","$1,051,166","$965,523","$360,654","$3,599,611","$2,792,948","$1,342,193","$1,300,437","$1,136,115","$563,998",,,,,,,,,,,,,,,,,,,,,,,,
Jimmy P: Psychotherapy of a Plains Indian (2013),"$1,354,303",,,"$63,854","$3,433",,,,"$1,850",,,,,,,,,,,,,,,,,,,,,,,,"$11,601",,,,,,,,,,,,,,,,,,,,"$5,258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricki and the Flash (2015),"$699,591","$815,236","$1,250,529","$57,429","$2,014,409","$164,334","$124,444","$198,447","$201,998","$525,261","$24,173","$322,694","$45,331",,,"$45,904","$19,678","$2,121,567","$107,836","$236,207",,,,"$296,730","$37,722","$28,895","$20,910","$41,771","$10,168",,"$334,055","$63,730","$64,376","$164,404",,"$159,201","$4,769","$79,466","$39,020","$7,829","$51,918",,"$119,357","$56,141",,,"$194,557",,"$81,099","$10,058",,"$21,511",,,"$436,923","$553,986","$20,804","$320,555","$150,726",,,"$23,704",,"$39,467",,"$260,768",,,,,,,,,,,,,,,,,,,,,,
Pitch Perfect 2 (2015),"$1,861,016","$579,652","$11,353,367","$785,140","$2,866,318","$2,347,107",,"$2,306,456","$113,858","$79,150","$80,575","$934,399",,"$925,082","$181,542","$40,626","$25,255","$20,939,529","$395,314","$3,317,703","$4,377,856","$433,047","$247,626","$695,136","$89,387","$3,678","$18,994","$49,780","$4,780",,"$27,259,230",,,"$278,493","$72,845","$992,716","$71,839","$124,803",,"$34,012","$2,028,415","$33,307",,"$222,570","$44,393","$12,805","$63,350","$40,436","$12,674","$26,741","$32,263","$27,006","$16,292",,"$325,706","$408,278","$18,384","$51,980","$249,581","$2,127,666","$2,260,864","$4,638,129","$126,609","$47,616",,,"$99,884","$38,347",,,,,,,,,,,,,,,,,,,,
Bad Hair (2013),"$90,944",,"$3,456",,"$58,384",,,,,,,,,,,,,,,,,,,"$3,512",,,,,,,,,,,,,,,,,,,,,,"$2,503",,,,,,,,,"$2,415,347","$75,250",,"$4,983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carol (2015),"$2,310,137","$2,150,706","$1,628,387","$499,339","$1,979,507","$992,406","$276,781","$324,167","$242,127",,,"$222,383","$217,847","$114,573","$5,392","$36,593",,"$1,991,360","$2,273,431","$214,726","$267,581","$447,366","$45,399","$308,056","$48,794","$23,099","$41,893",,,,"$3,976,888",,"$163,285",,,"$827,485",,"$938,217","$1,795",,"$39,837",,"$132,918",,,"$15,899","$13,285",,"$18,729",,,,,,,"$516,428","$26,970","$241,409","$204,240",,"$117,804",,,,"$12,711,491","$1,003,366","$16,434",,,,,,,,,,,,,,,,,,,,,
The Lobster (2015),"$983,184","$655,254",,"$313,446","$347,049",,"$422,213",,"$33,030","$70,246",,,"$70,080","$129,892",,"$14,250",,"$409,297","$441,326",,,,"$237,724",,,,,,,,"$4,083,943",,"$114,580",,,,,,,,,,,,,,"$7,030",,,,,,,,,,,,,,,,,,"$9,077,245",,"$18,975",,,,,,,,,,,,,,,,,,,,,
Maggie (2015),"$328,085","$337,960",,,"$72,133",,,,"$28,682",,"$6,124",,,"$3,629",,,,,"$269,113",,"$25,454","$3,458","$61,324",,,,,,,,,,,,,,,,,,,"$8,515",,,"$1,429",,,,,,,,,,,,,,,"$126,791","$75,542","$84,770","$34,838",,"$187,112",,,"$8,206",,,,,,,,,,,,,,,,,,,,
The Salt of Life (2011),"$355,663","$1,135,249","$124,927","$72,510","$292,873",,"$23,963","$37,987",,,,,,,,,,,,"$87,230",,,,,,"$16,459",,,,,"$293,474",,,,,,,,,,,,,,,,,,,,,,,,,,,"$93,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brave Story (2006),"$35,194",,"$6,576",,,,,,,,,,,,,,,,"$176,764",,"$7,846","$1,641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,247",,,,,,"$10,948,620",,,,,,,,,,,,,,,,,,,,,,
Jardins en automne (2006),"$127,555","$274,758",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,589",,,,,,,,,,,,,"$1,995",,,,,,,,,,,,,,"$82,676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Martian (2015),"$19,827,502","$7,683,880","$16,288,605","$3,015,771","$12,629,290","$3,784,584","$730,032","$1,950,707","$1,023,508","$2,770,676","$425,526","$2,377,554","$1,652,611","$2,959,468","$208,735","$378,608","$434,235","$20,059,738","$32,104,850","$2,652,035","$5,623,332","$5,800,790","$1,675,663","$7,759,156","$1,517,516","$113,731","$1,601,936","$647,961","$165,002",,"$33,937,841","$3,338,808","$2,721,339","$1,803,695","$1,547,429","$4,971,913","$497,491","$2,741,163","$1,109,125","$430,063","$536,967","$300,511","$1,415,711","$1,438,744",,"$482,577","$1,692,105","$61,257","$426,452","$418,769","$64,657","$241,030","$279,145","$7,710","$3,441,610","$7,513,748","$1,332,885","$2,521,251","$17,706,103","$1,940,583","$2,974,435","$1,482,431","$361,435","$4,794,800","$228,433,663","$26,943,966","$158,817",,"$531,361","$94,932,731","$405,642","$370,492",,,,,,,,,,,,,,,,
Youth (2015),"$2,096,942","$6,828,961","$1,712,737","$529,858","$1,212,155","$1,437,309","$325,305","$218,793","$101,057","$580,976",,"$390,091","$58,166","$78,800","$12,138",,"$21,373","$650,071","$538,017","$136,469","$54,667","$73,366",,"$62,962",,"$9,947",,,,,"$1,367,668",,"$45,214",,,,,"$301,809","$32,399",,"$62,487",,"$196,447","$214,177",,"$18,612","$236,109",,"$50,668","$156,039",,"$61,509","$23,053",,,"$229,295",,"$84,899","$503,557",,,,,,,,"$52,142",,,,,,,,,,,,,,,,,,,,,
Spy (2015),"$5,051,047","$2,598,913","$5,091,471","$1,365,114","$2,211,482","$2,101,632","$504,722","$790,870","$735,775","$854,718","$710,330","$976,807",,"$1,237,851","$158,849","$145,939","$209,375","$10,618,884","$16,180,715","$1,410,989","$5,255,286","$2,808,351","$1,134,696","$3,776,833","$611,000","$156,103","$146,431","$166,378","$55,284",,"$14,990,584","$3,164,058","$743,222","$1,321,318","$885,359","$1,712,847","$582,674","$885,042",,"$762,345","$1,042,856","$227,736","$227,145","$911,718","$341,905","$234,702","$151,541","$50,755","$44,272","$71,467","$62,540","$108,458","$94,923",,"$1,590,851","$1,646,246","$598,359","$326,314","$7,916,829","$2,116,476","$1,230,662","$564,330","$509,229","$673,866",,,"$54,130","$320,465",,,,,,,,,,,,,,,,,,,,
Trainwreck (2015),"$222,493","$79,000","$3,450,652",,"$1,428,276","$381,146","$33,936","$482,915","$268,620","$436,770","$48,639","$335,101","$205,647","$408,685","$54,142","$57,653","$76,684","$9,619,105","$158,104","$794,206",,,,"$289,635","$158,278","$10,741","$24,526","$73,573","$21,123","$820,000","$4,348,352",,,"$683,373","$381,451","$338,191",,"$191,304",,,"$224,862",,,"$103,130","$10,992","$55,938","$88,520","$3,317","$37,221","$43,767","$10,971","$35,199","$35,650",,"$617,617",,"$54,548",,"$1,015,875",,,"$40,287",,,,,"$33,040",,,,,,,,,,,,,,,,,,,,,
