Movie Name,United Kingdom,Domestic,Russia/CIS,Poland,Spain,France,Belgium,Norway,Portugal,Romania,South Korea,Netherlands,Greece,Italy,Türkiye,South Africa,Sweden,Czech Republic,Slovakia,Germany,Lebanon,Kenya,Mexico,Venezuela,Brazil,Colombia,Ecuador,Argentina,Chile,Uruguay,Peru,Taiwan,Hong Kong,Singapore,Malaysia,Thailand,Philippines,Vietnam,Australia,Denmark,Switzerland (French),Austria,Hungary,Finland,Croatia,India,New Zealand,China,Switzerland (German),United Arab Emirates,Israel,Ukraine,Qatar,Bahrain,Bulgaria,Lithuania,Serbia and Montenegro,Oman,Slovenia,Iceland,Egypt,Ethiopia,Bolivia,Japan,Latvia,Estonia,Jordan,Kuwait,Ghana,Nigeria,Iraq,Pakistan,Mongolia,Cambodia,West Indies,Aruba,Curaçao,Russia,Tunisia
The Magician (2005),"$18,218",$406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Closed Circuit (2013),"$82,518",,,"$3,419,855",$942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Golden Days (2015),"$1,368","$269,144",,,"$41,389","$1,148,626","$27,796","$10,484","$9,534","$2,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Places (2015),$892,,,,,"$1,354,953","$223,074","$35,200","$53,609",,"$361,607","$183,671","$156,270","$138,553","$100,824","$40,529","$28,021","$21,696","$14,599","$10,726","$7,738","$3,035","$274,741","$137,614","$93,353","$80,351","$30,414","$25,119","$18,442","$14,802","$10,804","$1,027,700","$203,572","$91,176","$64,574","$49,212","$13,653","$11,740",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mustang (2015),"$402,737",,"$7,100","$117,679","$794,284","$820,277","$199,837","$13,143","$30,807",,"$41,974",,"$20,354","$463,924","$89,837",,,,,"$636,706","$7,165",,"$63,229",,"$57,009","$65,768","$9,758","$51,056","$11,889","$12,379",,,,,,,,,"$282,215","$63,665","$54,681","$50,681","$46,527","$10,124","$4,395",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbe & Gasoline (2015),"$1,301",,,,,"$221,044",,,"$1,759","$1,024","$12,314",,,,,,,,,,"$2,543",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajrangi Bhaijaan (2015),"$3,699,383","$8,178,001",,,,,,,,"$6,268",,,,,"$44,640",,,,,,,,,,,,,,,,,,,,,,,,"$1,238,445",,,,,,,"$62,036,910","$388,177","$45,534,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masss (2015),"$131,748",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,350",,,,"$81,466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanu Weds Manu Returns (2015),"$638,315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,446",,,,"$405,031",,,,,,,,"$62,810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Revenant (2015),"$32,888,019",,"$16,193,801","$3,173,653","$16,142,025","$28,238,162","$5,137,539","$3,418,201","$1,943,760","$764,981","$13,355,576","$7,401,299","$2,332,058","$1,536,561","$3,026,573","$568,303","$3,555,101","$1,574,043","$685,769","$28,790,742","$427,316","$29,292","$12,958,023","$247,975","$10,216,205","$1,301,747","$626,212","$3,173,108","$1,686,540","$272,983","$1,282,281","$3,468,696","$2,931,731","$1,360,280","$491,196","$620,730","$526,966","$149,320","$15,254,833","$5,374,169","$1,253,749","$3,747,708","$1,066,271","$2,554,845","$306,555","$1,826,088","$2,157,545","$58,684,119","$3,999,375","$2,752,169","$1,796,146","$761,872","$509,482","$506,910","$361,994","$279,015","$254,519","$240,300","$207,577","$193,824","$135,019","$5,468","$305,173","$5,467,020",,,,,,,,,,,,,,,
