Movie Name,Argentina,Uruguay,Australia,Russia/CIS,Türkiye,France,Spain,Germany,United Kingdom,United Arab Emirates,Romania,Belgium,Portugal,Ukraine,South Africa,Oman,Thailand,Singapore,Philippines,Domestic,New Zealand,South Korea,Austria,Lebanon,Peru,India,Malaysia,Nigeria,Kenya,Venezuela,Italy,Poland,Netherlands,Sweden,Czech Republic,Slovakia,Lithuania,Greece,Croatia,Latvia,Mexico,Ecuador,Bolivia,Vietnam,Bahrain,Brazil,Norway,Iceland,Chile,Colombia,Taiwan,Denmark,Slovenia,Hungary,Switzerland (French),Switzerland (German),China,Finland,Bulgaria,Serbia and Montenegro,Israel,Qatar,Hong Kong,Cambodia,Switzerland,Estonia,Japan,Ethiopia,Ghana,Egypt,Indonesia
Quo vado? (2016),"$256,856","$120,804","$545,966","$76,555",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Forest (2016),"$492,622","$7,838",,"$459,548",,,"$1,913,605","$1,547,469","$1,360,774","$148,256","$201,198","$86,351","$89,536","$17,599","$43,567","$6,176",,"$427,674","$183,607",,,"$337,280","$409,086","$6,671","$403,033",,"$568,911",,,,"$832,620","$579,728","$217,084","$206,463","$176,156","$88,885","$43,729","$38,170","$30,349","$22,514","$1,156,041","$386,735","$90,762","$537,702",,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lesson (2014),"$21,594",,,,,,"$8,968",,"$4,908",,,,"$2,354",,,,,,,,,,,,,,,,,,,,,,,,"$3,281","$14,992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert (2008),"$157,244",,"$1,204,893",,,"$65,647","$223,112","$89,718","$1,548,002",,,"$40,948","$139,450",,"$56,969",,,"$5,566","$75,852",,"$142,442",,"$76,956",,"$144,048",,,,,,"$72,993",,"$6,532",,,,,"$2,225",,,"$290,250","$79,852","$42,246",,,"$522,738","$78,291","$19,988","$169,878","$91,741","$13,604",,,,,,,,,,,,,,,,,,,,
A Man Called Ove (2015),"$22,207",,"$378,378","$82,347",,,"$192,261","$2,383,722","$44,795","$7,318",,,"$10,899",,,,,,,"$3,479,315","$134,722","$648,662","$115,741",,,,,,,,,,"$518,971","$20,224,613",,"$10,241","$3,027",,,,"$77,598",,,,,,"$1,604,790","$80,834",,"$63,130",,,,,,"$177,224",,"$464,636","$1,193",,,,,,,,,,,,
Norm of the North (2016),"$64,294","$14,666",,"$765,197","$610,348","$3,388,500","$496,255",,"$468,854","$263,023","$206,994",,"$213,513","$27,506","$214,187","$14,186",,"$73,682",,,,"$1,059,878",,"$90,304","$136,319",,"$99,079",,,,"$1,426,587","$1,189,659",,,"$306,377","$224,110","$123,154","$98,804","$125,685",,"$1,263,254","$106,072",,,,"$193,669",,"$35,225","$47,197",,,,"$61,399","$136,161",,,,,"$78,927","$48,938",,,,,,,,,,,
Eddie the Eagle (2015),"$54,106",$895,"$5,896,692","$458,784","$32,184","$555,241","$53,726","$1,231,754","$12,803,022","$129,593","$70,581","$105,266","$37,109","$27,324","$70,784","$14,458",,"$197,085",,,"$942,938","$1,548,478","$141,444","$22,461","$63,232",,,,,"$53,508","$57,092",,"$156,492","$115,411","$80,569","$23,793","$39,054","$6,829","$12,680",,"$337,372","$74,980","$8,219",,"$60,004","$102,978","$121,887",,,"$177,563","$957,020","$119,324","$27,226","$111,144","$24,500","$378,971","$970,358","$108,909",,"$9,169",,"$56,402","$288,764","$3,854",,,,,,,
Sammy and Me (2002),"$256,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Education of Fairies (2006),"$87,467","$3,122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,022",,,,,,,,,,,,,,,,,,,,,,
Lovely Loneliness (2008),"$51,457",,,,,"$25,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,856",,,,,,,,,,,,,,,,,,,,,,,,,
The Dancer and the Thief (2009),"$261,734",,,,,,"$2,172,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$409,772",,,,"$21,721",,,,,,,,,,,,,,,,,,,,,
En fuera de juego (2011),"$208,693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
