Movie Name,Domestic,Australia,United Kingdom,Portugal,France,New Zealand,South Korea,Japan,Hong Kong,Taiwan,Singapore,Thailand,Malaysia,Philippines,Germany,Italy,Netherlands,Sweden,Spain,Switzerland,Belgium,Austria,South Africa,Norway,Israel,Denmark,Finland,Greece,Kenya,Türkiye,Hungary,Brazil,Argentina,Mexico,Colombia,Venezuela,Chile,Peru,Ecuador,Central America,Uruguay,Lesser Antilles,Dominican Republic,United Arab Emirates,Czech Republic,Bulgaria,Lebanon,Ukraine,Iceland,Serbia and Montenegro,Latvia,Croatia,Bolivia,Russia/CIS,Poland,Baltic States,Middle East,Slovenia,Czech Republic/Slovakia,Puerto Rico,West Indies,India,Greece and Cyprus,S/E/W Africa,Egypt,Jamaica,Cyprus,Romania,Indonesia,Trinidad & Tobago,China,Middle East Other,Yugoslavia,Sri Lanka,Russia/CIS/Ukraine,Middle East/UAE,Lithuania,Estonia,Central America+,Paraguay,Netherlands Antilles,Panama
Scrooged (1988),"$60,328,558",$443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bicycle Thieves (1948),"$371,111",,"$57,867","$18,481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kagemusha (1980),"$4,000,000",,,,"$17,462","$1,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurice (1987),"$2,484,230",,"$50,411",,,,"$107,926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Attraction (1987),"$156,645,693","$8,680,604","$16,914,376","$242,615","$13,869,306","$704,007","$297,493","$20,748,900","$1,117,264","$983,774","$594,083","$128,998","$87,803","$75,086","$20,581,287","$12,486,624","$5,899,717","$4,617,759","$4,599,199","$4,426,440","$3,305,366","$2,209,555","$2,071,276","$1,943,784","$1,453,031","$1,356,705","$1,336,579","$1,076,471","$756,057","$89,313","$11,698","$1,449,561","$1,269,307","$851,468","$691,062","$616,112","$496,306","$173,290","$146,511","$135,644","$128,916","$108,888","$64,775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toy Story 2 (1999),"$245,852,179",$605,"$2,870,682","$75,401","$24,765,813",,,,"$244,424",,,,,,"$12,969,188","$6,997,498",,,"$12,594,225",,,,"$34,088",,"$79,072",,,,,,"$94,395","$1,256,037","$418,777","$1,515,520","$219,923","$277,773","$44,163","$63,014","$243,031",,"$39,504",,,"$289,764","$63,696","$41,576","$37,002","$30,855","$10,713","$8,642","$8,456","$7,466","$32,064","$422,724",,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Map of the World (1999),"$544,965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,743",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cradle Will Rock (1999),"$2,903,404",,,,,,,,,,,,,,,"$70,526",,,,,,,,,,,,,,,,,"$13,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Picture Show (1971),"$29,133,000",,"$13,131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnolia (1999),"$22,455,976",,,,,,"$37,675",,,,,,,,"$1,176,286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simpatico (1999),"$929,606",,,,,,,,,,,,,,,,,,"$352,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topsy-Turvy (1999),"$6,208,548",,"$1,595,801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnal Knowledge (1971),"$33,668",,,,,$321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easy Rider (1969),"$123,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Talented Mr. Ripley (1999),"$81,298,265",$633,,,,$611,"$3,543",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titus (1999),"$2,007,290",,,,,,,,,,,,,,,,,,"$167,216",,,,,,,,,,,,,,,"$63,691",,,"$21,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Terrorist (1998),"$153,629",,,,,,,,,,,,,,,"$6,015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Way We Were (1973),"$45,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fast Times at Ridgemont High (1982),"$27,092,880",,,,,$236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batman: Mask of the Phantasm (1993),"$5,635,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cup (1999),"$1,079,108",,,,,,,,,,,,,,,,,,"$17,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Am Cuba (1964),"$168,100",,,,"$38,452",,,,,,,,,,,,,,,,,,,,,,,"$67,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne's World (1992),"$121,697,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bodyguard (1992),"$122,046,449","$13,519","$27,394",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Becomes Her (1992),"$58,422,650",,,,,$820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howards End (1992),"$26,126,837",,"$115,181",,,,"$25,188",,,,,,,,,,"$74,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twin Peaks: Fire Walk with Me (1992),"$4,160,851",$576,,,,$867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,696",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffy the Vampire Slayer (1992),"$16,624,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad Lieutenant (1992),"$2,000,022",,,,,,,,,,,,,,,"$19,447",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gun Shy (2000),"$1,638,202",,,,"$63,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raining Stones (1993),"$89,388",,,,,,$607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Lights (1931),"$19,181","$3,302",,,,"$1,109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,827",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowning Mona (2000),"$15,506,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost Dog: The Way of the Samurai (1999),"$3,308,029",,,,,,,,,,,,,,,,"$12,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birdy (1984),"$1,455,045",,,,,$51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defending Your Life (1991),"$16,371,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Graffiti (1973),"$115,000,000",$324,,,,$565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daughters of the Dust (1991),"$1,683,422",,"$6,301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFK (1991),"$70,405,498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blind Date (1987),"$39,321,715",,,,,,,,,,,,,,,,$952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,914",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Muppet Movie (1979),"$65,810,475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirror (1975),"$22,168",,"$27,915","$14,460",,,,,,,,,,,,,,,,,,,,,,,,,,"$8,996",,,,,,,,,,,,,,,,,,,,,,,,"$47,708",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thelma & Louise (1991),"$45,360,915","$1,748","$7,443",,,"$2,651","$93,163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Lampoon's Animal House (1978),"$141,600,000",,,,,,,,,,,,,,,"$7,219",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do the Right Thing (1989),"$27,545,445",,"$17,777",,,$819,,,,,,,,,,,"$33,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teenage Mutant Ninja Turtles (1990),"$135,384,756","$1,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guess Who's Coming to Dinner (1967),"$56,666,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Color of Paradise (1999),"$1,817,216",,,,,,,,,,,,,,,,,,"$32,535",,,,,,,,,,,,,,,,,,"$20,422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
