Movie Name,Mexico,Spain,France,United Kingdom,Germany,Italy,United Arab Emirates,Netherlands,Türkiye,Ukraine,Sweden,Greece,Poland,Romania,Hungary,Portugal,Belgium,South Africa,Switzerland,Bulgaria,Austria,Israel,Denmark,Norway,Czech Republic,Lebanon,Finland,Slovakia,Egypt,Estonia,Croatia,Lithuania,Latvia,Slovenia,Iceland,Cyprus,Brazil,Peru,Colombia,Argentina,Panama,Chile,Ecuador,Venezuela,Bolivia,Trinidad & Tobago,Uruguay,Paraguay,Russia/CIS,Australia,Taiwan,South Korea,Indonesia,Malaysia,Singapore,Philippines,Hong Kong,Thailand,Japan,Vietnam,New Zealand,India,Pakistan,China,Serbia and Montenegro,Domestic,Dominican Republic,Jamaica,Kuwait,Qatar,Bahrain,Oman,Jordan,Mongolia,Switzerland (French),Central America,Puerto Rico,Costa Rica
Inevitable (2013),"$4,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Great Wall (2016),"$8,122,082","$4,987,246","$6,524,751","$5,517,760","$5,374,015","$3,220,890","$2,508,905","$2,209,162","$1,505,350","$1,212,133","$1,026,084","$1,015,826","$982,184","$950,745","$928,462","$868,548","$727,270","$711,683","$682,933","$578,869","$500,180","$449,353","$446,049","$431,312","$404,507","$372,851","$219,399","$169,764","$167,073","$121,476","$112,669","$109,901","$81,650","$73,675","$69,578","$60,974","$8,597,114","$2,019,670","$1,930,554","$1,585,206","$1,004,922","$656,542","$500,031","$472,458","$383,427","$176,281","$75,826","$47,460","$10,920,889","$5,614,227","$4,002,518","$3,894,654","$3,708,162","$3,565,598","$2,508,720","$2,111,820","$1,839,998","$1,839,603","$1,339,363","$805,200","$787,239","$409,968","$44,076","$170,962,106",,,,,,,,,,,,,,
The Founder (2016),"$518,032","$301,294","$441,255","$635,501","$488,206","$1,990,585","$126,647","$270,068","$20,071",,"$16,193","$7,048","$217,663","$94,376","$88,053","$44,710","$87,605","$44,519","$198,163",,"$59,025","$389,181","$29,855",,"$60,169","$26,774","$104,271","$52,110","$2,427",,"$40,218",,,,,,"$393,194","$83,802","$63,618","$145,972","$34,843",,,,,,"$23,182",,,"$2,084,368","$186,562","$237,487",,,"$76,621",,"$177,505","$66,449","$807,542",,"$150,256","$217,175",,,"$7,773",,,,,,,,,,,,,
Under the Sea 3D (2009),"$9,283",,,"$345,798",,,,,,,,,,,,,,,,,,,,,"$259,129",,,,,,,,,,,,"$138,692",,$758,,,,,,,,,,,"$801,048",,,,$616,,,,,,,$377,,,,,"$36,262,926",,,,,,,,,,,,
Why Him? (2016),"$3,320,114","$2,010,755","$877,204","$6,137,624","$3,481,676","$955,226",,"$1,241,032","$96,022","$940,877","$862,557","$158,640","$568,118","$1,167,063","$935,513","$502,216","$1,043,916","$833,195","$1,449,858","$170,044","$1,533,901","$1,469,945","$369,734","$614,037","$251,635","$310,771","$320,268","$189,218","$76,349","$173,805","$277,680","$100,102","$92,485","$208,641","$113,779",,"$197,282","$905,418","$317,182","$1,014,354",,"$593,699","$639,314","$218,399","$90,599","$173,482","$145,530","$78,859","$5,442,459","$8,136,049","$1,049,223",,"$297,938","$167,387","$423,956","$159,649","$1,937,646","$153,371",,"$423,183","$521,225",,,,"$204,095",,"$104,968","$36,996",,,,,,,,,,
Sing (2016),"$14,123,788","$17,084,660","$22,889,974","$36,109,824","$20,263,847","$10,492,374","$1,933,219","$9,283,875","$709,766","$1,946,336","$5,239,426","$1,339,765","$7,504,636","$694,670","$1,299,924","$2,374,683","$4,374,552","$2,210,396","$3,852,821","$605,475","$3,115,426","$3,526,099","$3,421,764","$2,538,669","$1,083,524","$277,992","$2,367,917","$692,993","$112,631","$428,781","$270,718","$492,486","$315,523","$430,640","$271,914","$179,642","$11,638,397","$3,837,935","$2,975,348","$2,747,266","$3,018,488","$3,593,346","$1,319,906","$773,630","$1,044,400","$463,300","$372,781","$164,120","$17,395,113","$21,338,070","$1,998,106","$11,053,196","$1,933,760","$1,607,233","$1,806,364","$927,553","$2,870,603","$528,518","$43,705,150","$2,068,427","$2,570,517","$342,501","$37,489","$31,379,920","$330,378","$270,578,425",,,,,,,,,,,,
Assassin's Creed (2016),"$8,148,913","$7,184,829","$14,857,119","$10,048,540","$10,586,688","$6,167,915","$2,555,643","$2,522,462","$2,208,998","$1,484,906","$1,750,180","$1,024,640","$1,612,145","$1,378,006","$728,857","$1,205,018","$1,882,903","$1,259,650","$2,258,964","$698,840","$1,840,785","$803,990","$916,394","$280,364","$706,692","$475,306","$754,311","$293,408","$381,337","$221,539","$353,583","$183,566","$140,860","$104,688","$80,791",,"$10,052,835","$1,161,330","$2,624,446","$2,443,148",,"$1,691,436","$785,241","$341,917","$344,564","$425,844","$105,126","$106,873","$16,343,391","$7,340,195","$2,660,772","$2,422,966","$3,055,963","$2,432,879","$1,344,161","$2,271,283","$1,877,137","$1,327,092","$5,269,231","$958,894","$1,169,515","$1,730,907","$258,269","$22,365,730","$324,322",,"$278,781","$142,394","$614,982","$492,555","$322,456","$280,364","$218,975","$43,662",,,,
A Dog's Purpose (2017),"$6,121,122","$923,194","$599,584","$4,125,142","$1,076,869","$1,618,181","$161,815","$356,561",,"$460,843",,"$66,754","$2,647,461","$318,077","$719,085","$168,059","$177,566","$124,125","$491,523","$96,804","$262,365","$387,186",,,"$707,428","$56,194",,"$323,446","$11,678","$92,371","$80,590","$174,846","$90,846","$33,100","$21,854","$8,457","$2,166,627","$2,425,772","$1,000,590","$1,112,812","$652,720","$1,304,318","$938,834","$651,224","$326,704","$37,026","$103,699","$93,682","$1,917,076","$3,577,022","$2,235,998","$700,809",,"$306,625","$495,444","$489,481","$359,347","$149,199","$8,119,759",,"$338,116",,,"$88,226,996","$11,650",,,,,,,,,,,,,
Rara (2016),"$5,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collide (2016),"$113,229","$34,623",,,"$228,117","$336,448","$292,607",,"$45,378",,,"$20,357",,"$141,254","$50,976","$99,027",,"$163,376",,"$49,912",,,,,,,,,,,,"$18,364",,"$2,890",$920,,,,"$168,360",,,,,,"$18,002",,,"$6,875","$95,944",,,"$161,197",,,,,,,"$268,569",,,,,"$2,221,106",,,,,,,,,,,,,,
Patriots Day (2016),"$978,784","$299,089","$345,307","$2,270,388","$618,271","$657,069","$922,743","$569,158","$37,490",,"$194,010","$50,631",,,,"$116,520","$206,533","$175,001","$167,960","$15,518","$87,181","$299,371","$59,954","$89,000",,"$121,906","$50,143",,"$16,543","$16,558","$25,427","$22,448","$8,664","$6,726","$39,894",,"$380,322","$319,472","$246,520","$157,687","$67,907","$45,104","$95,380","$141,934",,,"$19,859","$6,001",,"$2,318,564","$1,009,377","$503,291",,"$156,984","$268,215","$310,377","$592,634","$255,652","$1,501,956","$78,482","$118,697","$40,539","$2,822","$3,172,378","$5,299",,"$15,650",,,,,,,,,,,
Leap! (2016),"$1,843,179","$7,664,290","$14,498,422","$4,761,334",,"$4,547,032","$354,267","$805,446","$454,145","$555,617",,"$747,693","$1,992,960","$452,273","$321,496","$626,684","$182,366","$545,996","$119,626","$145,015",,"$1,617,269",,"$428,842","$276,737",,"$71,791","$410,016",,"$30,066","$106,096","$310,507",,"$103,017","$75,329",,"$1,855,108",,"$342,377","$298,797","$18,492",,,,"$71,207",,"$54,898",,"$4,362,364","$6,838,366","$47,357","$1,357,320",,"$41,818","$48,206",,"$336,139",,"$1,506,409",,"$483,482",,,"$5,770,423",,"$24,702,560",,,,,,,,,,,,
Monster Trucks (2016),"$3,428,117","$963,371","$836,311","$4,418,549","$1,562,575","$35,031","$397,366",,,"$275,375",,,"$608,185",,,,,"$410,969","$168,104",,"$244,941",,,,,,,,,,,,,,"$43,179",,"$1,455,997","$843,380","$918,333","$624,287","$282,906","$220,327",,"$283,956",,,,,"$4,282,386","$3,974,487","$360,704",,"$775,577","$1,017,720","$196,760","$335,104","$65,946","$130,875",,,"$305,099",,,,,,,,,,,,,,,,,
A Cure for Wellness (2016),"$1,084,481","$210,828","$1,660,349","$934,679","$2,383,628","$663,766",,"$372,302","$66,413","$158,171","$401,162","$139,458","$292,335","$96,391","$192,375",,"$251,018","$23,479","$318,158",,"$306,285",,"$107,134","$96,451","$72,786","$11,995","$158,650","$65,178",,"$30,275","$50,384","$54,260",,,,,"$467,877","$147,246","$196,308","$200,171",,"$189,707","$133,758","$42,580","$17,042","$13,283","$10,420","$11,707","$3,662,639","$453,720","$530,860","$1,148,911",,,"$118,497","$88,140","$474,362","$174,973",,,"$60,279",,,,,,"$14,677","$1,326",,,,,,,,,,
