Movie Name,South Korea,Russia/CIS,Thailand,France,Spain,Germany,Italy,Belgium,Netherlands,Poland,Israel,United Arab Emirates,Switzerland,Norway,South Africa,Austria,Czech Republic,Denmark,Sweden,Romania,Greece,Portugal,Hungary,Finland,Estonia,Ukraine,Türkiye,Lithuania,Slovakia,Latvia,Bulgaria,Serbia and Montenegro,Slovenia,United Kingdom,Iceland,Croatia,Cyprus,Brazil,Mexico,Argentina,Colombia,Ecuador,Peru,Chile,Bolivia,Uruguay,Costa Rica,Panama,Nicaragua,Paraguay,Honduras,Australia,New Zealand,Vietnam,Malaysia,Singapore,China,Kuwait,Qatar,Lebanon,Bahrain,Jordan,Oman,Egypt,Venezuela,Trinidad & Tobago,Japan,Taiwan,Hong Kong,Philippines,India,Indonesia,Domestic,Nigeria,Kenya,Ghana,Jamaica,Dominican Republic,Aruba,Pakistan,Mongolia
What Happened to Monday (2017),"$7,022,506","$1,291,601","$1,088,074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Son of Bigfoot (2017),"$1,998,502","$2,263,289","$29,739","$4,874,133","$3,596,214","$2,340,271","$1,917,669","$1,913,716","$1,556,717","$1,380,725","$1,316,770","$925,044","$924,029","$803,948","$738,710","$665,619","$506,284","$446,470","$439,823","$403,456","$379,070","$370,842","$324,486","$304,744","$295,583","$287,958","$280,988","$260,831","$250,958","$225,514","$188,827","$149,323","$100,185","$80,685","$67,241","$49,915","$37,200","$1,341,794","$598,598","$284,341","$261,073","$217,740","$212,265","$139,946","$90,704","$52,148","$48,175","$45,455","$17,716","$13,598","$9,517","$552,097","$226,716","$200,631","$177,113","$118,650","$8,473,259",,,,,,,,,,,,,,,,,,,,,,,,
On Body and Soul (2017),"$69,145","$62,841",,"$340,561","$86,662",,"$213,160",,"$238,529",,,,,"$30,488",,,"$4,125",,,"$57,526","$268,333","$10,615","$659,522","$15,495",,,"$18,955","$11,339","$3,296",,"$8,597",,,"$12,196","$1,290",,,,,,,,,,,,,,,,,"$19,959",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atomic Blonde (2017),"$1,106,519","$3,342,666","$393,056","$3,763,161","$2,208,022","$2,820,926","$2,210,566","$491,679","$1,461,761","$877,593","$300,753","$696,104","$761,316","$340,215","$400,420","$383,451","$122,906","$245,100","$387,081","$514,775","$262,046","$563,766","$165,587","$174,480","$96,281","$561,254","$690,192","$50,430","$59,545","$46,824","$101,331","$85,970","$39,470","$5,103,126","$70,980","$174,775","$16,334","$1,875,671","$2,991,034","$296,058","$334,518","$113,955","$253,783","$138,583","$36,948","$25,812",,,,"$10,443",,"$3,885,754","$429,848","$292,983","$356,276","$169,776",,"$198,445","$146,908","$120,298","$92,926","$46,422","$45,385","$32,377","$92,987","$86,286","$2,376,100","$532,818","$492,906","$380,689","$204,025","$180,397",,,,,,,,,
Dunkirk (2017),"$22,949,201","$5,400,000","$1,438,979","$21,500,000","$10,600,000","$7,700,000","$9,935,722",,"$8,100,000","$3,732,372",,"$3,053,017","$3,000,000","$2,816,515","$825,513",,"$1,680,104",,,"$802,309","$1,552,150","$1,147,203","$1,027,191","$1,621,326",,"$774,013","$1,400,000","$328,726","$614,051",,"$195,451",,"$152,794","$74,366,509","$343,639",,,"$4,600,000","$5,800,000","$2,016,819","$1,247,748",,,,"$160,464","$135,650",,,,"$78,025",,"$18,500,000","$4,202,545",,,,"$50,970,494",,,,,,,,,,"$14,800,000","$3,700,000","$3,400,000",,"$3,144,854","$2,800,000","$189,740,665",,,,,,,,
Once Upon a Time in Venice (2017),"$47,010","$194,548",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidential Assignment (2017),"$55,481,157",,"$2,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanishing Time: A Boy Who Returned (2016),"$3,268,916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$406,,,,,,,,,,,,,,,,,,,"$1,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yu-Gi-Oh!: The Dark Side of Dimensions (2016),"$212,330",,"$14,552",,,,"$217,369",,,,,"$13,851",,,,,,,,,,,,,,,,,,,,,,"$140,819",,,,,,,,,,,,,,,,,,,"$16,661",,,,,,,,,,,,,,"$5,814,265",,,,,,,,,,,,,,
Transformers: The Last Knight (2017),"$19,243,751","$15,890,358","$4,909,670","$10,986,587","$3,971,313","$15,415,894","$5,454,342","$1,539,767","$2,196,812","$3,045,986","$456,756","$2,994,238","$1,216,556","$1,029,050","$1,580,482","$1,694,000","$36,984","$1,033,786","$1,796,328","$843,338","$321,120","$839,170","$849,565","$539,333",,"$1,630,808","$2,808,452","$178,688","$303,217",,"$332,048",,"$74,730","$12,191,514","$114,431",,,"$13,704,332","$15,334,443","$5,457,359","$4,031,824",,"$4,219,602","$2,662,845","$892,363","$114,260",,"$4,318,242",,"$212,599",,"$9,171,848","$1,705,534",,"$8,010,315","$4,444,479","$228,842,508",,,,,,,,"$601,576",,"$15,690,606","$7,138,047","$4,990,590","$5,646,985","$4,865,527","$11,712,577",,,,,,,,,
