Movie Name,Domestic,Spain,France,Finland,United Kingdom,New Zealand,Australia,Germany,Czech Republic,South Korea,Russia/CIS,Hong Kong,Taiwan,Italy,Netherlands,Portugal,Ukraine,Austria,Denmark,Iceland,Hungary,Mexico,Türkiye,Brazil,Bulgaria,Argentina,Chile,Sweden,Poland,Egypt,South Africa,Slovakia,Peru,Japan,India,Russia/CIS/Ukraine,Thailand,Philippines,Singapore,Malaysia,Indonesia,Sri Lanka,Belgium,Switzerland,Greece,Israel,Middle East/UAE,Czech Republic/Slovakia,Norway,Romania,Lebanon,Slovenia,Croatia,Cyprus,Kenya,Central America+,Venezuela,Colombia,China,Russia,Greece and Cyprus,S/E/W Africa,Latvia,Lithuania,Estonia,Serbia and Montenegro,Central America,Puerto Rico,Ecuador,Uruguay,Dominican Republic,Bolivia,Lesser Antilles,Jamaica,Middle East Other,United Arab Emirates,East Africa,Vietnam,Palestine,Baltic States,West Indies
Empire of the Sun (1987),"$22,238,696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Evil Dead (1981),"$2,400,000","$261,944","$212,367","$16,707","$2,073","$1,229","$1,059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lost Boys (1987),"$32,315,444",,,,"$188,593",$884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masters of the Universe (1987),"$17,336,370",,,,,$313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Monster Squad (1987),"$3,769,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the Mood for Love (2000),"$2,738,980",,,,,"$2,007","$117,119",,,"$892,669","$124,267","$73,690","$60,260","$217,219","$40,012","$13,014","$6,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Caveman's Valentine (2001),"$687,194","$107,287",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon (1990),"$15,740,796",,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,782",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manhunter (1986),"$8,620,929",,,,,"$1,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death on the Nile (1978),"$14,560,084",,,,,$253,"$8,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memento (2000),"$25,544,867",,,,,,"$2,022,828","$1,181,625","$37,107","$323,982",,"$34,568","$8,277",,,,,,,,,,,"$73,594","$14,862",,"$217,773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Gleaners & I (2000),"$155,320",,,,$458,,"$3,387",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beautiful Creatures (2000),"$55,835",,,,"$156,156",,,,,,,,"$5,688",,,,,,,,"$96,089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridget Jones's Diary (2001),"$71,543,427","$11,830,932","$17,962,308","$1,920,141","$103,613,192",,"$11,632,274","$22,019,794","$954,573","$64,009",,"$905,540","$453,053",,"$5,512,847",,,"$2,602,703","$2,376,704",,,"$1,334,294",,"$1,819,409","$59,434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josie and the Pussycats (2001),"$14,271,015",,,,"$54,353",,"$257,538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chopper (2000),"$236,185",,,,,,"$73,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Circle (2000),"$440,554","$73,180",,,"$30,382",,,"$48,418",,,,,,,,,,,,,"$85,063",,,,,,"$34,571",,,,,"$43,867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freddy Got Fingered (2001),"$14,254,993",,"$9,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Luzhin Defence (2000),"$1,053,070",,,,,,,"$8,873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarface (1983),"$45,408,703",,,,,$501,,,,,,,,,,,,,,$256,,,,,,"$115,726","$13,724",,,,,,"$9,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
