Movie Name,Domestic,United Kingdom,Greece,Germany,France,Netherlands,Austria,Spain,South Africa,Italy,Czech Republic,Hungary,Mexico,Brazil,Argentina,Australia,New Zealand,Hong Kong,Türkiye,Egypt,Bulgaria,Japan,South Korea,Taiwan,Norway,Chile,Finland,Poland,Russia/CIS,Portugal,Switzerland,Czech Republic/Slovakia,Sweden,Denmark,Israel,Middle East Other,Slovenia,Cyprus,Lebanon,Romania,Croatia,East Africa,Iceland,Peru,Venezuela,Central America+,Colombia,Russia/CIS/Ukraine,Thailand,Philippines,India,Singapore,Belgium,Middle East/UAE,Estonia,Ukraine,Lithuania,Serbia and Montenegro,Latvia,Puerto Rico,Ecuador,Uruguay,Lesser Antilles,Dominican Republic,Bolivia,Jamaica,Paraguay,Malaysia,Indonesia,China,Russia,Baltic States,West Indies,Pakistan,Sri Lanka,New Caledonia,Vietnam,Bangladesh,United Arab Emirates,Kuwait,Bahrain,Slovakia,Qatar,Morocco,Mauritius,Reunion,Jordan,Oman,Tunisia,Djibouti,Aruba,Curaçao,Kenya,Lebanon/United Arab Emirates,Middle East,Palestine,Central America
The Man Who Loved Women (1983),"$10,964,740",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sandlot (1993),"$32,950,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return to Never Land (2002),"$48,430,258","$5,337,218",,"$2,786,414","$7,618,931","$1,106,378","$252,704","$5,259,299","$148,326","$2,024,305","$33,240","$36,552","$2,731,673","$448,644","$247,671","$1,371,841","$157,060",,"$64,192",,"$2,009","$17,866,672",,"$14,601","$824,616",,"$471,953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How to Kill Your Neighbor's Dog (2000),"$49,894",,,,"$23,616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Were Soldiers (2002),"$78,122,718","$2,965,727",,"$3,605,157","$751,754","$217,807","$447,097","$1,186,626","$229,928","$2,136,014",,"$61,059","$3,173,511","$355,821","$77,057","$3,941,908","$526,709","$714,131","$531,761",,"$13,280","$5,060,280","$1,842,105","$856,538","$348,784","$29,234",,,"$232,936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trouble Every Day (2001),"$9,189",,,,,,,,,,"$6,382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidden Agenda (1990),"$1,030,938","$201,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heaven's Gate (1980),"$3,484,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Showtime (2002),"$38,082,712","$2,176,906","$665,000","$3,982,007","$2,969,013","$1,712,584","$517,514","$2,750,858","$575,709","$1,325,426","$68,534","$220,953","$2,477,254","$1,188,663","$310,840","$2,440,772","$178,475","$143,940",,"$134,190","$64,378","$2,223,023","$848,485","$335,664","$525,008",,"$246,709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smokey and the Bandit (1977),"$126,737,428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panic Room (2002),"$96,397,334","$12,117,419","$287,000","$9,313,172","$6,659,229","$2,044,403","$878,959","$6,314,630","$413,978","$3,564,539","$104,432","$177,195","$4,930,761","$1,623,932","$402,605","$5,686,752","$581,590","$682,131","$732,676","$977,724","$27,646","$14,912,266","$4,298,130","$750,054","$826,304","$295,761","$414,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Piano Teacher (2001),"$1,012,069","$236,021",,"$881,250","$3,310,008","$266,498","$323,775","$550,364",,,"$40,613","$10,919",,"$70,623",,"$9,805",$208,,,,"$6,801",,"$30,569",,,,,,"$16,020","$1,046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Out (2001),"$448,542",,,,"$604,505",,,"$13,617",,,,,,,"$85,948","$12,859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
